gca_bare	species
GCA_022435585	Klebsiella pneumoniae
GCA_022435035	Klebsiella pneumoniae
GCA_022433405	Klebsiella pneumoniae
GCA_022437965	Klebsiella pneumoniae
GCA_022041715	Klebsiella pneumoniae
GCA_015720495	Klebsiella pneumoniae
GCA_022437845	Klebsiella pneumoniae
GCA_022435095	Klebsiella pneumoniae
GCA_022041755	Klebsiella pneumoniae
GCA_022433605	Klebsiella pneumoniae
GCA_015720885	Klebsiella pneumoniae
GCA_022434335	Klebsiella pneumoniae
GCA_022434955	Klebsiella pneumoniae
GCA_022435115	Klebsiella pneumoniae
GCA_022435665	Klebsiella pneumoniae
GCA_022041375	Klebsiella pneumoniae
GCA_022041395	Klebsiella pneumoniae
GCA_022435565	Klebsiella pneumoniae
GCA_022434455	Klebsiella pneumoniae
GCA_015720795	Klebsiella pneumoniae
GCA_022433365	Klebsiella pneumoniae
GCA_022035255	Klebsiella pneumoniae
GCA_022437985	Klebsiella pneumoniae
GCA_022434875	Klebsiella pneumoniae
GCA_022435545	Klebsiella pneumoniae
GCA_022437865	Klebsiella pneumoniae
GCA_022434855	Klebsiella pneumoniae
GCA_022437885	Klebsiella pneumoniae
GCA_022435525	Klebsiella pneumoniae
GCA_022438005	Klebsiella pneumoniae
GCA_015721015	Klebsiella pneumoniae
GCA_022433445	Klebsiella pneumoniae
GCA_002752815	Klebsiella pneumoniae
GCA_022434975	Klebsiella pneumoniae
GCA_022434355	Klebsiella pneumoniae
GCA_022041435	Klebsiella pneumoniae
GCA_022434535	Klebsiella pneumoniae
GCA_022435055	Klebsiella pneumoniae
GCA_022435015	Klebsiella pneumoniae
GCA_022433545	Klebsiella pneumoniae
GCA_022434375	Klebsiella pneumoniae
GCA_022438065	Klebsiella pneumoniae
GCA_022435625	Klebsiella pneumoniae
GCA_022434315	Klebsiella pneumoniae
GCA_022434775	Klebsiella pneumoniae
GCA_022433385	Klebsiella pneumoniae
GCA_022434935	Klebsiella pneumoniae
GCA_022438045	Klebsiella pneumoniae
GCA_022433465	Klebsiella pneumoniae
GCA_022433525	Klebsiella pneumoniae
GCA_022433505	Klebsiella pneumoniae
GCA_022435135	Klebsiella pneumoniae
GCA_013749075	Klebsiella pneumoniae
GCA_022024795	Klebsiella pneumoniae
GCA_022434915	Klebsiella pneumoniae
GCA_002754835	Klebsiella pneumoniae
GCA_002753035	Klebsiella pneumoniae
GCA_002753015	Klebsiella pneumoniae
GCA_022433585	Klebsiella pneumoniae
GCA_022434395	Klebsiella pneumoniae
GCA_022434475	Klebsiella pneumoniae
GCA_021904535	Klebsiella pneumoniae
GCA_021904655	Klebsiella pneumoniae
GCA_003010595	Klebsiella pneumoniae
GCA_022434515	Klebsiella pneumoniae
GCA_003071285	Klebsiella aerogenes
GCA_002906415	Klebsiella oxytoca
GCA_002186515	Klebsiella sp. PO552
