study_accession	n_rtm_samples	isolation_source_bucket	isolation_source_n_added	isolation_source_distinct	isolation_source_step_a_fired	isolation_source_gap	collection_date_bucket	collection_date_n_added	collection_date_distinct	collection_date_step_a_fired	collection_date_gap
PRJDB10842	1473	no_add	0	31	False	0	no_add	0	449	False	0
PRJDB12075	14	no_add	0	0	False	9	no_add	0	3	False	0
PRJDB12116	53	per_sample_multiple	49	11	False	0	no_add	0	24	False	0
PRJDB5929	606	per_sample_multiple	529	30	False	523	per_sample_multiple	1	410	False	1
PRJEB12699	141	no_add	0	0	False	0	whole_field_uniform	141	1	False	126
PRJEB1563	198	whole_field_uniform	198	1	False	170	no_add	0	0	False	0
PRJEB17615	342	no_add	0	0	False	0	no_add	0	0	False	0
PRJEB19229	83	no_add	0	13	False	0	no_add	0	57	False	0
PRJEB20799	44	whole_field_uniform	44	1	False	37	whole_field_uniform	44	1	False	37
PRJEB21277	192	no_add	0	0	False	0	no_add	0	0	False	0
PRJEB21605	149	whole_field_uniform	148	1	True	0	per_sample_multiple	148	4	True	0
PRJEB22903	261	no_add	0	0	False	0	no_add	0	1	False	0
PRJEB24082	173	per_sample_multiple	165	21	False	158	per_sample_multiple	170	147	False	163
PRJEB24085	96	per_sample_multiple	94	13	False	94	per_sample_multiple	96	84	False	96
PRJEB24970	224	no_add	0	1	False	0	no_add	0	51	False	0
PRJEB27256	659	per_sample_multiple	11	2	False	11	per_sample_multiple	11	14	False	11
PRJEB28400	745	per_sample_multiple	676	5	False	667	per_sample_multiple	745	72	False	692
PRJEB29143	498	whole_field_uniform	498	1	True	0	whole_field_uniform	498	1	False	496
PRJEB29740	928	per_sample_multiple	815	13	False	0	per_sample_multiple	815	579	False	0
PRJEB29742	425	per_sample_multiple	412	34	False	404	per_sample_multiple	425	5	False	423
PRJEB30134	200	no_add	0	7	False	0	no_add	0	31	False	0
PRJEB33565	393	whole_field_uniform	393	1	False	373	no_add	0	1	False	0
PRJEB35685	410	no_add	0	0	False	0	no_add	0	0	False	0
PRJEB36486	221	whole_field_uniform	221	1	True	0	whole_field_uniform	221	1	False	200
PRJEB37378	1595	no_add	0	0	False	0	no_add	0	0	False	0
PRJEB38289	500	no_add	0	17	False	0	no_add	0	27	False	0
PRJEB39293	158	no_add	0	1	False	0	no_add	0	1	False	0
PRJEB39867	286	no_add	0	0	False	0	no_add	0	0	False	0
PRJEB39943	2770	per_sample_multiple	2688	11	False	0	per_sample_multiple	2698	4	True	0
PRJEB42331	28	no_add	0	0	False	0	per_sample_multiple	24	2	False	0
PRJEB42462	1217	whole_field_uniform	1217	1	False	1167	per_sample_multiple	1114	21	False	1110
PRJEB46513	281	whole_field_uniform	275	1	False	258	no_add	0	0	False	0
PRJEB48990	420	per_sample_multiple	384	29	False	0	per_sample_multiple	370	14	False	0
PRJEB50614	1	no_add	0	1	False	0	no_add	0	0	False	0
PRJEB5065	250	no_add	0	1	False	0	no_add	0	11	False	0
PRJEB50822	376	no_add	0	0	False	0	no_add	0	89	False	0
PRJEB58018	201	no_add	0	12	False	0	no_add	0	119	False	0
PRJEB58136	111	no_add	0	4	False	0	no_add	0	3	False	0
PRJEB58216	209	no_add	0	1	False	0	no_add	0	16	False	0
PRJEB63361	412	no_add	0	1	False	0	no_add	0	5	False	0
PRJEB6891	506	per_sample_multiple	397	7	False	378	per_sample_multiple	400	60	False	386
PRJEB74083	106	no_add	0	0	False	0	no_add	0	84	False	0
PRJNA1028672	542	no_add	0	19	False	0	no_add	0	5	False	0
PRJNA1054115	137	no_add	0	2	False	0	no_add	0	6	False	0
PRJNA271899	104	per_sample_multiple	101	19	False	66	per_sample_multiple	3	4	False	1
PRJNA278886	2	no_add	0	1	False	0	no_add	0	0	False	0
PRJNA325243	240	no_add	0	56	False	0	no_add	0	164	False	0
PRJNA341927	244	whole_field_uniform	244	1	False	243	no_add	0	3	False	0
PRJNA351909	49	no_add	0	9	False	0	no_add	0	2	False	0
PRJNA395086	166	no_add	0	13	False	0	no_add	0	62	False	0
PRJNA396774	177	no_add	0	17	False	0	no_add	0	53	False	0
PRJNA544438	8	no_add	0	5	False	0	no_add	0	5	False	0
PRJNA557275	4	no_add	0	1	False	0	no_add	0	4	False	0
PRJNA564424	534	no_add	0	1	False	0	no_add	0	390	False	0
PRJNA564992	2	no_add	0	1	False	0	no_add	0	2	False	0
PRJNA565795	190	no_add	0	18	False	0	no_add	0	2	False	0
PRJNA603790	462	whole_field_uniform	462	1	False	445	no_add	0	143	False	0
PRJNA604975	24	no_add	0	1	True	0	no_add	0	16	False	0
PRJNA634885	144	no_add	0	0	False	0	no_add	0	0	False	0
PRJNA765801	213	no_add	0	0	False	0	no_add	0	0	False	0
PRJNA767944	165	no_add	0	0	False	0	whole_field_uniform	165	1	True	0
PRJNA768622	769	no_add	0	2	False	0	no_add	0	1	False	0
PRJNA789336	77	no_add	0	1	False	0	no_add	0	70	False	0
PRJNA789565	2	no_add	0	2	False	0	no_add	0	2	False	0
PRJNA804332	138	whole_field_uniform	138	1	False	135	no_add	0	57	False	0
PRJNA820335	110	no_add	0	3	False	0	no_add	0	96	False	0
PRJNA845975	565	whole_field_uniform	565	1	False	551	no_add	0	507	False	0
PRJNA857686	289	no_add	0	7	False	0	no_add	0	190	False	0
PRJNA885285	130	no_add	0	1	False	0	no_add	0	1	False	0
PRJNA982859	168	no_add	0	1	False	0	no_add	0	6	False	0
PRJNA996149	316	no_add	0	0	False	0	no_add	0	0	False	0
