severity	check	accession	detail	path
OK	paper_downloaded	PRJEB1563	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB1563.pdf
OK	paper_downloaded	PRJEB19322	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB19322.pdf
OK	paper_downloaded	PRJEB20234	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB20234.pdf
OK	paper_downloaded	PRJEB20799	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB20799.pdf
OK	paper_downloaded	PRJEB21277	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB21277.pdf
OK	paper_downloaded	PRJEB22252	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB22252.pdf
OK	paper_downloaded	PRJEB22890	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB22890.pdf
OK	paper_downloaded	PRJEB27256	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB27256.pdf
OK	paper_downloaded	PRJEB27342	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB27342.pdf
OK	paper_downloaded	PRJEB28400	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB28400.pdf
OK	paper_downloaded	PRJEB29143	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB29143.pdf
OK	paper_downloaded	PRJEB29424	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB29424.pdf
OK	paper_downloaded	PRJEB29738	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB29738.pdf
OK	paper_downloaded	PRJEB32655	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB32655.pdf
OK	paper_downloaded	PRJEB33565	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB33565.pdf
OK	paper_downloaded	PRJEB35685	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB35685.pdf
OK	paper_downloaded	PRJEB36370	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB36370.pdf
OK	paper_downloaded	PRJEB36486	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB36486.pdf
OK	paper_downloaded	PRJEB38540	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB38540.pdf
OK	paper_downloaded	PRJEB46513	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB46513.pdf
OK	paper_downloaded	PRJEB48268	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB48268.pdf
OK	paper_downloaded	PRJEB50822	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB50822.pdf
OK	paper_downloaded	PRJEB63349	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB63349.pdf
OK	paper_downloaded	PRJEB63361	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB63361.pdf
OK	paper_downloaded	PRJEB6574	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB6574.pdf
OK	paper_downloaded	PRJEB6891	consumed (fulltext_source=local_pdf)	data/find_papers/manual_download/PRJEB6891.pdf
