study_accession	n_samples	collection_date_v2	collection_date_we	collection_date_gap	isolation_source_v2	isolation_source_we	isolation_source_gap	total_gap	methodb	methodb_note	curator_folder	src_tables	src_has_date	src_has_source	src_has_accession
PRJEB42462	1278	1110	0	1110	1167	0	1167	2277	abstained	no joinable table	True	3	True	False	True
PRJEB28400	827	692	0	692	667	0	667	1359	abstained	no joinable table	True	2	True	True	True
PRJEB29742	555	423	0	423	404	0	404	827	abstained	no joinable table; field-bearing tables present but unanchored: ['ciab777_suppl_	True	4	True	True	True
PRJEB6891	513	386	2	386	378	2	378	764	abstained	no joinable table	True	9	True	True	True
PRJNA845975	567	553	567	0	551	0	551	551	abstained	no joinable table	True	0	False	False	False
PRJDB5929	631	620	627	1	523	0	523	524	abstained	no joinable table	True	1	True	True	True
PRJEB29143	498	496	0	496	496	498	0	496	abstained	no joinable table	True	1	True	True	True
PRJNA603790	462	445	462	0	445	0	445	445	abstained	no joinable table	True	0	False	False	False
PRJEB33565	400	378	400	0	373	0	373	373	abstained	joinable tables are accession-manifest only (no field columns); no bridge to fie	True	1	False	True	True
PRJEB24082	200	163	0	163	158	0	158	321	abstained	no joinable table	True	1	True	True	True
PRJEB46513	281	0	0	0	258	0	258	258	abstained	joinable tables are accession-manifest only (no field columns)	True	1	True	True	True
PRJNA341927	244	243	244	0	243	0	243	243	abstained	no joinable table	True	1	False	False	False
PRJEB36486	221	200	0	200	200	221	0	200	abstained	joinable tables are accession-manifest only (no field columns); no bridge to fie	True	1	False	False	True
PRJEB24085	104	96	0	96	94	0	94	190	abstained	no joinable table	False	0	False	False	False
PRJEB1563	198	0	0	0	170	0	170	170	abstained	joinable tables are accession-manifest only (no field columns); no bridge to fie	True	1	False	True	True
PRJNA804332	138	135	138	0	135	0	135	135	abstained	no joinable table; field-bearing tables present but unanchored: ['Table_1.xlsx']	True	1	False	True	False
PRJEB12699	141	126	0	126	0	0	0	126	abstained	no joinable table	True	0	False	False	False
PRJEB20799	46	37	0	37	37	0	37	74	abstained	no joinable table	True	1	True	True	True
PRJNA271899	258	220	255	1	67	4	66	67	abstained	no joinable table	True	1	False	True	True
PRJEB27256	989	960	977	11	960	977	11	22	no_outcome		True	2	False	True	True
PRJDB12075	184	117	184	0	9	0	9	9	abstained	no joinable table; field-bearing tables present but unanchored: ['aem.01712-22-s	False	0	False	False	False
PRJNA557275	340	333	340	0	332	340	0	0	no_outcome		False	0	False	False	False
PRJNA564992	142	142	142	0	142	142	0	0	no_outcome		False	0	False	False	False
PRJNA565795	190	190	190	0	158	159	0	0	no_outcome		False	0	False	False	False
PRJNA564424	537	515	537	0	515	537	0	0	no_outcome		False	0	False	False	False
PRJDB10842	1483	1397	1482	0	1312	1448	0	0	no_outcome		False	0	False	False	False
PRJNA549322	223	46	75	0	46	75	0	0	abstained	no joinable table	False	0	False	False	False
PRJNA544438	237	234	237	0	226	228	0	0	no_outcome		False	0	False	False	False
PRJNA475751	494	471	494	0	444	478	0	0	no_outcome		False	0	False	False	False
PRJNA415194	453	450	453	0	450	453	0	0	no_outcome		False	0	False	False	False
PRJNA604910	264	257	264	0	257	264	0	0	abstained	no joinable table; field-bearing tables present but unanchored: ['mgen-6-391-s00	False	0	False	False	False
PRJNA396774	177	167	177	0	166	177	0	0	no_outcome		False	0	False	False	False
PRJNA395086	166	159	161	0	159	161	0	0	no_outcome		False	0	False	False	False
PRJNA351909	49	37	49	0	37	49	0	0	no_outcome		False	0	False	False	False
PRJNA325243	242	240	241	0	240	241	0	0	two_hop	two-hop: 9 samples via 9 shared IDs, 10 cell-fills	False	0	False	False	False
PRJNA278886	281	245	252	0	243	252	0	0	no_outcome		False	0	False	False	False
PRJNA398288	36	35	36	0	35	36	0	0	no_outcome		False	0	False	False	False
PRJNA646358	141	130	141	0	130	141	0	0	no_outcome		False	0	False	False	False
PRJNA604975	43	25	32	0	25	43	0	0	abstained	no joinable table; field-bearing tables present but unanchored: ['13073_2021_947	False	0	False	False	False
PRJNA626430	159	156	159	0	0	159	0	0	no_outcome		False	0	False	False	False
PRJNA982859	183	171	174	0	171	174	0	0	abstained	no joinable table	False	0	False	False	False
