study_accession	attribute	corrected_value	source
PRJEB1800	amr_study	surveillance	David-verified 2026-06-16 (adjudication)
PRJEB29740	amr_study	surveillance	David-verified 2026-06-16 (adjudication)
PRJEB50614	amr_study	surveillance	David-verified 2026-06-16 (adjudication)
PRJEB5065	amr_study	amr	David-verified 2026-06-16 (adjudication)
PRJEB58018	amr_study	amr	David-verified 2026-06-16 (adjudication)
PRJEB58136	amr_study	mixed	David-verified 2026-06-16 (adjudication)
PRJNA1087366	amr_study	surveillance	David-verified 2026-06-16 (adjudication)
PRJNA271899	amr_study	mixed	David-verified 2026-06-16 (adjudication)
PRJNA325243	amr_study	surveillance	David-verified 2026-06-16 (adjudication)
PRJNA396774	amr_study	mixed	David-verified 2026-06-16 (adjudication)
PRJNA557275	amr_study	mixed	David-verified 2026-06-16 (adjudication)
PRJNA787062	amr_study	amr	David-verified 2026-06-16 (adjudication)
PRJNA857686	amr_study	surveillance	David-verified 2026-06-16 (adjudication)
PRJDB12075	study_setting	community	David-verified 2026-06-16 (adjudication)
PRJEB29143	study_setting	community	David-verified 2026-06-16 (adjudication)
PRJNA1048341	study_setting	hospital	David-verified 2026-06-16 (adjudication)
PRJNA564424	study_setting	mixed	David-verified 2026-06-16 (adjudication)
PRJNA604975	study_setting	mixed	David-verified 2026-06-16 (adjudication)
PRJNA885285	study_setting	community	David-verified 2026-06-16 (adjudication)
