study	file	format	parsed_tables	n_rows	anchored	n_matched	id_column	status
PRJDB5929	PRJDB5929.csv	.csv	1	748	False	0		NO_ID_MATCH
PRJDB6407	PRJDB6407.pdf	.pdf	0	0	False	0		PARSE_EMPTY
PRJEB10018	PRJEB10018.csv	.csv	1	1718	True	1717	2	LINKED
PRJEB1271	PRJEB1271.xlsx	.xlsx	6	567	True	224	0	LINKED
PRJEB1271_data_table_13059_2019_1785_MOESM2_ESM	PRJEB1271_data_table_13059_2019_1785_MOESM2_ESM.xlsx	.xlsx	6	567	False	0		STUDY_NOT_IN_COHORT
PRJEB21605	PRJEB21605.csv	.csv	1	366	True	148	0	LINKED
PRJEB24085	PRJEB24085.pdf	.pdf	11	73	True	54	1	LINKED
PRJEB24970	PRJEB24970.csv	.csv	1	318	True	224	0	LINKED
PRJEB27342	PRJEB27342.csv	.csv	1	3484	True	3227	0	LINKED
PRJEB28400	PRJEB28400.csv	.csv	1	3154	True	719	0	LINKED
PRJEB29143	PRJEB29143.csv	.csv	1	497	True	496	0	LINKED
PRJEB29738	PRJEB29738.csv	.csv	1	149	True	147	0	LINKED
PRJEB29740	PRJEB29740.csv	.csv	1	1073	True	815	0	LINKED
PRJEB39567	PRJEB39567.csv	.csv	1	19582	False	0		NO_ID_MATCH
PRJEB39567	PRJEB39567.xlsx	.xlsx	1	305	False	0		NO_ID_MATCH
PRJEB42462	PRJEB42462.csv	.csv	1	1374	True	1156	2	LINKED
PRJEB42526	PRJEB42526.xlsx	.xlsx	1	73	True	6	0	LINKED
PRJEB48990	PRJEB48990.csv	.csv	1	422	True	420	2	LINKED
PRJEB58136	PRJEB58136.csv	.csv	1	332	True	138	5	LINKED
PRJEB6891	PRJEB6891.csv	.csv	1	112	True	84	17	LINKED
PRJNA1076808	PRJNA1076808.xlsx	.xlsx	1	828	False	0		NO_ID_MATCH
PRJNA514908	PRJNA514908.csv	.csv	1	242	False	0		STUDY_NOT_IN_COHORT
PRJNA548120	PRJNA548120.csv	.csv	1	608	True	4	0	LINKED
PRJNA564424	PRJNA564424.csv	.csv	1	64	False	0		NO_ID_MATCH
PRJNA605147	PRJNA605147.xlsx	.xlsx	1	828	True	76	0	LINKED
PRJNA633565	PRJNA633565.csv	.csv	1	169	True	166	0	LINKED
PRJNA675776	PRJNA675776.xlsx	.xlsx	4	109	True	105	0	LINKED
PRJNA684006	PRJNA684006.csv	.csv	1	982	False	2		WEAK_MATCH(2<3)
PRJNA778230	PRJNA778230.csv	.csv	1	332	False	0		NO_ID_MATCH
