study_accession	paper_short_title	n_isolates	fold	seed	ena_total_samples	ena_total_runs	ena_taxon_samples	n_child_studies	umbrella_suspected	by_scientific_name	fetch_status
PRJEB27342	northern_italy_ghana_one_health	3482.0	test	20260612	6368	6368	6354	1	False	"{""Klebsiella aerogenes"": 67, ""Klebsiella grimontii"": 38, ""Klebsiella huaxiensis"": 6, ""Klebsiella michiganensis"": 61, ""Klebsiella ornithinolytica"": 44, ""Klebsiella oxytoca"": 56, ""Klebsiella pasteurii"": 23, ""Klebsiella planticola"": 31, ""Klebsiella pneumoniae"": 5877, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 22, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 5, ""Klebsiella quasivariicola"": 2, ""Klebsiella spallanzanii"": 7, ""Klebsiella terrigena"": 27, ""Klebsiella variicola"": 33, ""Klebsiella variicola subsp. variicola"": 55}"	ok
PRJNA376414	ESPL KP Texas	1777.0	test	20260612	1779	1787	1779	1	False	"{""Klebsiella pneumoniae"": 1777, ""Klebsiella quasivariicola"": 1, ""Klebsiella variicola"": 1}"	ok
PRJEB10018	EuSCAPE	1718.0	test	20260612	2691	2699	2321	1	False	"{""Klebsiella pneumoniae"": 2253, ""Klebsiella quasipneumoniae"": 17, ""Klebsiella quasivariicola"": 3, ""Klebsiella variicola"": 48}"	ok
PRJEB32655	malawi_ceftriaxone_esbl_enterobacteriaceae	1485.0	test	20260612	1485	1485	238	1	False	"{""Klebsiella ornithinolytica"": 3, ""Klebsiella oxytoca"": 7, ""Klebsiella pneumoniae"": 228}"	ok
PRJEB29424	Viet Nam MDR	1316.0	test	20260612	2204	2204	713	1	False	"{""Klebsiella oxytoca"": 1, ""Klebsiella pneumoniae"": 712}"	ok
PRJNA529744	australian_cpe_surveillance	1252.0	test	20260612	1252	1252	456	1	False	"{""Klebsiella aerogenes"": 1, ""Klebsiella oxytoca"": 15, ""Klebsiella pneumoniae"": 440}"	ok
PRJEB48268	death_risk_bsis	1088.0	test	20260612	1110	1279	1110	1	False	"{""Klebsiella pneumoniae"": 1110}"	ok
PRJNA548120	India_enterobacteriaceae	982.0	test	20260612	16	17	14	1	False	"{""Klebsiella pneumoniae"": 14}"	ok
PRJEB21081	klebsiella_diversity_in_Argentina	932.0	test	20260612	926	932	926	1	False	"{""Klebsiella pneumoniae"": 926}"	ok
PRJNA684006	Malawi_neonatal_outbreak	898.0	test	20260612	2	2	2	1	False	"{""Klebsiella pneumoniae"": 2}"	ok
PRJEB29738	klebsiella_phillipines	862.0	test	20260612	3432	3432	862	1	False	"{""Klebsiella pneumoniae"": 766, ""Klebsiella quasipneumoniae"": 95, ""Klebsiella variicola"": 1}"	ok
PRJEB63349	cpe_southern_europe	687.0	test	20260612	687	687	687	1	False	"{""Klebsiella pneumoniae"": 687}"	ok
PRJNA577535	singapore_cpe	575.0	test	20260612	1293	1293	799	1	False	"{""Klebsiella aerogenes"": 41, ""Klebsiella michiganensis"": 6, ""Klebsiella oxytoca"": 9, ""Klebsiella pneumoniae"": 662, ""Klebsiella quasipneumoniae"": 47, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 11, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 14, ""Klebsiella variicola"": 1, ""Klebsiella variicola subsp. variicola"": 8}"	ok
PRJNA757551	singapore_cpe_surveillance	532.0	test	20260612	758	758	375	1	False	"{""Klebsiella aerogenes"": 11, ""Klebsiella michiganensis"": 1, ""Klebsiella oxytoca"": 2, ""Klebsiella pneumoniae"": 346, ""Klebsiella quasipneumoniae"": 14, ""Klebsiella variicola"": 1}"	ok
PRJEB42350	Gastrointestinal carriage	484.0	test	20260612	484	563	484	1	False	"{""Klebsiella pneumoniae"": 484}"	ok
PRJEB1271	CUH_longitudinal	464.0	test	20260612	461	464	229	1	False	"{""Klebsiella aerogenes"": 11, ""Klebsiella oxytoca"": 2, ""Klebsiella planticola"": 1, ""Klebsiella pneumoniae"": 199, ""Klebsiella quasipneumoniae"": 8, ""Klebsiella quasivariicola"": 1, ""Klebsiella variicola"": 7}"	ok
