study_accession	chosen_title	chosen_pmid	chosen_pmcid	chosen_doi	paper_title	paper_link	ena_taxon_samples	adj_same_paper	adj_same_paper_reason	adj_verdict	adj_justification_quote	adj_reasoning	adj_rule_gap
PRJEB39943	Persistent spread of carbapenemase-producing Klebsiella pneumoniae in acute care hospitals in 36 European countries (the CCRE survey): a prospective, multicentre, cross-sectional, epidemiological, microbiological, and genomic surveillance study.	42127954	PMC13259977	10.1016/j.lanmic.2025.101320	European_wide_survey_of_carbapenem__and_or_colistin_resistant_Enterobacteriaceae	https://pmc.ncbi.nlm.nih.gov/articles/PMC10668257/	2904	False	Different works. Paper A is the primary pan-European CCRE survey (2973 K. pneumoniae species complex isolates, 302 hospitals, 36 countries, 2019) and is the depositor of PRJEB39943. Paper B is a Greek national follow-up study (Eurosurveillance) covering 2013-2022 with only 310 carbapenem-R/I isolates assembled from three sources (40 EuSCAPE + 128 CCRE + 142 from a new 2022 follow-up survey). Different titles, authors, geographic scope, and sample counts; Paper B explicitly cites the CCRE survey as a separate reference [7].	found_correct	The raw reads of isolates from this study were deposited in the European Nucleotide Archive under accession numbers PRJEB39943 and PRJEB51224.	PRJEB39943 is the 2019 CCRE survey. Paper A (found) is the primary CCRE survey study that generated and deposited these genomes, stating its raw reads were deposited under PRJEB39943 (and PRJEB51224), describing the full 2973-isolate cohort, sampling protocol, sequencing, and analysis. Paper B (curated) is a Greek follow-up that merely reuses a 128-isolate subset of the CCRE data ('128 from the CCRE survey') alongside EuSCAPE and a new 2022 collection, and cites the CCRE survey as a distinct, then-unpublished reference. Thus Paper A describes this project and Paper B reuses/cites the data: found_correct.	Curation attached a secondary data-reuse follow-up that shares the ENA project title; the finder correctly identified the primary depositor instead, so no finder weakness is revealed here.
PRJNA475751	Methods for cost-efficient, whole genome sequencing surveillance for enhanced detection of outbreaks in a hospital setting			10.1101/2024.02.16.24302955	Real-Time Genomic Surveillance for Enhanced Healthcare Outbreak Detection and Control: Clinical and Economic Impact	https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciaf216/8122482?login=true	948	False	Different titles, journals, and focus. PAPER A is a medRxiv preprint (DOI 10.1101/2024.02.16...) on laboratory/analytical methods and per-sample costs, formatted with 'Impact statement'/'Data Summary' sections characteristic of Microbial Genomics. PAPER B is a Clinical Infectious Diseases article (10.1093/cid/ciaf216) titled around 'Clinical and Economic Impact' of real-time surveillance. These read as two distinct EDS-HAT outputs (a methods/cost paper vs a clinical-economic outcomes paper), not a single work in preprint+published form. No text for B confirms otherwise.	found_correct	The whole genome sequencing data generated in this study are deposited in the United States National Institutes of Health, National Library of Medicine ( https://www.ncbi.nlm.nih.gov/bioproject ), and are publicly available under BioProject accession PRJNA475751.	PRJNA475751 is the EDS-HAT program bioproject (ENA title 'Enhanced detection system for hospital associated transmission (EDS-HAT)'). PAPER A explicitly describes the EDS-HAT WGS surveillance program/workflow that generates these genomes and names this exact BioProject as the deposit location for 'the whole genome sequencing data generated in this study' — direct, verbatim evidence it is a primary descriptor of the project. PAPER B (the hand-curated reference) has no provided text, so its relationship to the genomes (primary deposit vs reuse/citation) cannot be verified; per the rule, an unverifiable paper cannot be credited and cannot upgrade this to both_describe. Treating A as the finder's pick and B as the curated pick, the finder's paper is confirmed correct while the curated paper is unsupported by the available evidence.	Umbrella program-level bioprojects (EDS-HAT, PRJNA475751, 948 samples accumulated over years) legitimately map to many papers — a methods/cost paper, a clinical-economic impact paper, individual outbreak studies — all depositing to the same accession. 'The primary study' is ill-defined for such program bioprojects, so a finder picking one program paper and a curator picking another can both be defensible; adjudication is further blocked when one side's full text is absent.
PRJNA768622	Genomic epidemiology and longitudinal sampling of ward wastewater environments and patients reveals complexity of the transmission dynamics of <i>bla</i> <sub>KPC</sub>-carbapenemase-producing Enterobacterales in a hospital setting.	39234218	PMC11369815	10.1093/jacamr/dlae140	TRACE (Tracking Carbapenemase-producing Enterobacteriaceae), wastewater and patient samples, manchester	https://pubmed.ncbi.nlm.nih.gov/32094139/	832	False	Different studies by the same TRACE consortium. Paper A is a 2016 prospective longitudinal study sampling 349 wastewater sites across six MFT wards plus patient screening (~1646 CPE isolates sequenced) and deposits PRJNA768622/PRJNA514245. Paper B (Stoesser et al. 2020, AAC) is a retrospective UK surveillance study of 604 archived blaKPC isolates from 2009–2014 (CMFT/UHSM + regional/national PHE referrals, no environmental wastewater sampling, PacBio long-read subset) and deposits PRJNA564424. Distinct cohorts, time frames, sample counts, designs, and BioProject accessions — not a preprint/publication pair.	found_correct	Sequence data have been deposited in NCBI (BioProject accessions PRJNA768622, PRJNA514245; Supplementary dataset 2).	The ENA project PRJNA768622 describes patient + environmental blaKPC-Enterobacterales diversity across six wards in a UK hospital over 6–12 months, ~349 wastewater sites, up to five isolates per niche (TRACE group). Paper A matches this exactly — '349 sites across the six study wards were sampled a total of 4488 times over 6–12 months', patient rectal screening, up to five colonies per niche — and its data-availability statement explicitly deposits the genomes in PRJNA768622, making it the primary study that generated/deposited this accession's genomes (found_correct). Paper B explicitly deposits a different BioProject (PRJNA564424), covers 2009–2014 archived clinical isolates with no systematic ward-wastewater longitudinal sampling, and does not reference PRJNA768622; it neither generated nor reuses this project's data. Therefore only Paper A describes THIS project.	The hand-curated label ('TRACE ... wastewater and patient samples, manchester') matched the project on consortium name, location, and topic keywords, but pointed to a different TRACE/Stoesser blaKPC paper with its own BioProject (PRJNA564424). Surface-level matching on author group + topic without confirming the deposited accession in the data-availability statement can attach the wrong same-group paper; the deciding signal is the explicit BioProject ID.
PRJDB5929	Genomic Characterization of Carbapenemase-Producing Klebsiella pneumoniae with Chromosomally Carried <i>bla</i><sub>NDM-1</sub>.	30323033	PMC6256778	10.1128/aac.01520-18	Nationwide surveillance in Thailand revealed genotype-dependent dissemination of carbapenem-resistant Enterobacterales	https://pmc.ncbi.nlm.nih.gov/articles/PMC9453063/	707	False	Different works. Paper A (Sakamoto et al. 2018, AAC) is a focused mechanistic case study on just two chromosomal-blaNDM-1 K. pneumoniae isolates (KP64/KP67 plus control KP33, all ST14), depositing 9 DDBJ complete-genome accessions (AP018747-AP018755). Paper B (PMC9453063) is a nationwide 11-province CRE surveillance of ~700 WGS isolates (766 collected, 747 KP+EC). Different titles, scope, cohort and sample counts; not a preprint/version pair.	curated_correct	in this study, we investigated the epidemiological and genomic characteristics of CRE from 11 provinces in Thailand using whole-genome sequencing (WGS)... Allowing duplication, 697 and 68 isolates were subjected to HiSeq and PacBio RSII/GridION sequencing, respectively.	PRJDB5929 is 'Whole genome sequencing of carbapenem-resistant Enterobacteriaceae isolated in Thailand' with 707 taxon samples and explicit emphasis on plasmids harbouring carbapenemase genes. That matches Paper B's primary study: a nationwide CRE surveillance across 11 provinces generating ~700 WGS isolates with extensive carbapenemase-gene/plasmid replicon characterisation — the scale (~700) aligns with the 707 samples and the plasmid emphasis aligns with the project description. Paper A is a small derivative sub-study: it analyses only KP64/KP67/KP33, explicitly draws these isolates from a larger 'molecular epidemiology study of CRE in Bangkok' collection, and deposits just 9 complete-genome accessions — it reuses isolates from the larger cohort rather than being the primary study that generated/deposited the 707-sample project. Hence Paper B is the project-describing paper.	A finder can be lured by a small mechanistic/case-study paper that shares organism (K. pneumoniae), country (Thailand), carbapenemase (NDM-1) and DDBJ deposits, yet only generated a handful of genomes; candidates whose sample count is orders of magnitude below the project's taxon-sample count (here 9 vs 707) should be down-weighted as derivative reuses rather than the primary deposition study.
PRJNA1028672	Carbapenem-resistant Klebsiella pneumoniae capsular types, antibiotic resistance and virulence factors in China: a longitudinal, multi-centre study.	38424289	PMC10914598	10.1038/s41564-024-01612-1	Epidemiology and role of surface polysaccharides in carbapenem-resistant Klebsiella pneumoniae: a multi-center,five-year surveillance in China	https://www.nature.com/articles/s41564-024-01612-1#:~:text=In%20conclusion%2C%20we%20describe%20a,characteristics%20of%20the%20CRKP%20strains.	546	True	Paper B's nature.com link (s41564-024-01612-1, Nat Microbiol) and Paper A (PMC10914598) are the same article: the URL text-fragment quotes Paper A's exact conclusion ('In conclusion, we describe a...characteristics of the CRKP strains'). Paper B's heading is the ENA submission/working title while Paper A is the published article title, but both resolve to the one Nature Microbiology paper — identical cohort (1,017 CRKP, 2016–2020, 40 hospitals China, surface-polysaccharide focus).	both_describe	We performed whole-genome sequencing on 207 KL47 and 319 KL64 isolates and found that >99% (523/526) of them belonged to sequence type ST11	Paper A is the primary study that generated and deposited the genomes: it newly sequenced 207 KL47 + 319 KL64 isolates (526) plus non-carbapenemase-producing strains, matching the ENA project (546 taxon samples) and its five-year multicentre China surface-polysaccharide CRKP description. Since Paper A and Paper B are the same article (PMC version vs nature.com link to the same DOI), both describe this project.	The ENA project title matches Paper B's working/submission title verbatim but differs from the actual published article title (Paper A); a finder doing title-string matching against ENA metadata could wrongly treat the published version as a different/unrelated paper.
PRJNA855907	Characterization of Extensively Drug-Resistant (XDR) Carbapenemase-Producing <i>Enterobacterales</i> (CPE) in Canada from 2019 to 2020.	35950772	PMC9430190	10.1128/spectrum.00975-22	Plasmid genomic epidemiology of carbapenem-hydrolysing class D β-lactamase (CDHL)-producing Enterobacterales in Canada, 2010−2021	https://pmc.ncbi.nlm.nih.gov/articles/PMC11261825/	508	False	Different works sharing one umbrella BioProject. Paper A ('Characterization of XDR CPE in Canada 2019-2020', PMC9430190) covers 482 CPE isolates from 440 patients across all carbapenemase types (KPC, NDM, OXA-48, etc.) sequenced on Illumina NextSeq. Paper B ('Plasmid genomic epidemiology of CDHL/OXA-48-type producers 2010-2021', PMC11261825) covers 249 OXA-48-type isolates sequenced on Illumina MiSeq + ONT, focused on plasmid epidemiology. Different titles, authors, time spans, cohorts, sample counts, and findings — not a preprint/published pair.	both_describe	"PAPER A: ""Isolates were sequenced using the Illumina NextSeq platform... The BioProject number under which the generated sequencing data can be found is PRJNA855907."" PAPER B: ""All 249 isolates were sequenced with Illumina MiSeq platforms and 88 of these were additionally sequenced using Oxford Nanopore Technologies (ONT)... Raw sequencing reads were deposited to the NCBI SRA archive under BioProject PRJNA855907 ... see Table S1 ... for a list of accessions."""	PRJNA855907 is a program-level (CNISP) surveillance BioProject with 508 samples — an umbrella deposit. Each paper independently generated its own whole-genome sequencing data from a distinct CNISP CPE cohort and explicitly states that those generated reads were deposited under PRJNA855907 (Paper A for its 2019-2020 XDR characterization set; Paper B for its 2010-2021 OXA-48-type set, with accessions in Table S1). Neither paper merely reuses or cites pre-existing data — both are primary depositing studies contributing different subsets of genomes to the same BioProject. Therefore both describe this project.	Program/surveillance-level umbrella BioProjects (e.g., CNISP) can have multiple distinct primary studies, each depositing a different cohort subset under the same accession. A finder that assumes a single BioProject maps to one paper will wrongly flag one legitimate depositor as a mere data-reuser; it should allow multiple co-primary deposits for surveillance-program BioProjects.
PRJEB38289	Methylation analysis of Klebsiella pneumoniae from Portuguese hospitals.	33753763	PMC7985491	10.1038/s41598-021-85724-2	Genomic epidemiological analysis of Klebsiella pneumoniae from Portuguese hospitals reveals insights into circulating antimicrobial resistance	https://pubmed.ncbi.nlm.nih.gov/35963896/	508	False	No. Paper A is an 8-isolate PacBio RSII SMRT methylation/epigenome study that deposits its assemblies in PRJEB38289; Paper B is a 509-isolate Illumina HiSeq genomic-epidemiology/AMR survey spanning 1980-2019. Different sequencing platforms, sample sizes (8 vs 509), aims, tables/figures and findings. They share authors, country and institutions but are clearly distinct articles, not a preprint/published pair or two IDs for one work.	curated_correct	The assembled sequences are deposited in the European Nucleotide Archive (project PRJEB38289). Accession numbers and metadata are presented in Table S1.	The ENA project title 'Methylation analysis of Klebsiella pneumoniae using PacBio sequencing' matches Paper A exactly: Paper A is the methylation/epigenome study, its isolates were 'sequenced on the PacBio RSII technology' / 'sequenced at the Genome Institute Singapore on the PacBio RSII platform', and its Data Availability statement explicitly names PRJEB38289 as the deposit. Paper A is therefore the primary study that generated and deposited this project's genomes. Paper B is a different study: 'WGS was performed on Illumina HiSeq (paired end 150 bp)', 509 isolates, no methylation/PacBio work, and it never cites PRJEB38289 in the provided text. The ENA taxon count (508) superficially resembles Paper B's 509 isolates, but that is a coincidence of cohort size from the same group/country; the deposit described by the project (PacBio methylation, accession explicitly cited) is Paper A's, not Paper B's. Paper B neither describes nor relies on this PacBio deposit, so it is not both_describe.	Finder appears to be pulled toward sample-count proximity (ENA 508 ≈ Paper B's 509 isolates) plus shared authors/country/institution, while ignoring the decisive discriminators: the ENA project title specifies PacBio (Paper A's platform; Paper B is Illumina) and only Paper A explicitly cites PRJEB38289. Cohort-size similarity from the same lab should not outweigh sequencing-platform match and an explicit accession citation.
PRJEB46513	Transmission dynamics of Klebsiella pneumoniae in a neonatal intensive care unit in Zambia before and after an infection control bundle.	41662406	PMC12885268	10.1371/journal.pgph.0005965	Distribution of capsule and O types in Klebsiella pneumoniae causing neonatal sepsis in Africa and South Asia: meta-analysis of genome-predicted serotype prevalence and potential vaccine coverage; Published on Pathogenwatch	https://www.medrxiv.org/content/10.1101/2025.06.28.25330253v1.full; https://pathogen.watch/collection/klebnet-neonatal-sepsis	455	False	Different works. Paper A ('Transmission dynamics of K. pneumoniae in a NICU in Zambia before and after an infection control bundle', the SPINZ WGS study) is a single-site Zambian NICU transmission study of 411 K. pneumoniae genomes. Paper B is a multi-country meta-analysis ('Distribution of capsule and O types... causing neonatal sepsis in Africa and South Asia: meta-analysis of genome-predicted serotype prevalence and potential vaccine coverage') aggregating serotype data across many collections. Different titles, scope, cohorts (single Zambia NICU vs Africa+South Asia meta-analysis) and aims — not a preprint/published pair of one article.	found_correct	Whole-genome sequence data were deposited by the sequencing laboratory (Quadram Institute of Bioscience, UK) under BioProject PRJEB46513.	ENA project PRJEB46513 = 'Klebsiella samples from a neonatal unit in Zambia' (455 samples). Paper A is the primary study that generated and deposited these genomes: it characterizes stored K. pneumoniae clinical isolates from the SPINZ Zambian NICU study (411 high-quality genomes), describes the sequencing (QIB, Illumina NextSeq 500), and explicitly names BioProject PRJEB46513 as the deposit accession — a one-to-one match in organism, site, and sample scale. Paper B is a meta-analysis of genome-predicted serotype prevalence across Africa and South Asia (Pathogenwatch KlebNET neonatal-sepsis collection) that reuses/aggregates such data rather than generating this project's genomes. Therefore Paper A (the found paper) describes this project; Paper B merely reuses data.	Aggregator/meta-analysis papers built on pooled public collections (e.g. Pathogenwatch KlebNET neonatal-sepsis) can superficially match an accession's organism and clinical theme and be mistaken for the primary depositing study; matching should require an explicit deposition/accession statement rather than topical overlap.
PRJEB63361	Carbapenem resistant Klebsiella pneumoniae isolates at a tertiary hospital in Cape Town, South Africa, are dominated by specific local clones rather than previously described international lineages.	41544111	PMC12810914	10.1371/journal.ppat.1013859	Unpublished	https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJEB63361	413	False	Paper A is a fully published article (PMC12810914) describing the CRKP collection at Tygerberg Hospital. Paper B has no text at all — it is merely an 'Unpublished' placeholder pointing to the bioproject page for PRJEB63361. With no title, authors, or content for B, there is nothing to match against A, so they cannot be established as the same work.	found_correct	Sequencing data has been deposited in the ENA under project number (PRJEB63361), with individual accession numbers listed in S1 Table.	The ENA project description (414 CRKP collected 2016-2020 at Tygerberg Hospital, ST2621 and ST39 each ~40%, blaOXA-181 vs blaNDM-1 split, neonatal/paediatric carriage vs adult clinical) is essentially the abstract of Paper A. Paper A is the primary study that collected, sequenced, and deposited these 413 isolates, and explicitly states the data were deposited under PRJEB63361 with per-isolate accessions in S1 Table — it is the work that generated this project's genomes. Paper B contains no text (an unpublished bioproject-link placeholder), so it cannot describe anything. Thus the found paper (A) is the correct primary descriptor.	The curated entry (Paper B) is an empty 'Unpublished' bioproject-link placeholder with no extractable text, so there is no content to adjudicate against; the case is decided entirely by the found paper plus ENA metadata.
PRJEB5065	Recent independent emergence of multiple multidrug-resistant Serratia marcescens clones within the United Kingdom and Ireland.	27432456	PMC4971767	10.1101/gr.205245.116	Evolution and Epidemiology of Multidrug-Resistant Klebsiella pneumoniae in the United Kingdom and Ireland	https://pubmed.ncbi.nlm.nih.gov/28223459/	381	False	Different works: Paper A is on Serratia marcescens (205 MDR bloodstream isolates, Genome Research) and Paper B on Klebsiella pneumoniae (250 MDR isolates, mBio). Different species, sample counts, titles, references and findings. They share an author group (Moradigaravand et al.) and the same BSAC MDR Gram-negative collection/methods, but are distinct sibling studies — not one article, nor a preprint/publication pair.	found_correct	The sequence data for the isolates from this study have been submitted to the European Nucleotide Archive (ENA; http://www.ebi.ac.uk/ena) under accession numbers PRJEB5065 and ERP004424.	The project PRJEB5065 (ERP004424), titled the 'Multi_Drug_Resistant_Gram_Negative_Rods (MDR GNR) sequencing study' from the BSAC Resistance Surveillance Project, is explicitly named as the deposition target by Paper A — the Serratia marcescens study (a Gram-negative rod, BSAC MDR bacteraemia 2001–2011), which matches the ENA title and source. Paper A is therefore the primary study that generated/deposited the genomes in this accession. Paper B (Klebsiella) is a sibling study from the same overarching BSAC MDR GNR collection but never cites PRJEB5065 — its data availability points to Mendeley, and its contextual projects are other accessions; it is a different species with 250 isolates (205 Serratia + 250 Klebsiella = 455 > the project's 381 samples), so the two cannot be co-deposited here. Taking A as the finder-proposed reference, it correctly describes the project; the curated Klebsiella paper merely shares the collection lineage and does not describe this accession.	Umbrella 'MDR GNR sequencing study' projects spawn several species-specific sibling papers from the same group/collection with near-identical methods, ethics references, BSAC sourcing and even shared infrastructure; a finder matching on collection/source/author rather than the explicit ENA accession plus species can lock onto the wrong sibling (here Klebsiella vs the Serratia paper that actually cites PRJEB5065).
