study_accession	status	title	doi	pmid	pmcid	link	found_via	action
PRJDB11378	no_candidate_search_needed							finder found nothing — manual literature search (or confirm no paper)
PRJDB16680	no_candidate_search_needed							finder found nothing — manual literature search (or confirm no paper)
PRJEB12888	no_candidate_search_needed							finder found nothing — manual literature search (or confirm no paper)
PRJEB40861	no_candidate_search_needed							finder found nothing — manual literature search (or confirm no paper)
PRJEB49326	no_candidate_search_needed							finder found nothing — manual literature search (or confirm no paper)
PRJEB8667	no_candidate_search_needed							finder found nothing — manual literature search (or confirm no paper)
PRJNA269675	no_candidate_search_needed							finder found nothing — manual literature search (or confirm no paper)
PRJNA353728	no_candidate_search_needed							finder found nothing — manual literature search (or confirm no paper)
PRJNA949653	no_candidate_search_needed							finder found nothing — manual literature search (or confirm no paper)
PRJEB20234	paper_known_download_pdf	Stalking a lethal superbug by whole-genome sequencing and phylogenetics: Influence on unraveling a major hospital outbreak of carbapenem-resistant Klebsiella pneumoniae.	10.1016/j.ajic.2017.07.022	28935481		https://doi.org/10.1016/j.ajic.2017.07.022	web_search	download PDF -> data/find_papers/manual_download/PRJEB20234.pdf, re-run
PRJEB36370	paper_known_download_pdf	Investigation of possible clonal transmission of carbapenemase-producing Klebsiella pneumoniae complex member isolates in Denmark using core genome MLST and National Patient Registry Data.	10.1016/j.ijantimicag.2020.105931	32135203		https://doi.org/10.1016/j.ijantimicag.2020.105931	europepmc_title	download PDF -> data/find_papers/manual_download/PRJEB36370.pdf, re-run
PRJNA797179	paper_known_download_pdf	Clinical Implementation of Routine Whole-genome Sequencing for Hospital Infection Control of Multi-drug Resistant Pathogens.	10.1093/cid/ciac726	36056896		https://doi.org/10.1093/cid/ciac726	published_version,web_search	download PDF -> data/find_papers/manual_download/PRJNA797179.pdf, re-run
PRJNA878595	paper_known_download_pdf	Multicenter comparative genomic study of Klebsiella oxytoca complex reveals a highly antibiotic-resistant subspecies of Klebsiellamichiganensis.	10.1016/j.jmii.2023.10.014	37953085		https://doi.org/10.1016/j.jmii.2023.10.014	web_search	download PDF -> data/find_papers/manual_download/PRJNA878595.pdf, re-run
