study_accession	has_paper	date_gap	source_gap	gap_samples	ena_taxon_samples	fulltext_status	best_url	doi	pmid	pmcid	paper_link	title	save_as
PRJEB28400	True	692	667	1359	745	none	https://doi.org/10.1016/s2666-5247(22)00181-1	10.1016/s2666-5247(22)00181-1	36206776		https://www.thelancet.com/journals/lanmic/article/PIIS2666-5247(22)00181-1/fulltext?uuid=uuid%3Ab233fac2-1f11-4aa3-9653-d84ae67c113e	Genomic characterisation of multidrug-resistant Escherichia coli, Klebsiella pneumoniae, and Acinetobacter baumannii in two intensive care units in Hanoi, Viet Nam: a prospective observational cohort study.	PRJEB28400.pdf
PRJEB6891	True	386	378	764	490	none	https://doi.org/10.1093/cid/cix270	10.1093/cid/cix270	28369261	PMC5850561	https://www.nature.com/articles/s41467-022-30717-6	Gastrointestinal Carriage Is a Major Reservoir of Klebsiella pneumoniae Infection in Intensive Care Patients.	PRJEB6891.pdf
PRJEB29143	True	496	0	496	498	none	https://doi.org/10.1080/19490976.2020.1748257	10.1080/19490976.2020.1748257	32404021	PMC7527070	https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2018.03000/full	<i>Klebsiella pneumoniae</i> carriage in low-income countries: antimicrobial resistance, genomic diversity and risk factors.	PRJEB29143.pdf
PRJNA603790	True	0	445	445	462	none	https://doi.org/10.1016/s2666-5247(22)00115-x	10.1016/s2666-5247(22)00115-x	35803292	PMC9869340	https://www.sciencedirect.com/science/article/pii/S266652472200115X?via%3Dihub#sec1	Threshold-free genomic cluster detection to track transmission pathways in health-care settings: a genomic epidemiology analysis.	PRJNA603790.pdf
PRJEB33565	True	0	373	373	403	none	https://doi.org/10.1038/s41564-021-00870-7	10.1038/s41564-021-00870-7	33782558	PMC8007471	https://www.medrxiv.org/content/10.1101/2025.06.28.25330253v1.full;	Characterization of antimicrobial-resistant Gram-negative bacteria that cause neonatal sepsis in seven low- and middle-income countries.	PRJEB33565.pdf
PRJEB46513	True	0	258	258	455	none	https://doi.org/10.1371/journal.pgph.0005965	10.1371/journal.pgph.0005965	41662406	PMC12885268	https://www.medrxiv.org/content/10.1101/2025.06.28.25330253v1.full;	Transmission dynamics of Klebsiella pneumoniae in a neonatal intensive care unit in Zambia before and after an infection control bundle.	PRJEB46513.pdf
PRJNA341927	True	0	243	243	244	none	https://doi.org/10.1093/jac/dkx135	10.1093/jac/dkx135	28486697		https://academic.oup.com/jac/article/72/8/2219/3806839?login=false#supplementary-data	Evolution and dissemination of the Klebsiella pneumoniae clonal group 258 throughout Israeli post-acute care hospitals, 2008-13.	PRJNA341927.pdf
PRJEB36486	True	200	0	200	221	none	https://doi.org/10.1038/s41564-022-01216-7	10.1038/s41564-022-01216-7	36065064	PMC9519460	https://www.nature.com/articles/s41564-022-01216-7	Colonization dynamics of extended-spectrum beta-lactamase-producing Enterobacterales in the gut of Malawian adults.	PRJEB36486.pdf
PRJEB1563	True	0	170	170	198	none	https://doi.org/10.1016/j.ijmm.2017.07.006	10.1016/j.ijmm.2017.07.006	28789913	PMC5615107	https://www.sciencedirect.com/science/article/pii/S1438422117301121	Molecular epidemiology of Klebsiella pneumoniae invasive infections over a decade at Kilifi County Hospital in Kenya.	PRJEB1563.pdf
PRJEB20799	True	37	37	74	44	none	https://doi.org/10.1016/s2666-5247(20)30061-6	10.1016/s2666-5247(20)30061-6	35544262		https://pathogen.watch/collection/klebnet-neonatal-sepsis	Investigation of sequential outbreaks of Burkholderia cepacia and multidrug-resistant extended spectrum β-lactamase producing Klebsiella species in a West African tertiary hospital neonatal unit: a retrospective genomic analysis.	PRJEB20799.pdf
PRJEB27256	True	11	11	22	1063	none	https://doi.org/10.1093/jac/dkab463	10.1093/jac/dkab463	34935048	PMC8865009	https://academic.oup.com/jac/article/77/3/665/6475960?login=false	A nationwide genomic study of clinical Klebsiella pneumoniae in Norway 2001-15: introduction and spread of ESBLs facilitated by clonal groups CG15 and CG307.	PRJEB27256.pdf
PRJNA475751	True	0	0	0	948	none	https://doi.org/10.1101/2024.02.16.24302955	10.1101/2024.02.16.24302955			https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciaf216/8122482?login=true	Methods for cost-efficient, whole genome sequencing surveillance for enhanced detection of outbreaks in a hospital setting	PRJNA475751.pdf
PRJNA1028672	True	0	0	0	546	none	https://doi.org/10.1038/s41564-024-01612-1	10.1038/s41564-024-01612-1	38424289	PMC10914598	https://www.nature.com/articles/s41564-024-01612-1#:~:text=In%20conclusion%2C%20we%20describe%20a,characteristics%20of%20the%20CRKP%20strains	Carbapenem-resistant Klebsiella pneumoniae capsular types, antibiotic resistance and virulence factors in China: a longitudinal, multi-centre study.	PRJNA1028672.pdf
PRJNA415194	True	0	0	0	459	abstract	https://doi.org/10.1128/aac.01622-19	10.1128/aac.01622-19	31451495	PMC6811406	https://pmc.ncbi.nlm.nih.gov/articles/PMC6811406/	Whole-Genome Sequencing To Identify Drivers of Carbapenem-Resistant Klebsiella pneumoniae Transmission within and between Regional Long-Term Acute-Care Hospitals.	PRJNA415194.pdf
PRJNA686897	True	0	0	0	452	none	https://doi.org/10.1093/cid/ciab457	10.1093/cid/ciab457	33999991	PMC8528401		Regional Spread of blaNDM-1-Containing Klebsiella pneumoniae ST147 in Post-Acute Care Facilities.	PRJNA686897.pdf
PRJEB63361	True	0	0	0	413	none	https://doi.org/10.1371/journal.ppat.1013859	10.1371/journal.ppat.1013859	41544111	PMC12810914	https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJEB63361	Carbapenem resistant Klebsiella pneumoniae isolates at a tertiary hospital in Cape Town, South Africa, are dominated by specific local clones rather than previously described international lineages.	PRJEB63361.pdf
PRJEB35685	True	0	0	0	412	none	https://doi.org/10.1016/j.cmi.2020.01.027	10.1016/j.cmi.2020.01.027	32006688		https://www.sciencedirect.com/science/article/pii/S1198743X20300525#tbl1	Molecular characteristics of carbapenemase-producing Enterobacterales in the Netherlands; results of the 2014-2018 national laboratory surveillance.	PRJEB35685.pdf
PRJEB50822	True	0	0	0	376	none	https://doi.org/10.3389/fmicb.2022.918362	10.3389/fmicb.2022.918362	35847090	PMC9279682	https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.918362/full#supplementary-material	CARB-ES-19 Multicenter Study of Carbapenemase-Producing <i>Klebsiella pneumonia</i>e and <i>Escherichia coli</i> From All Spanish Provinces Reveals Interregional Spread of High-Risk Clones Such as ST307/OXA-48 and ST512/KPC-3.	PRJEB50822.pdf
PRJNA557275	True	0	0	0	340	abstract	https://doi.org/10.1093/cid/ciz623	10.1093/cid/ciz623	31513705	PMC7201408	https://pmc.ncbi.nlm.nih.gov/articles/PMC7201408/	Emergence of Polymyxin Resistance in Clinical Klebsiella pneumoniae Through Diverse Genetic Adaptations: A Genomic, Retrospective Cohort Study.	PRJNA557275.pdf
PRJNA789565	True	0	0	0	330	none	https://doi.org/10.1038/s41467-022-31990-1	10.1038/s41467-022-31990-1	35915063	PMC9343666	https://www.nature.com/articles/s41467-022-31990-1	Combined comparative genomics and clinical modeling reveals plasmid-encoded genes are independently associated with Klebsiella infection.	PRJNA789565.pdf
PRJNA857686	True	0	0	0	313	none	https://doi.org/10.1371/journal.pone.0277575	10.1371/journal.pone.0277575	36795668	PMC9934365		GAMBIT (Genomic Approximation Method for Bacterial Identification and Tracking): A methodology to rapidly leverage whole genome sequencing of bacterial isolates for clinical identification.	PRJNA857686.pdf
PRJNA789336	True	0	0	0	258	abstract	https://link.springer.com/article/10.1007/s10096-022-04425-4				https://link.springer.com/article/10.1007/s10096-022-04425-4		PRJNA789336.pdf
PRJNA544438	True	0	0	0	237	none	https://doi.org/10.1371/journal.pone.0239924	10.1371/journal.pone.0239924	33036018	PMC7546912	https://www.sciencedirect.com/science/article/pii/S0924857923002467	Clinical and molecular characteristics of carbapenem non-susceptible Escherichia coli: A nationwide survey from Oman.	PRJNA544438.pdf
PRJEB22252	True	0	0	0	237	none	https://doi.org/10.1038/s41586-019-1560-1	10.1038/s41586-019-1560-1	31534227	PMC6894937	https://www.nature.com/articles/s41467-021-26041-0	Stunted microbiota and opportunistic pathogen colonization in caesarean-section birth.	PRJEB22252.pdf
PRJEB6574	True	0	0	0	221	none	https://doi.org/10.1073/pnas.1501049112	10.1073/pnas.1501049112	26100894	PMC4500264	https://pathogen.watch/collection/klebnet-neonatal-sepsis	Genomic analysis of diversity, population structure, virulence, and antimicrobial resistance in Klebsiella pneumoniae, an urgent threat to public health.	PRJEB6574.pdf
PRJNA765801	True	0	0	0	213	none	https://doi.org/10.1038/s41467-025-64515-7	10.1038/s41467-025-64515-7	41152242	PMC12569050	https://www.nature.com/articles/s41467-022-30637-5#data-availability	Plasmid dynamics driving carbapenemase gene dissemination in healthcare environments: a nationwide analysis of closed Enterobacterales genomes.	PRJNA765801.pdf
