action	verdict	study_accession	ena_taxon_samples	current_paper_link	proposed_link	found_title	found_doi	found_pmcid	found_pmid	adj_justification_quote	adj_reasoning	adj_same_paper
REPLACE — curated link is a reuse/secondary paper; use found	found_correct	PRJEB39943	2904	https://pmc.ncbi.nlm.nih.gov/articles/PMC10668257/	https://doi.org/10.1016/j.lanmic.2025.101320	Persistent spread of carbapenemase-producing Klebsiella pneumoniae in acute care hospitals in 36 European countries (the CCRE survey): a prospective, multicentre, cross-sectional, epidemiological, microbiological, and genomic surveillance study.	10.1016/j.lanmic.2025.101320	PMC13259977	42127954	The raw reads of isolates from this study were deposited in the European Nucleotide Archive under accession numbers PRJEB39943 and PRJEB51224.	PRJEB39943 is the 2019 CCRE survey. Paper A (found) is the primary CCRE survey study that generated and deposited these genomes, stating its raw reads were deposited under PRJEB39943 (and PRJEB51224), describing the full 2973-isolate cohort, sampling protocol, sequencing, and analysis. Paper B (curated) is a Greek follow-up that merely reuses a 128-isolate subset of the CCRE data ('128 from the CCRE survey') alongside EuSCAPE and a new 2022 collection, and cites the CCRE survey as a distinct, then-unpublished reference. Thus Paper A describes this project and Paper B reuses/cites the data: found_correct.	False
REPLACE — curated link is a reuse/secondary paper; use found	found_correct	PRJNA475751	948	https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciaf216/8122482?login=true	https://doi.org/10.1101/2024.02.16.24302955	Methods for cost-efficient, whole genome sequencing surveillance for enhanced detection of outbreaks in a hospital setting	10.1101/2024.02.16.24302955			The whole genome sequencing data generated in this study are deposited in the United States National Institutes of Health, National Library of Medicine ( https://www.ncbi.nlm.nih.gov/bioproject ), and are publicly available under BioProject accession PRJNA475751.	PRJNA475751 is the EDS-HAT program bioproject (ENA title 'Enhanced detection system for hospital associated transmission (EDS-HAT)'). PAPER A explicitly describes the EDS-HAT WGS surveillance program/workflow that generates these genomes and names this exact BioProject as the deposit location for 'the whole genome sequencing data generated in this study' — direct, verbatim evidence it is a primary descriptor of the project. PAPER B (the hand-curated reference) has no provided text, so its relationship to the genomes (primary deposit vs reuse/citation) cannot be verified; per the rule, an unverifiable paper cannot be credited and cannot upgrade this to both_describe. Treating A as the finder's pick and B as the curated pick, the finder's paper is confirmed correct while the curated paper is unsupported by the available evidence.	False
REPLACE — curated link is a reuse/secondary paper; use found	found_correct	PRJNA768622	832	https://pubmed.ncbi.nlm.nih.gov/32094139/	https://doi.org/10.1093/jacamr/dlae140	Genomic epidemiology and longitudinal sampling of ward wastewater environments and patients reveals complexity of the transmission dynamics of <i>bla</i> <sub>KPC</sub>-carbapenemase-producing Enterobacterales in a hospital setting.	10.1093/jacamr/dlae140	PMC11369815	39234218	Sequence data have been deposited in NCBI (BioProject accessions PRJNA768622, PRJNA514245; Supplementary dataset 2).	The ENA project PRJNA768622 describes patient + environmental blaKPC-Enterobacterales diversity across six wards in a UK hospital over 6–12 months, ~349 wastewater sites, up to five isolates per niche (TRACE group). Paper A matches this exactly — '349 sites across the six study wards were sampled a total of 4488 times over 6–12 months', patient rectal screening, up to five colonies per niche — and its data-availability statement explicitly deposits the genomes in PRJNA768622, making it the primary study that generated/deposited this accession's genomes (found_correct). Paper B explicitly deposits a different BioProject (PRJNA564424), covers 2009–2014 archived clinical isolates with no systematic ward-wastewater longitudinal sampling, and does not reference PRJNA768622; it neither generated nor reuses this project's data. Therefore only Paper A describes THIS project.	False
REPLACE — curated link is a reuse/secondary paper; use found	found_correct	PRJEB46513	455	https://www.medrxiv.org/content/10.1101/2025.06.28.25330253v1.full; https://pathogen.watch/collection/klebnet-neonatal-sepsis	https://doi.org/10.1371/journal.pgph.0005965	Transmission dynamics of Klebsiella pneumoniae in a neonatal intensive care unit in Zambia before and after an infection control bundle.	10.1371/journal.pgph.0005965	PMC12885268	41662406	Whole-genome sequence data were deposited by the sequencing laboratory (Quadram Institute of Bioscience, UK) under BioProject PRJEB46513.	ENA project PRJEB46513 = 'Klebsiella samples from a neonatal unit in Zambia' (455 samples). Paper A is the primary study that generated and deposited these genomes: it characterizes stored K. pneumoniae clinical isolates from the SPINZ Zambian NICU study (411 high-quality genomes), describes the sequencing (QIB, Illumina NextSeq 500), and explicitly names BioProject PRJEB46513 as the deposit accession — a one-to-one match in organism, site, and sample scale. Paper B is a meta-analysis of genome-predicted serotype prevalence across Africa and South Asia (Pathogenwatch KlebNET neonatal-sepsis collection) that reuses/aggregates such data rather than generating this project's genomes. Therefore Paper A (the found paper) describes this project; Paper B merely reuses data.	False
REPLACE — curated link is a reuse/secondary paper; use found	found_correct	PRJEB63361	413	https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJEB63361	https://doi.org/10.1371/journal.ppat.1013859	Carbapenem resistant Klebsiella pneumoniae isolates at a tertiary hospital in Cape Town, South Africa, are dominated by specific local clones rather than previously described international lineages.	10.1371/journal.ppat.1013859	PMC12810914	41544111	Sequencing data has been deposited in the ENA under project number (PRJEB63361), with individual accession numbers listed in S1 Table.	The ENA project description (414 CRKP collected 2016-2020 at Tygerberg Hospital, ST2621 and ST39 each ~40%, blaOXA-181 vs blaNDM-1 split, neonatal/paediatric carriage vs adult clinical) is essentially the abstract of Paper A. Paper A is the primary study that collected, sequenced, and deposited these 413 isolates, and explicitly states the data were deposited under PRJEB63361 with per-isolate accessions in S1 Table — it is the work that generated this project's genomes. Paper B contains no text (an unpublished bioproject-link placeholder), so it cannot describe anything. Thus the found paper (A) is the correct primary descriptor.	False
REPLACE — curated link is a reuse/secondary paper; use found	found_correct	PRJEB5065	381	https://pubmed.ncbi.nlm.nih.gov/28223459/	https://doi.org/10.1101/gr.205245.116	Recent independent emergence of multiple multidrug-resistant Serratia marcescens clones within the United Kingdom and Ireland.	10.1101/gr.205245.116	PMC4971767	27432456	The sequence data for the isolates from this study have been submitted to the European Nucleotide Archive (ENA; http://www.ebi.ac.uk/ena) under accession numbers PRJEB5065 and ERP004424.	The project PRJEB5065 (ERP004424), titled the 'Multi_Drug_Resistant_Gram_Negative_Rods (MDR GNR) sequencing study' from the BSAC Resistance Surveillance Project, is explicitly named as the deposition target by Paper A — the Serratia marcescens study (a Gram-negative rod, BSAC MDR bacteraemia 2001–2011), which matches the ENA title and source. Paper A is therefore the primary study that generated/deposited the genomes in this accession. Paper B (Klebsiella) is a sibling study from the same overarching BSAC MDR GNR collection but never cites PRJEB5065 — its data availability points to Mendeley, and its contextual projects are other accessions; it is a different species with 250 isolates (205 Serratia + 250 Klebsiella = 455 > the project's 381 samples), so the two cannot be co-deposited here. Taking A as the finder-proposed reference, it correctly describes the project; the curated Klebsiella paper merely shares the collection lineage and does not describe this accession.	False
REPLACE — curated link is a reuse/secondary paper; use found	found_correct	PRJNA544438	237	https://www.sciencedirect.com/science/article/pii/S0924857923002467	https://doi.org/10.1371/journal.pone.0239924	Clinical and molecular characteristics of carbapenem non-susceptible Escherichia coli: A nationwide survey from Oman.	10.1371/journal.pone.0239924	PMC7546912	33036018	Raw reads data generated in this study were deposited in SRA as project PRJNA544438 (accession no. SAMN11840190-SAMN11840224).	Paper A explicitly states it generated and deposited the genomes under PRJNA544438 (the 35 E. coli isolates SAMN11840190-224), making it a primary study that produced this project's data. The project is a multi-organism umbrella (Klebsiella + E. coli, 237 samples) and Paper A covers the E. coli subset. Paper B (no text provided) is a polymyxin B combination-susceptibility study on 'genetically well-characterised' K. pneumoniae — a downstream phenotypic/therapeutic study whose title implies the isolates were genomically characterised previously; there is no evidence it deposited genomes under this accession. Thus A demonstrably describes the project while B appears to reuse data.	False
REPLACE — curated link is a reuse/secondary paper; use found	found_correct	PRJNA765801	213	https://www.nature.com/articles/s41467-022-30637-5#data-availability	https://doi.org/10.1038/s41467-025-64515-7	Plasmid dynamics driving carbapenemase gene dissemination in healthcare environments: a nationwide analysis of closed Enterobacterales genomes.	10.1038/s41467-025-64515-7	PMC12569050	41152242	Libraries for long-read sequencing were prepared for the same isolates using the ONT Rapid Barcoding Kit (RBK004) and sequenced on R9.4.1 flowcells on a GridION platform (Oxford Nanopore Technologies)... Hybrid assemblies were generated from the long-read and short-read sequencing data using Unicycler31 (v0.48) with default parameters.	The ENA project (PRJNA765801) is specifically the ONT long-read + Illumina HYBRID-ASSEMBLY deposit of Singapore CPE isolates, 2010-2015. Paper A's methods describe exactly this pipeline, and crucially the ONT long-read sequencing step carries NO prior-work citation, whereas the cohort is attributed to ref 11 (Paper B) and short-read sequencing to ref 10 — indicating the ONT/hybrid data is Paper A's own generated contribution. Paper A is centrally about these closed hybrid genomes/plasmids ('We employed hybrid assembly on both long- and short-read whole genome sequences to reconstruct complete circularized plasmid genomes'). Paper B is the foundational short-read transmission study that Paper A builds upon (same cohort), not the hybrid/ONT deposit's primary study. Hence Paper A is the primary study generating/depositing these genomes; Paper B describes the prior short-read cohort.	False
REPLACE — curated link is a reuse/secondary paper; use found	found_correct	PRJNA395086	166	https://academic.oup.com/jac/article/77/2/356/6403927	https://doi.org/10.1128/msystems.00194-21	Genomic Features Associated with the Degree of Phenotypic Resistance to Carbapenems in Carbapenem-Resistant Klebsiella pneumoniae.	10.1128/msystems.00194-21	PMC8547452	34519526	We performed genomic characterization of 166 clinical K. pneumoniae isolates to evaluate genetic correlates with levels of carbapenem resistance. ... Sequencing reads and assembled genomes have been submitted to GenBank under BioProject PRJNA395086.	ENA PRJNA395086 is K. pneumoniae genome sequencing with 166 taxon samples. Paper A describes generating and depositing exactly these genomes: it sequenced 166 clinical CR-Kp isolates and states the reads/assemblies were submitted under BioProject PRJNA395086 — the deposit statement marks it as the primary study. The sample count (166) matches the ENA metadata exactly. Paper B addresses aminoglycoside resistance in CR-Kp and (with no text provided) appears to be a companion study reusing the same Northwestern isolate collection rather than the depositing study. Treating Paper A as the found candidate, it is the correct primary study for this project.	False
REPLACE — curated link is a reuse/secondary paper; use found	found_correct	PRJNA626430	159	https://pmc.ncbi.nlm.nih.gov/articles/PMC10433420/	https://doi.org/10.1038/s41564-021-00879-y	Pervasive transmission of a carbapenem resistance plasmid in the gut microbiota of hospitalized patients.	10.1038/s41564-021-00879-y	PMC7610705	33782584	In total, we determined the sequences of 250 isolates by short read methods and two of these genomes and six pOXA-48 plasmids were also sequenced by long-read methods to allow hybrid assembly	ENA PRJNA626430 describes 'Whole genome sequence information from 250 enterobacteria clones to characterise the dissemination routes of the carbapenemase-encoding plasmid pOXA-48 in a hospital setting over a period of two years.' Paper A matches this exactly: it generated and deposited the 250-isolate R-GNOSIS pOXA-48 collection (Illumina HiSeq4000 + PacBio, GenBank MT441554/MT989343-49) over the March 2014-March 2016 period, and is the primary study describing the project. Paper B is downstream reuse: its main data live under PRJNA962867, it deposited only six long-read closed wild-type genomes into the pre-existing PRJNA626430, and it directs readers to Leon-Sampedro et al. (=Paper A) for 'the remaining R-GNOSIS sequences.' Thus Paper A describes this project and Paper B merely reuses/cites the data.	False
