study_accession	none_found	chosen_pmid	chosen_pmcid	chosen_doi	chosen_found_via	find_confidence	verified	sources_agreeing	coverage_estimate	coverage_fraction	shared_accession	umbrella	data_reuse_only	n_candidates	chosen_title
PRJEB74192	False	40296028	PMC12039103	10.1186/s13073-025-01466-0	europepmc_accession	high	True	1	3255.0	0.9982	True	True	False	9	A genome-wide One Health study of Klebsiella pneumoniae in Norway reveals overlapping populations but few recent transmission events across reservoirs.
PRJEB39943	False	42127954	PMC13259977	10.1016/j.lanmic.2025.101320	europepmc_accession	high	True	1			True	False	False	3	Persistent spread of carbapenemase-producing Klebsiella pneumoniae in acute care hospitals in 36 European countries (the CCRE survey): a prospective, multicentre, cross-sectional, epidemiological, microbiological, and genomic surveillance study.
PRJEB36683	False	38637822	PMC11025284	10.1186/s13073-024-01332-5	europepmc_accession	medium	False	1	1820.0	1.0	False	False	False	1	The emergence of highly resistant and hypervirulent Klebsiella pneumoniae CC14 clone in a tertiary hospital over 8 years.
PRJEB37378	True					high		0			False	False	True	1	
PRJDB10842	False	38052776	PMC10698200	10.1038/s41467-023-43516-4	europepmc_accession	high	True	1	4195.0	2.8306	True	False	False	2	National genomic surveillance integrating standardized quantitative susceptibility testing clarifies antimicrobial resistance in Enterobacterales.
PRJEB42462	True					low		0			False	False	True	5	
PRJEB27256	False	34935048	PMC8865009	10.1093/jac/dkab463	europepmc_accession,ncbi_bioproject	high	True	2	868.0	0.8166	True	False	False	5	A nationwide genomic study of clinical Klebsiella pneumoniae in Norway 2001-15: introduction and spread of ESBLs facilitated by clonal groups CG15 and CG307.
PRJNA475751	False			10.1101/2024.02.16.24302955	europepmc_accession	high		1	948.0	1.0	False	False	False	13	Methods for cost-efficient, whole genome sequencing surveillance for enhanced detection of outbreaks in a hospital setting
PRJEB29740	False	39037209	PMC11316559	10.1099/mgen.0.001271	europepmc_accession	medium	True	1	1072.0	1.1527	True	False	False	8	Geographical distribution, disease association and diversity of <i>Klebsiella pneumoniae</i> K/L and O antigens in India: roadmap for vaccine development.
PRJNA604975	False	34479643	PMC8414751	10.1186/s13073-021-00947-2	europepmc_accession	medium	True	1			True	False	False	16	Ten-year longitudinal molecular epidemiology study of Escherichia coli and Klebsiella species bloodstream infections in Oxfordshire, UK.
PRJNA768622	False	39234218	PMC11369815	10.1093/jacamr/dlae140	europepmc_accession,published_version	high	True	2	832.0	1.0	False	False	False	1	Genomic epidemiology and longitudinal sampling of ward wastewater environments and patients reveals complexity of the transmission dynamics of <i>bla</i> <sub>KPC</sub>-carbapenemase-producing Enterobacterales in a hospital setting.
PRJEB28400	True					high		0			False	False	True	1	
PRJNA271899	True					low		0			False	False	True	2	
PRJDB5929	False	30323033	PMC6256778	10.1128/aac.01520-18	ncbi_bioproject	medium	False	1			False	False	False	3	Genomic Characterization of Carbapenemase-Producing Klebsiella pneumoniae with Chromosomally Carried <i>bla</i><sub>NDM-1</sub>.
PRJEB50614	False	39037209	PMC11316559	10.1099/mgen.0.001271	europepmc_accession	medium	True	1	1072.0	1.6646	True	False	False	3	Geographical distribution, disease association and diversity of <i>Klebsiella pneumoniae</i> K/L and O antigens in India: roadmap for vaccine development.
PRJNA325243	False	40640834	PMC12247286	10.1186/s12917-025-04686-z	europepmc_accession	medium	True	1			False	False	False	2	Genomic snapshot of Klebsiella spp. isolates from clinically ill animals reveal diverse lineages with limited relatedness to human isolates.
PRJNA845975	True					low		0			False	False	False	0	
PRJEB29742	False	34850835	PMC8634422	10.1093/cid/ciab777	europepmc_accession	high	True	1	425.0	0.7658	False	False	False	2	Complexity of Genomic Epidemiology of Carbapenem-Resistant Klebsiella pneumoniae Isolates in Colombia Urges the Reinforcement of Whole Genome Sequencing-Based Surveillance Programs.
PRJNA1028672	False	38424289	PMC10914598	10.1038/s41564-024-01612-1	europepmc_accession	high	True	1	1017.0	1.8626	False	False	False	2	Carbapenem-resistant Klebsiella pneumoniae capsular types, antibiotic resistance and virulence factors in China: a longitudinal, multi-centre study.
PRJEB48990	False	37227259	PMC10272877	10.1099/mgen.0.001016	europepmc_accession	high	True	1	540.0	1.0	False	False	False	3	Genomic surveillance of multidrug-resistant <i>Klebsiella</i> in Wales reveals persistent spread of <i>Klebsiella pneumoniae</i> ST307 and adaptive evolution of pOXA-48-like plasmids.
PRJNA564424	False	32094139	PMC7179641	10.1128/aac.02244-19	europepmc_accession	high	True	1	604.0	1.1248	False	False	False	1	Genomic Epidemiology of Complex, Multispecies, Plasmid-Borne <i>bla</i><sub>KPC</sub> Carbapenemase in <i>Enterobacterales</i> in the United Kingdom from 2009 to 2014.
PRJNA855907	False	35950772	PMC9430190	10.1128/spectrum.00975-22	europepmc_accession	medium	True	1			True	False	False	4	Characterization of Extensively Drug-Resistant (XDR) Carbapenemase-Producing <i>Enterobacterales</i> (CPE) in Canada from 2019 to 2020.
PRJEB38289	False	33753763	PMC7985491	10.1038/s41598-021-85724-2	europepmc_accession	medium	True	1	8.0	0.0157	False	False	False	2	Methylation analysis of Klebsiella pneumoniae from Portuguese hospitals.
PRJEB29143	False	32404021	PMC7527070	10.1080/19490976.2020.1748257	europepmc_accession	medium	False	1	498.0	1.0	False	False	False	2	<i>Klebsiella pneumoniae</i> carriage in low-income countries: antimicrobial resistance, genomic diversity and risk factors.
PRJEB6891	False	28369261	PMC5850561	10.1093/cid/cix270	ncbi_bioproject	high	False	1	490.0	1.0	True	False	False	12	Gastrointestinal Carriage Is a Major Reservoir of Klebsiella pneumoniae Infection in Intensive Care Patients.
PRJNA603790	False	35803292	PMC9869340	10.1016/s2666-5247(22)00115-x	europepmc_accession,published_version	medium		2	462.0	1.0	False	False	False	3	Threshold-free genomic cluster detection to track transmission pathways in health-care settings: a genomic epidemiology analysis.
PRJNA415194	False	31451495	PMC6811406	10.1128/aac.01622-19	europepmc_accession	high		1	459.0	1.0	True	False	False	3	Whole-Genome Sequencing To Identify Drivers of Carbapenem-Resistant Klebsiella pneumoniae Transmission within and between Regional Long-Term Acute-Care Hospitals.
PRJEB46513	False	41662406	PMC12885268	10.1371/journal.pgph.0005965	europepmc_accession	high	True	1	455.0	1.0	True	False	False	3	Transmission dynamics of Klebsiella pneumoniae in a neonatal intensive care unit in Zambia before and after an infection control bundle.
PRJNA686897	False	33999991	PMC8528401	10.1093/cid/ciab457	europepmc_accession	high	True	1	452.0	1.0	False	False	False	1	Regional Spread of blaNDM-1-Containing Klebsiella pneumoniae ST147 in Post-Acute Care Facilities.
PRJEB63361	False	41544111	PMC12810914	10.1371/journal.ppat.1013859	europepmc_accession	high	True	1	413.0	1.0	False	False	False	1	Carbapenem resistant Klebsiella pneumoniae isolates at a tertiary hospital in Cape Town, South Africa, are dominated by specific local clones rather than previously described international lineages.
PRJEB35685	False	32006688		10.1016/j.cmi.2020.01.027	europepmc_title	high		1	412.0	1.0	False	False	False	8	Molecular characteristics of carbapenemase-producing Enterobacterales in the Netherlands; results of the 2014-2018 national laboratory surveillance.
PRJEB33565	False	33782558	PMC8007471	10.1038/s41564-021-00870-7	europepmc_accession,ncbi_bioproject	high	False	2	403.0	1.0	False	False	False	9	Characterization of antimicrobial-resistant Gram-negative bacteria that cause neonatal sepsis in seven low- and middle-income countries.
PRJNA777643	True					high		0			False	False	True	1	
PRJEB5065	False	27432456	PMC4971767	10.1101/gr.205245.116	europepmc_accession,ncbi_bioproject	medium	True	2	381.0	1.0	True	False	False	8	Recent independent emergence of multiple multidrug-resistant Serratia marcescens clones within the United Kingdom and Ireland.
PRJEB50822	False	35847090	PMC9279682	10.3389/fmicb.2022.918362	europepmc_accession	high	True	1	377.0	1.0027	False	False	False	5	CARB-ES-19 Multicenter Study of Carbapenemase-Producing <i>Klebsiella pneumonia</i>e and <i>Escherichia coli</i> From All Spanish Provinces Reveals Interregional Spread of High-Risk Clones Such as ST307/OXA-48 and ST512/KPC-3.
PRJEB17615	False	32483195	PMC7264328	10.1038/s41467-020-16322-5	europepmc_accession	high	False	1	365.0	1.0	True	True	False	7	Integrating whole-genome sequencing within the National Antimicrobial Resistance Surveillance Program in the Philippines.
PRJNA557275	False	31513705	PMC7201408	10.1093/cid/ciz623	europepmc_accession,ncbi_bioproject	high		2	388.0	1.1412	False	False	False	9	Emergence of Polymyxin Resistance in Clinical Klebsiella pneumoniae Through Diverse Genetic Adaptations: A Genomic, Retrospective Cohort Study.
PRJNA789565	False	35915063	PMC9343666	10.1038/s41467-022-31990-1	europepmc_accession	high	False	1	330.0	1.0	False	False	False	3	Combined comparative genomics and clinical modeling reveals plasmid-encoded genes are independently associated with Klebsiella infection.
PRJEB28054	True					high		0			False	False	False	0	
PRJNA996149	False	38014944	PMC10720542	10.1128/aac.00735-23	europepmc_accession	high	True	1	320.0	1.0	False	False	False	1	<i>In vitro</i> activity of cefiderocol, a siderophore cephalosporin, against carbapenem-resistant hypervirulent <i>Klebsiella pneumoniae</i> in China.
PRJNA857686	False	36795668	PMC9934365	10.1371/journal.pone.0277575	europepmc_accession	low	True	1	313.0	1.0	False	False	False	1	GAMBIT (Genomic Approximation Method for Bacterial Identification and Tracking): A methodology to rapidly leverage whole genome sequencing of bacterial isolates for clinical identification.
PRJEB15226	False	27629900	PMC5121380	10.1128/jcm.01648-16	europepmc_accession,europepmc_title	high		2	1798.0	6.2431	False	False	False	4	Whole-Genome Multilocus Sequence Typing of Extended-Spectrum-Beta-Lactamase-Producing Enterobacteriaceae.
PRJEB39867	False	36289942	PMC9598256	10.3390/antibiotics11101286	europepmc_accession	high	True	1	286.0	1.0	False	False	False	1	Surveillance and Genomic Analysis of Third-Generation Cephalosporin-Resistant and Carbapenem-Resistant <i>Klebsiella pneumoniae</i> Complex in Germany.
PRJNA549322	True					high		0			False	False	True	11	
PRJNA278886	False	30530605	PMC6355588	10.1128/aac.02040-18	europepmc_accession	medium	True	1			True	False	False	6	Diverse Vectors and Mechanisms Spread New Delhi Metallo-β-Lactamases among Carbapenem-Resistant <i>Enterobacteriaceae</i> in the Greater Boston Area.
PRJEB22903	True					low		0			False	False	False	0	
PRJNA604910	False	32553019	PMC7478627	10.1099/mgen.0.000391	europepmc_accession	high	True	1	264.0	1.0	False	False	False	1	Genomic surveillance of <i>Escherichia coli</i> and <i>Klebsiella</i> spp. in hospital sink drains and patients.
PRJNA789336	True					high		0			False	False	True	1	
