study_accession	attribute	model_value	sheet_value	verdict	correct_value	justification_quote	reasoning	rule_gap
PRJEB39943	amr_study	mixed	amr	sheet_correct	amr	All of the included 310 isolates were in the category R or I for at least one carbapenem as per inclusion criteria.	Every sequenced/deposited isolate had to be carbapenem non-susceptible (R or I) to enter the set, which is an AMR selection gate; the susceptible 'S' comparators belonged to the parent EuSCAPE/CCRE collection design and were not included here, which the rubric says to disregard.	Clarify explicitly that comparator susceptible isolates collected by a parent survey but excluded from the deposited/analysed set do not make the project 'mixed' — only comparators actually sequenced under this accession count.
PRJEB29740	amr_study	surveillance	mixed	model_correct	surveillance	All sequenced isolates in our study represent unique patient infection episodes, with only one isolate per patient.	The deposited set is all K. pneumoniae clinical isolates causing infection, one per patient/episode, across mixed specimen types (blood, urine, pus, sputum, ETA), with resistance characterised afterwards via Kleborate (12% carried no ESBL/carbapenemase) — matching the rubric's surveillance definition, with no per-isolate AMR gate and no evidence of deliberately added susceptible matched controls to support 'mixed'.	
PRJEB28400	amr_study	surveillance	amr	model_correct	surveillance	All patients admitted to the ICUs at the national Hospital for tropical Diseases and Bach Mai Hospital during a 6-month study period will be screened for MDRO.	The rubric states isolates recovered via routine MDRO screening of patients are surveillance because the screen is the sampling frame, not a per-isolate AMR-selection gate; screening all admitted ICU patients matches this exactly.	
PRJNA271899	amr_study	mixed	amr	model_correct	mixed	For each resistant isolate, we also collected date- and species-matched meropenem-susceptible isolates.	The 347 isolates deposited under PRJNA271899 comprise 147 AMR-selected resistant isolates plus 200 deliberately-added matched carbapenem-susceptible controls, which is exactly the 'mixed' design (AMR-selected cases plus susceptible matched controls), not pure AMR selection.	
PRJEB50614	amr_study	surveillance	mixed	model_correct	surveillance	All sequenced isolates in our study represent unique patient infection episodes, with only one isolate per patient.	Isolates were all K. pneumoniae recovered from hospital infections, one per patient across mixed specimen types (blood, ETA, urine, pus, sputum), with AMR characterised afterwards by Kleborate — a non-AMR sampling frame, which the rubric defines as surveillance; the paper describes no AMR phenotype/genotype gate nor any deliberately-added susceptible matched controls to justify the sheet's 'AMR plus control' mixed value.	
PRJNA325243	amr_study	surveillance	amr	model_correct	surveillance	Laboratories were instructed to select only one isolate per client submission.	The sampling rule was one clinical Klebsiella isolate per submission from clinically ill animals — a non-AMR frame; resistance genes were characterized afterwards via AMRFinderPlus, with no requirement that each isolate be resistant, which the rubric classifies as surveillance (the 'AMR Monitoring Program' name does not imply AMR-based selection).	
PRJNA603790	amr_study	surveillance	amr	undetermined			"No paper text is available; the only evidence is the EBI study title ""Study of Klebsiella pneumoniae transmission in a long-term acute care hospital,"" which describes a transmission study but does not state whether each isolate had to meet an AMR attribute (e.g. carbapenem resistance) to be sequenced or whether all patient/screening isolates were sequenced — so neither 'amr' nor 'surveillance' can be confirmed."	Clarify how to grade LTACH/hospital transmission studies when only a title is available: such studies commonly either (a) sequence all K. pneumoniae from colonized/infected patients via MDRO screening (surveillance) or (b) restrict to a resistant phenotype such as carbapenem-resistant K. pneumoniae (amr). The word 'transmission' alone should not default to surveillance, since CRKP transmission cohorts apply a per-isolate resistance gate.
PRJEB5065	amr_study	amr	surveillance	model_correct	amr	Isolates were collected if they were resistant to at least one antibiotic in three of the following classes: penicillins, carbapenems, cephalosporins, tetracyclines, aminoglycosides, and fluoroquinolones.	Each of the 250 deposited isolates had to meet an MDR (non-susceptible AST) selection gate to enter the set, which is the rubric's definition of 'amr'; the parent BSAC bacteraemia surveillance program is the broader collection design the rubric explicitly says to disregard.	The rubric could add an explicit example that an AMR-selected (MDR) subset drawn FROM a bacteraemia surveillance program is 'amr', since the surveillance origin of the parent survey misled the sheet despite the per-isolate resistance selection gate on the deposited set.
PRJEB17615	amr_study	mixed	amr	undetermined			The paper text provided describes isolates deposited under PRJEB29738 ('Raw sequence data generated were deposited in the European Nucleotide Archive under the project accession PRJEB29738'), NOT the disputed accession PRJEB17615; so the paper cannot establish what sampling rule governed the isolates actually deposited under PRJEB17615. Within the paper itself the selection is purely AMR-based (all 263 drawn from 'ESBL-positive, and/or cephalosporin resistant, and/or carbapenem-resistant' isolates, with no susceptible controls), which would read 'amr', while the grader's 'mixed' rests on an EBI study description ('retrospective susceptible and resistant isolates') that is absent from the paper — leaving the disputed accession unresolvable from the paper alone.	Clarify how to grade when the paper's stated deposit accession differs from the accession under adjudication, and how to treat an umbrella/parent ENA project (e.g. PRJEB17615, whose own description spans susceptible + resistant retrospective plus prospective novel-antibiogram isolates) versus a narrower taxon-specific child deposit (e.g. PRJEB29738, an AMR-only Klebsiella subset): specify whether the parent accession is graded on its own deposited contents/description or whether a child-accession paper may be used as evidence for it.
PRJNA557275	amr_study	mixed	amr	model_correct	mixed	Whole-genome sequencing was performed on 388 isolates, including 164 PR isolates.	Of the 388 sequenced/deposited isolates only 164 met the AMR (polymyxin-resistant) attribute; the remaining ~224 are non-PR serial isolates from the same patients, so the set contains both AMR-selected and non-AMR isolates, which is 'mixed', not 'amr'.	Clarify that longitudinal/serial polymyxin-susceptible isolates collected from AMR-positive patients (to study de novo emergence) count as the non-AMR component for 'mixed', the same as deliberately-added matched susceptible controls.
PRJNA789565	amr_study	surveillance	mixed	undetermined			No paper text was provided, so neither the grader's surveillance quote nor the sheet's 'AMR plus control' claim can be verified against the source; the dispute cannot be resolved from the evidence given.	
