study_accession	study_setting
PRJDB10842	hospital
PRJDB12075	hospital
PRJDB12116	hospital
PRJDB14656	hospital
PRJDB17849	hospital
PRJDB5929	hospital
PRJDB6407	hospital
PRJEB10018	hospital
PRJEB1271	hospital
PRJEB1272	hospital
PRJEB15226	hospital
PRJEB1563	hospital
PRJEB17615	hospital
PRJEB1800	hospital
PRJEB19226	hospital
PRJEB19229	hospital
PRJEB19322	hospital
PRJEB19435	hospital
PRJEB1963	hospital
PRJEB20799	hospital
PRJEB2111	mixed
PRJEB21277	mixed
PRJEB21605	hospital
PRJEB22264	hospital
PRJEB22890	hospital
PRJEB24082	hospital
PRJEB24083	hospital
PRJEB24084	hospital
PRJEB24085	hospital
PRJEB24086	hospital
PRJEB24087	hospital
PRJEB24970	hospital
PRJEB27256	hospital
PRJEB27342	mixed
PRJEB28400	hospital
PRJEB29143	mixed
PRJEB29424	hospital
PRJEB29738	hospital
PRJEB29739	hospital
PRJEB29740	hospital
PRJEB29742	hospital
PRJEB30134	hospital
PRJEB32655	mixed
PRJEB33565	hospital
PRJEB34643	community
PRJEB35685	mixed
PRJEB36486	mixed
PRJEB36683	hospital
PRJEB37378	community
PRJEB37504	hospital
PRJEB37711	hospital
PRJEB38289	mixed
PRJEB38540	community
PRJEB39293	hospital
PRJEB39867	hospital
PRJEB39943	hospital
PRJEB42331	hospital
PRJEB42350	community
PRJEB42462	hospital
PRJEB43870	community
PRJEB46513	hospital
PRJEB48268	hospital
PRJEB48990	mixed
PRJEB50614	hospital
PRJEB5065	hospital
PRJEB50822	hospital
PRJEB56146	hospital
PRJEB57159	community
PRJEB58018	hospital
PRJEB58136	mixed
PRJEB58216	hospital
PRJEB63349	hospital
PRJEB63361	hospital
PRJEB64895	hospital
PRJEB6891	hospital
PRJEB74083	hospital
PRJNA1028672	hospital
PRJNA1048341	mixed
PRJNA1052047	mixed
PRJNA1054115	hospital
PRJNA1087366	hospital
PRJNA1133668	hospital
PRJNA246471	hospital
PRJNA252957	hospital
PRJNA271899	hospital
PRJNA278886	hospital
PRJNA288601	hospital
PRJNA306133	hospital
PRJNA325243	community
PRJNA339843	hospital
PRJNA341927	hospital
PRJNA351909	hospital
PRJNA353728	hospital
PRJNA376414	hospital
PRJNA395086	hospital
PRJNA396774	hospital
PRJNA398288	hospital
PRJNA411762	hospital
PRJNA415194	hospital
PRJNA433394	hospital
PRJNA475751	hospital
PRJNA514908	community
PRJNA529744	hospital
PRJNA543274	mixed
PRJNA544438	hospital
PRJNA547865	hospital
PRJNA548120	hospital
PRJNA549322	hospital
PRJNA557275	hospital
PRJNA564424	hospital
PRJNA564992	hospital
PRJNA565795	hospital
PRJNA577535	hospital
PRJNA594602	community
PRJNA603790	hospital
PRJNA604910	hospital
PRJNA604975	hospital
PRJNA626430	hospital
PRJNA633565	hospital
PRJNA634885	hospital
PRJNA646358	hospital
PRJNA648389	hospital
PRJNA658369	hospital
PRJNA684006	hospital
PRJNA686897	hospital
PRJNA757551	hospital
PRJNA765801	hospital
PRJNA767944	hospital
PRJNA768622	hospital
PRJNA778230	community
PRJNA787062	hospital
PRJNA788733	hospital
PRJNA789336	hospital
PRJNA789565	hospital
PRJNA797179	hospital
PRJNA804332	hospital
PRJNA820335	hospital
PRJNA825705	hospital
PRJNA835677	community
PRJNA839691	hospital
PRJNA845975	hospital
PRJNA855907	hospital
PRJNA885285	mixed
PRJNA922900	community
PRJNA978102	hospital
PRJNA982859	community
PRJNA996149	hospital
