study_accession	tag	n_samples	paper	paper_title	study_type	study_type_excluded	study_setting	amr_study	country_base	country_filled	collection_date_base	collection_date_filled	isolation_source_base	isolation_source_filled	host_base	host_filled
NCTC_collection		109							0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
PRJDB10450	sub10	9	https://pmc.ncbi.nlm.nih.gov/articles/PMC8111917/	Novel chromosomal insertions of ISEcp1-bla<sub>CTX-M-15</sub> and diverse antimicrobial resistance genes in Zambian clinical isolates of Enterobacter cloacae and Escherichia coli.	observational	False	hospital	amr	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
PRJDB10686	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC8223806/	Draft Genome Sequence of Klebsiella pneumoniae subsp. <i>pneumoniae</i> CCI2, Isolated from Leaf Soil.	observational	False	community	surveillance	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0
PRJDB10735	tail10_24	10	https://pubmed.ncbi.nlm.nih.gov/33763694/	A case of meningitis due to extensively drug-resistant Pseudomonas aeruginosa imported through medical evacuation: genomic and environmental investigation.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJDB10842	train	1483	https://pmc.ncbi.nlm.nih.gov/articles/PMC10698200/	National genomic surveillance integrating standardized quantitative susceptibility testing clarifies antimicrobial resistance in Enterobacterales.	observational	False	hospital	amr	1.0	1.0	0.9993256911665542	0.9993256911665542	0.9763991908293999	0.9763991908293999	1.0	1.0
PRJDB10890	sub10	1			observational	False	community		1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
PRJDB11111	sub10	1			observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJDB11378	tail100	129			observational	False	hospital	surveillance	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJDB11476	sub10	1			observational	False		surveillance	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJDB11603	tail25_49	45	https://pmc.ncbi.nlm.nih.gov/articles/PMC10327500/	Transconjugant range of PromA plasmids in microbial communities is predicted by sequence similarity with the bacterial host chromosome.	experimental_evolution	True	community	surveillance	1.0	1.0	0.0	1.0	0.0	0.24444444444444444	0.0	0.0
PRJDB11627	sub10	2			observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJDB11634	sub10	8			observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
PRJDB12075	train	184	https://pmc.ncbi.nlm.nih.gov/articles/PMC9465067/	Genomic epidemiology and temperature dependency of hypermucoviscous <i>Klebsiella pneumoniae</i> in Japan.	observational	False	community	amr	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
PRJDB12116	train	154	https://pmc.ncbi.nlm.nih.gov/articles/PMC11571079/	Evaluation of <i>Klebsiella pneumoniae</i> pathogenicity through holistic gene content analysis.	observational	False	hospital	surveillance	1.0	1.0	0.9675324675324676	0.9675324675324676	0.0	0.3181818181818182	1.0	1.0
PRJDB12737	sub10	1			observational	False	hospital	mixed	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
PRJDB13052	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC10434064/	Comprehensive Genomic Characterization of Staphylococcus aureus Isolated from Atopic Dermatitis Patients in Japan: Correlations with Disease Severity, Eruption Type, and Anatomical Site.	observational	False			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJDB14068	sub10	4	https://pmc.ncbi.nlm.nih.gov/articles/PMC9888285/	Disinfectant Susceptibility of Third-Generation-Cephalosporin/Carbapenem-Resistant Gram-Negative Bacteria Isolated from the Oral Cavity of Residents of Long-Term-Care Facilities.	observational	False	community	amr	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
PRJDB14712	tail25_49	28	https://pmc.ncbi.nlm.nih.gov/articles/PMC10715227/	Municipal wastewater monitoring revealed the predominance of &lt;i&gt;bla&lt;/i&gt; &lt;sub&gt;GES&lt;/sub&gt; genes with diverse variants among carbapenemase-producing organisms: high occurrence and persistence of &lt;i&gt;Aeromonas caviae&lt;/i&gt; harboring the new &lt;i&gt;bla&lt;/i&gt; &lt;sub&gt;GES&lt;/sub&gt; variant &lt;i&gt;bla&lt;/i&gt; &lt;sub&gt;GES-48&lt;/sub&gt;.	observational	False	community	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJDB14713	sub10	2			observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJDB15144	sub10	1			observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJDB15848	sub10	4	https://pmc.ncbi.nlm.nih.gov/articles/PMC11306930/	Genomic characterization of carbapenemase-producing Enterobacterales from Dhaka food markets unveils the spread of high-risk antimicrobial-resistant clones and plasmids co-carrying <i>bla</i> <sub>NDM</sub> and <i>mcr-1.1</i>.	observational	False	community	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJDB15972	sub10	2			observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJDB16654	tail50_99	81			observational	False	hospital	surveillance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJDB16665	tail25_49	26	https://pmc.ncbi.nlm.nih.gov/articles/PMC11937256/	Rapid and Integrated Bacterial Evolution Analysis unveils gene mutations and clinical risk of Klebsiella pneumoniae.	experimental_evolution	True			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJDB16680	tail100	101			experimental_evolution	True	hospital		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJDB17100	sub10	1			observational	False	hospital	surveillance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJDB17160	tail25_49	39	https://doi.org/10.1016/j.jgar.2024.04.008	Multidrug-resistant Klebsiella pneumoniae clinical isolates producing NDM- and OXA-type carbapenemase in Nepal	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJDB17235	sub10	3	https://pmc.ncbi.nlm.nih.gov/articles/PMC11049973/	Molecular Epidemiology of Carbapenem-Resistant <i>Klebsiella aerogenes</i> in Japan.	observational	False	mixed	amr	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJDB18280	sub10	9	https://pubmed.ncbi.nlm.nih.gov/39971269/	In vitro activity of aztreonam in combination with relebactam against gram-negative pathogens producing various serine and metallo-β-lactamases.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJDB1836	sub10	1			observational	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJDB2133	sub10	1			observational	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJDB2159	sub10	1			observational	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJDB2238	sub10	1			observational	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJDB2655	sub10	1			observational	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJDB4694	sub10	2			observational	False	hospital	mixed	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJDB4867	tail10_24	14			observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJDB4948	tail50_99	69			observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJDB5117	sub10	4	https://pubmed.ncbi.nlm.nih.gov/28138943/	Nosocomial transmission of carbapenem-resistant Klebsiella pneumoniae elucidated by single-nucleotide variation analysis: a case investigation.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJDB5126	tail25_49	45	https://pmc.ncbi.nlm.nih.gov/articles/PMC6395922/	Spreading Patterns of NDM-Producing <i>Enterobacteriaceae</i> in Clinical and Environmental Settings in Yangon, Myanmar.	observational	False	mixed	amr	1.0	1.0	1.0	1.0	0.0	0.0	0.8	0.8
PRJDB5295	sub10	1			observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0
PRJDB5317	tail25_49	27			observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJDB5929	train	631			observational	False	hospital	amr	1.0	1.0	0.993660855784469	0.993660855784469	0.0	0.0	1.0	1.0
PRJDB5948	sub10	1			observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJDB6244	tail10_24	23	https://pmc.ncbi.nlm.nih.gov/articles/PMC5923170/	Characteristics of Carbapenemase-Producing Enterobacteriaceae in Wastewater Revealed by Genomic Analysis.	observational	False	mixed	amr	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0
PRJDB6407	tail100	141	https://pmc.ncbi.nlm.nih.gov/articles/PMC8318238/	Plasmid analysis of NDM metallo-β-lactamase-producing Enterobacterales isolated in Vietnam.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
