field	study_accession	n_records	completeness	n_blank	status	n_filled
collection_date	PRJEB12361	3	0.0	3	covered	3
collection_date	PRJEB19677	8	0.0	8	covered	8
collection_date	PRJEB26677	6	0.0	6	covered	6
collection_date	PRJEB28522	5	0.0	5	covered	5
collection_date	PRJEB48690	6	0.0	6	covered	6
collection_date	PRJEB49171	2	0.0	2	covered	2
collection_date	PRJEB58069	9	0.0	9	covered	9
collection_date	PRJEB71714	1	0.0	1	covered	1
collection_date	PRJEB8575	1	0.0	1	covered	1
collection_date	PRJNA1001661	9	0.0	9	covered	9
collection_date	PRJNA1100498	3	0.667	1	covered	1
collection_date	PRJNA343442,PRJNA175243	1	0.0	1	covered	1
collection_date	PRJNA592166	1	0.0	1	covered	1
collection_date	PRJNA695302	1	0.0	1	covered	1
collection_date	PRJNA73843	1	0.0	1	covered	1
collection_date	PRJNA746575	3	0.0	3	covered	3
collection_date	PRJNA774508	3	0.667	1	covered	1
collection_date	PRJNA917297	1	0.0	1	covered	1
collection_date	PRJDB11476	1	0.0	1	residual_per_sample	0
collection_date	PRJDB1836	1	0.0	1	residual_per_sample	0
collection_date	PRJDB2133	1	0.0	1	residual_per_sample	0
collection_date	PRJDB2159	1	0.0	1	residual_per_sample	0
collection_date	PRJDB2238	1	0.0	1	residual_per_sample	0
collection_date	PRJDB2655	1	0.0	1	residual_per_sample	0
collection_date	PRJDB7330	5	0.0	5	residual_per_sample	0
collection_date	PRJDB9509	7	0.0	7	residual_per_sample	0
collection_date	PRJEB10263	2	0.0	2	residual_per_sample	0
collection_date	PRJEB11503	1	0.0	1	residual_per_sample	0
collection_date	PRJEB11876	1	0.0	1	residual_per_sample	0
collection_date	PRJEB12513	3	0.0	3	residual_per_sample	0
collection_date	PRJEB12887	1	0.0	1	residual_per_sample	0
collection_date	PRJEB13482	1	0.0	1	residual_per_sample	0
collection_date	PRJEB14050	1	0.0	1	residual_per_sample	0
collection_date	PRJEB14232	1	0.0	1	residual_per_sample	0
collection_date	PRJEB14648	2	0.0	2	residual_per_sample	0
collection_date	PRJEB15430	1	0.0	1	residual_per_sample	0
collection_date	PRJEB17631	2	0.0	2	residual_per_sample	0
collection_date	PRJEB18525	2	0.0	2	residual_per_sample	0
collection_date	PRJEB18589	1	0.0	1	residual_per_sample	0
collection_date	PRJEB19657	5	0.0	5	residual_per_sample	0
collection_date	PRJEB20135	1	0.0	1	residual_per_sample	0
collection_date	PRJEB20557	1	0.0	1	residual_per_sample	0
