study_accession	sample_accession	field	ena_value	filled_value	source
PRJDB8047	SAMD00163748	country		Japan	whole_field
PRJDB10450	SAMD00243948	country		Zambia	whole_field
PRJDB10450	SAMD00243950	country		Zambia	whole_field
PRJDB10450	SAMD00243951	country		Zambia	whole_field
PRJDB10450	SAMD00243956	country		Zambia	whole_field
PRJDB10450	SAMD00243979	country		Zambia	whole_field
PRJDB9509	SAMD00212724	country		Japan	whole_field
PRJDB9509	SAMD00287286	country		Japan	whole_field
PRJDB9509	SAMD00287287	country		Japan	whole_field
PRJDB9509	SAMD00287288	country		Japan	whole_field
PRJDB9509	SAMD00212725	country		Japan	whole_field
PRJDB10450	SAMD00243953	country		Zambia	whole_field
PRJDB10450	SAMD00243973	country		Zambia	whole_field
PRJDB10450	SAMD00243982	country		Zambia	whole_field
PRJDB10450	SAMD00243955	country		Zambia	whole_field
PRJDB9509	SAMD00287284	country		Japan	whole_field
PRJDB9509	SAMD00287285	country		Japan	whole_field
PRJEB25904	SAMEA1062168	country		Germany	whole_field
PRJEB25904	SAMEA1062167	country		Germany	whole_field
PRJEB25904	SAMEA1062336	country		Germany	whole_field
PRJEB25904	SAMEA1062166	country		Germany	whole_field
PRJEB25904	SAMEA1062334	country		Germany	whole_field
PRJEB25904	SAMEA1062335	country		Germany	whole_field
PRJEB25904	SAMEA1062345	country		Germany	whole_field
PRJEB29928	SAMEA5128438	country		Australia	whole_field
PRJEB29928	SAMEA5128440	country		Australia	whole_field
PRJEB29745	SAMEA5131872	country		Germany	whole_field
PRJEB29928	SAMEA5128439	country		Australia	whole_field
PRJEB29745	SAMEA5131870	country		Germany	whole_field
PRJEB29745	SAMEA5131871	country		Germany	whole_field
PRJEB29745	SAMEA5131873	country		Germany	whole_field
PRJEB29745	SAMEA5131874	country		Germany	whole_field
PRJEB29745	SAMEA5131875	country		Germany	whole_field
PRJEB26677	SAMEA4672915	country		Malawi	whole_field
PRJEB26677	SAMEA4672935	country		Malawi	whole_field
PRJEB26677	SAMEA4672895	country		Malawi	whole_field
PRJEB26677	SAMEA4672921	country		Malawi	whole_field
PRJEB34874	SAMEA6086533	country		Czechia	whole_field
PRJEB34874	SAMEA6086510	country		Czechia	whole_field
PRJEB34874	SAMEA6086513	country		Czechia	whole_field
PRJEB34874	SAMEA6086515	country		Czechia	whole_field
PRJEB34874	SAMEA6086531	country		Czechia	whole_field
PRJEB34874	SAMEA6086532	country		Czechia	whole_field
PRJEB26512	SAMEA6160281	country		USA	whole_field
PRJEB36448	SAMEA6506341	country		United Kingdom	whole_field
PRJEB36448	SAMEA6506344	country		United Kingdom	whole_field
PRJEB43975	SAMEA8457514	country		Germany	whole_field
PRJEB45009	SAMEA8755920	country		Denmark	whole_field
PRJEB45009	SAMEA8755933	country		Denmark	whole_field
PRJEB45084	SAMEA8796403	country		Norway	whole_field
PRJEB45084	SAMEA8796407	country		Norway	whole_field
PRJEB45009	SAMEA8755915	country		Denmark	whole_field
PRJEB45084	SAMEA8796404	country		Norway	whole_field
PRJEB45084	SAMEA8796406	country		Norway	whole_field
PRJEB45084	SAMEA8796405	country		Norway	whole_field
PRJEB6657	SAMEA3252003	country		United Kingdom	whole_field
PRJEB52722	SAMEA14369721	country		United Kingdom	whole_field
PRJEB52722	SAMEA14369722	country		United Kingdom	whole_field
PRJEB53460	SAMEA110188920	country		Netherlands	whole_field
PRJNA674952	SAMN16684229	country		Pakistan	whole_field
PRJNA674952	SAMN16684226	country		Pakistan	whole_field
PRJNA674952	SAMN16684228	country		Pakistan	whole_field
PRJNA521748	SAMN10910564	country		Brazil	whole_field
PRJNA739632	SAMN19856744	country		USA	whole_field
PRJNA739637	SAMN19856763	country		USA	whole_field
PRJNA739637	SAMN19856761	country		USA	whole_field
PRJNA739637	SAMN19856760	country		USA	whole_field
PRJNA739637	SAMN19856758	country		USA	whole_field
PRJNA739632	SAMN19856743	country		USA	whole_field
PRJNA739632	SAMN19856742	country		USA	whole_field
PRJNA739637	SAMN19856762	country		USA	whole_field
PRJNA739637	SAMN19856759	country		USA	whole_field
PRJNA739637	SAMN19856757	country		USA	whole_field
PRJNA774508	SAMN22567295	country		Italy	whole_field
PRJNA774508	SAMN22567294	country		Italy	whole_field
PRJEB53460	SAMEA110188922	country		Netherlands	whole_field
PRJEB53460	SAMEA110188921	country		Netherlands	whole_field
PRJEB53460	SAMEA110188919	country		Netherlands	whole_field
PRJNA275974	SAMN32130555	country		USA	whole_field
PRJNA674952	SAMN16684230	country		Pakistan	whole_field
PRJNA674952	SAMN16684227	country		Pakistan	whole_field
PRJNA674952	SAMN16684225	country		Pakistan	whole_field
PRJNA887375	SAMN31164023	country		Switzerland	whole_field
PRJNA891137	SAMN31311659	country		China	whole_field
PRJNA847041	SAMN28911479	country		Austria	whole_field
PRJNA891137	SAMN31311655	country		China	whole_field
PRJNA891137	SAMN31311660	country		China	whole_field
PRJNA891137	SAMN31311657	country		China	whole_field
PRJNA891137	SAMN31311661	country		China	whole_field
PRJNA891137	SAMN31311654	country		China	whole_field
PRJNA891137	SAMN31311656	country		China	whole_field
PRJNA891137	SAMN31311658	country		China	whole_field
PRJNA922098	SAMN32643410	country		Switzerland	whole_field
PRJNA773853	SAMN22826309	country		India	whole_field
PRJNA508495	SAMN10523731	country		Uganda	whole_field
PRJEB22207	SAMEA104219966	country		United Kingdom	whole_field
PRJEB3353	SAMEA2036458	country		United Kingdom	whole_field
PRJEB6416	SAMEA2555317	country		United Kingdom	whole_field
PRJEB7689	SAMEA3178240	country		USA	whole_field
PRJEB7689	SAMEA3178292	country		USA	whole_field
PRJEB7689	SAMEA3178312	country		USA	whole_field
PRJEB7689	SAMEA3178401	country		USA	whole_field
PRJEB8302	SAMEA3217956	country		Malawi	whole_field
PRJEB8302	SAMEA3217957	country		Malawi	whole_field
PRJEB8302	SAMEA3217984	country		Malawi	whole_field
PRJEB8575	SAMEA3256066	country		Netherlands	whole_field
PRJEB9824	SAMEA3480896	country		United Kingdom	whole_field
PRJEB9824	SAMEA3480900	country		United Kingdom	whole_field
PRJEB9824	SAMEA3480903	country		United Kingdom	whole_field
PRJEB9824	SAMEA3480905	country		United Kingdom	whole_field
PRJEB18589	SAMEA44002918	country		United Kingdom	whole_field
PRJNA73843	SAMN01057614	country		USA	whole_field
PRJNA343442,PRJNA175243	SAMN01731171	country		Spain	whole_field
