study_accession	none_found	chosen_pmid	chosen_pmcid	chosen_doi	chosen_found_via	find_confidence	verified	sources_agreeing	coverage_estimate	coverage_fraction	shared_accession	umbrella	data_reuse_only	n_candidates	chosen_title
PRJNA818087	False	36129301	PMC9602619	10.1128/spectrum.02077-22	europepmc_accession	high	True	1	9.0	1.0	False	False	False	1	Microevolution of CG23-I Hypervirulent Klebsiella pneumoniae during Recurrent Infections in a Single Patient.
PRJDB18280	False	39971269		10.1016/j.jgar.2025.02.008	europepmc_title	high		1	9.0	1.0	False	False	False	1	In vitro activity of aztreonam in combination with relebactam against gram-negative pathogens producing various serine and metallo-β-lactamases.
PRJNA316321	True					high		0			False	False	True	2	
PRJNA1086631	False	38988700	PMC11234896	10.1093/ismeco/ycae082	europepmc_accession	high	True	1	9.0	1.0	False	False	False	1	Evolutionary and co-evolutionary phage training approaches enhance bacterial suppression and delay the emergence of phage resistance.
PRJNA770945	False	35464921	PMC9022032	10.3389/fmicb.2022.868991	europepmc_accession	high	True	1	9.0	1.0	False	False	False	1	Heteroresistance Is Associated With <i>in vitro</i> Regrowth During Colistin Treatment in Carbapenem-Resistant <i>Klebsiella pneumoniae</i>.
PRJNA1012333	False	38506533	PMC11019902	10.1128/msystems.01369-23	europepmc_accession	high	True	1	9.0	1.0	False	False	False	1	Outbreak of NDM-5-producing &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; ST307: an emerging high-risk antimicrobial resistance clone in Shanghai, China.
PRJNA1000275	True					high		0			False	False	True	1	
PRJNA624912	True					low		0			False	False	False	0	
PRJNA744549	False	34880850	PMC8645865	10.3389/fmicb.2021.791574	europepmc_secondary,europepmc_title	high	True	2	18.0	2.0	False	False	False	1	Molecular Surveillance of Carbapenem-Resistant Gram-Negative Bacteria in Liver Transplant Candidates.
PRJNA916297	True					low		0			False	False	False	0	
PRJNA717375	True					low		0			False	False	False	0	
PRJEB45559	False	35445193	PMC9015910	10.1093/jacamr/dlac041	europepmc_accession	high	True	1	9.0	1.0	False	False	False	1	Colistin-resistant Enterobacterales among veterinary healthcare workers and in the Dutch population.
PRJNA107647	False	20387120		10.1007/s10439-010-0030-6	europepmc_title,ncbi_bioproject	high		2	9.0	1.0	False	False	False	1	Endothelial gene expression in regions of defined shear exposure in the porcine iliac arteries.
PRJNA706839	False	34276606	PMC8284424	10.3389/fmicb.2021.674502	europepmc_accession	high	True	1	9.0	1.0	False	False	False	1	Acquisition of Tigecycline Resistance by Carbapenem-Resistant <i>Klebsiella pneumoniae</i> Confers Collateral Hypersensitivity to Aminoglycosides.
PRJNA1058963	True					low		0			False	False	False	0	
PRJEB71341	False	40909926	PMC12405260	10.3389/fmicb.2025.1657680	europepmc_accession,ncbi_bioproject	high	False	2	9.0	1.0	False	False	False	1	Multi-omics investigation reveals unique markers in &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; compared to closely related species.
PRJNA834640	False	36338046	PMC9627307	10.3389/fmicb.2022.1030490	europepmc_accession	high	True	1	9.0	1.0	False	False	False	1	Dissemination of <i>bla</i> <sub>NDM-5</sub> and <i>mcr-8.1</i> in carbapenem-resistant <i>Klebsiella pneumoniae</i> and <i>Klebsiella quasipneumoniae</i> in an animal breeding area in Eastern China.
PRJNA961034	False	37164093		10.1016/j.scitotenv.2023.163997	europepmc_title	high		1	9.0	1.0	False	False	False	1	Dissemination of carbapenemase-producing Enterobacterales through wastewater and gulls at a wastewater treatment plant in Sweden.
PRJEB58069	True					low		0	9.0	1.0	False	False	False	0	
PRJDB10450	False	33971966	PMC8111917	10.1186/s13756-021-00941-8	europepmc_accession	high	False	1	9.0	1.0	False	False	False	1	Novel chromosomal insertions of ISEcp1-bla<sub>CTX-M-15</sub> and diverse antimicrobial resistance genes in Zambian clinical isolates of Enterobacter cloacae and Escherichia coli.
PRJNA1001661	False	37923898	PMC10624845	10.1038/s41598-023-46221-w	europepmc_accession	medium	False	1	9.0	1.0	False	False	False	2	Detection and characterization of putative hypervirulent Klebsiella pneumoniae isolates in microbiological diagnostics.
PRJNA248792	True					low		0			True	False	True	24	
PRJNA1100205	True					low		0			False	False	False	0	
PRJNA793828	False	35983589		10.1093/jac/dkac268	ncbi_bioproject	high		1	125.0	13.8889	False	False	False	1	Enterobacterales high-risk clones and plasmids spreading blaESBL/AmpC and blaOXA-48 genes within and between hospitalized dogs and their environment.
PRJEB68301	False	39194291	PMC11448410	10.1128/spectrum.00254-24	europepmc_accession,europepmc_title	high	True	2	77.0	8.5556	False	False	False	2	Targeted phage hunting to specific &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; clinical isolates is an efficient antibiotic resistance and infection control strategy.
PRJNA1040118	True					high		0			False	False	False	2	
PRJNA438300	True					low		0			False	False	False	0	
PRJNA739637	True					low		0			False	False	False	0	
PRJNA271601	True					low		0			False	False	False	0	
PRJNA555823	True					low		0			False	False	False	0	
PRJEB76944	True					low		0			False	False	False	0	
PRJNA1029809	True					low		0			False	False	False	0	
PRJDB11634	True					low		0	8.0	1.0	False	False	False	0	
PRJNA891137	False	38904378	PMC11265266	10.1128/msystems.00262-24	europepmc_accession	high	True	1	8.0	1.0	False	False	False	1	Co-occurrence of ST412 &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; isolates with hypermucoviscous and non-mucoviscous phenotypes in a short-term hospitalized patient.
PRJEB19677	False	34362295	PMC8343889	10.1186/s12866-021-02285-0	europepmc_accession	high	True	1	8.0	1.0	False	False	False	2	Premature neonatal gut microbial community patterns supporting an epithelial TLR-mediated pathway for necrotizing enterocolitis.
PRJNA297024	True					low		0	8.0	1.0	False	False	False	0	
PRJNA1128528	False	39365067	PMC11539213	10.1128/aac.00762-24	europepmc_accession	high	True	1	8.0	1.0	False	False	False	1	Impact of porin deficiency on the synergistic potential of colistin in combination with β-lactam/β-lactamase inhibitors against ESBL- and carbapenemase-producing &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt;.
PRJNA722151	False	34066420	PMC8148119	10.3390/antibiotics10050536	europepmc_accession	high	True	1	8.0	1.0	False	False	False	1	Epidemiology of Meropenem/Vaborbactam Resistance in KPC-Producing <i>Klebsiella pneumoniae</i> Causing Bloodstream Infections in Northern Italy, 2018.
PRJEB51925	False	36416548	PMC9769692	10.1128/spectrum.02511-22	europepmc_accession	medium	True	1	4.0	0.5	True	False	False	4	An Emerging Lineage of Uropathogenic Extended Spectrum β-Lactamase Escherichia coli ST127.
PRJNA587095	False	32528441	PMC7262952	10.3389/fmicb.2020.01013	europepmc_accession	high	True	1	8.0	1.0	False	False	False	2	Prediction of Antimicrobial Resistance in Gram-Negative Bacteria From Whole-Genome Sequencing Data.
PRJNA674952	False	34906210	PMC8670247	10.1186/s13104-021-05867-3	europepmc_accession,ncbi_bioproject	high	True	2	8.0	1.0	False	False	False	1	Lipid A-Ara4N as an alternate pathway for (colistin) resistance in Klebsiella pneumonia isolates in Pakistan.
PRJNA302185	False	32255490	PMC10327870	10.1093/cid/ciaa049	europepmc_accession	high		1	8.0	1.0	False	False	False	1	Multispecies Outbreak of Verona Integron-Encoded Metallo-ß-Lactamase-Producing Multidrug Resistant Bacteria Driven by a Promiscuous Incompatibility Group A/C2 Plasmid.
PRJNA328506	True					low		0			False	False	False	0	
PRJEB53512	False	36782220	PMC9926764	10.1186/s13073-023-01159-6	europepmc_accession	high	True	1	8.0	1.0	False	False	False	1	Genomic analysis of the international high-risk clonal lineage Klebsiella pneumoniae sequence type 395.
PRJNA693599	True					low		0			False	False	False	0	
PRJNA707347	False	33846128	PMC8315949	10.1128/aac.02296-20	europepmc_accession	high		1	8.0	1.0	False	False	False	1	Core Antibiotic-Induced Transcriptional Signatures Reflect Susceptibility to All Members of an Antibiotic Class.
PRJNA648931	False	33253903	PMC7691820	10.1016/j.ijantimicag.2020.106245	europepmc_accession	high	True	1	8.0	1.0	False	False	False	1	Klebsiella pneumoniae infections in COVID-19 patients: a 2-month retrospective analysis in an Italian hospital.
PRJNA801490	True					low		0			False	False	False	0	
PRJNA812595	True					low		0			False	False	False	0	
PRJNA649713	False	33541879	PMC7862957	10.1128/mra.01379-20	europepmc_accession	high	True	1	27.0	3.375	False	False	False	1	Draft Genome Sequences of 27 Northern Maine Clinical Isolates.
PRJNA855630	True					low		0			False	False	False	0	
PRJEB12145	True					low		0			False	False	False	0	
PRJNA705836	False	35784041	PMC9188031	10.1002/ece3.8974	europepmc_accession,europepmc_title	high	False	2	8.0	1.0	False	False	False	1	Multiresistant Enterobacteriaceae in yellow-legged gull chicks in their first weeks of life.
PRJNA891092	False	36695452	PMC9817211	10.2807/1560-7917.es.2023.28.1.2200850	europepmc_accession,europepmc_title	high	True	2	8.0	1.0	False	False	False	1	Molecular surveillance of multidrug-resistant Gram-negative bacteria in Ukrainian patients, Germany, March to June 2022.
PRJNA523732	True					low		0			False	False	False	0	
PRJNA613777	False	33109078	PMC7590720	10.1186/s12866-020-02007-y	europepmc_accession	high	True	1	8.0	1.0	False	False	False	1	Diversity of mucoid to non-mucoid switch among carbapenemase-producing Klebsiella pneumoniae.
PRJNA396838	False	29237003	PMC5890751	10.1093/jac/dkx456	europepmc_accession	high	True	1	8.0	1.0	False	False	False	1	Illumina short-read and MinION long-read WGS to characterize the molecular epidemiology of an NDM-1 Serratia marcescens outbreak in Romania.
PRJNA506754	False	31699025	PMC6839148	10.1186/s12864-019-6225-9	europepmc_accession,ncbi_bioproject	high	True	2	7.0	1.0	False	False	False	1	Molecular characterization of carbapenem-resistant Klebsiella pneumoniae isolates with focus on antimicrobial resistance.
PRJNA644880	True					high		0			False	False	True	1	
PRJNA506070	False	32284589	PMC9194776	10.1038/s41591-020-0825-4	europepmc_accession,europepmc_title	high		2	7.0	1.0	False	False	False	2	Adaptive evolution of virulence and persistence in carbapenem-resistant Klebsiella pneumoniae.
PRJNA841857	False	35889085	PMC9323973	10.3390/microorganisms10071364	europepmc_accession	high	True	1	7.0	1.0	False	False	False	2	Prevalence and Characterization of Extended-Spectrum β-Lactamase- and Carbapenemase-Producing Enterobacterales from Tunisian Seafood.
PRJNA942340	True					low		0			False	False	False	0	
PRJNA508509	True					low		0			False	False	False	0	
PRJNA656363	True					low		0			False	False	False	0	
PRJNA640587	False	33154016	PMC7645671	10.1128/mra.01116-20	europepmc_accession	high	False	1	10.0	1.4286	False	False	False	1	Genome Sequencing of Escherichia coli and Klebsiella pneumoniae Isolates That Harbor the FOX-5 β-Lactamase Gene.
PRJNA523730	True					low		0			False	False	False	0	
PRJNA595047	False	32401163	PMC8284978	10.1080/22221751.2020.1768805	europepmc_accession	high	True	1	7.0	1.0	False	False	False	2	Co-existence of a novel plasmid-mediated efflux pump with colistin resistance gene <i>mcr</i> in one plasmid confers transferable multidrug resistance in <i>Klebsiella pneumoniae</i>.
PRJDB9509	False	34817239	PMC8612250	10.1128/msphere.00734-21	ncbi_bioproject	medium	False	1	5.0	0.7143	True	False	False	3	Stepwise Evolution of a Klebsiella pneumoniae Clone within a Host Leading to Increased Multidrug Resistance.
PRJNA613629	True					low		0			False	False	False	0	
PRJNA600879	False	32093201	PMC7070950	10.3390/ani10020332	europepmc_accession,europepmc_title	high	True	2	7.0	1.0	False	False	False	1	Broad-Spectrum Cephalosporin-Resistant <i>Klebsiella</i> spp. Isolated from Diseased Horses in Austria.
PRJNA482675	True					low		0	7.0	1.0	False	False	False	0	
PRJNA1003529	True					low		0			False	False	False	1	
PRJNA476828	True					low		0			False	False	False	0	
PRJNA911203	True					low		0			False	False	False	0	
PRJNA853564	False	36752778	PMC9997735	10.1099/mgen.0.000931	europepmc_accession	high	True	1	7.0	1.0	False	False	False	1	Ceftazidime-avibactam resistance in <i>Klebsiella pneumoniae</i> sequence type 37: a decade of persistence and concealed evolution.
PRJNA420753	False	29263067	PMC5826117	10.1128/aac.02101-17	europepmc_accession,europepmc_secondary,ncbi_bioproject	high		3	7.0	1.0	False	False	False	1	Successive Emergence of Ceftazidime-Avibactam Resistance through Distinct Genomic Adaptations in <i>bla</i><sub>KPC-2</sub>-Harboring Klebsiella pneumoniae Sequence Type 307 Isolates.
PRJNA683049	False	33737357	PMC7975875	10.1128/mra.00073-21	europepmc_accession	medium	True	1	3.0	0.4286	True	False	False	2	Complete Genome Sequences of Three Uropathogenic Klebsiella quasipneumoniae Strains Isolated from Postmenopausal Women with Recurrent Urinary Tract Infection.
PRJEB39816	True					low		0			False	False	False	0	
PRJNA962904	True					low		0			False	False	False	0	
PRJNA1057770	False	39714187	PMC11796411	10.1128/mbio.02957-24	europepmc_accession	medium	True	1	7.0	1.0	False	False	False	1	Phage-mediated virulence loss and antimicrobial susceptibility in carbapenem-resistant &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt;.
PRJNA873263	False	36232576	PMC9570485	10.3390/ijms231911276	europepmc_accession	high	True	1	7.0	1.0	False	False	False	1	Characterizing Antimicrobial Resistance in Clinically Relevant Bacteria Isolated at the Human/Animal/Environment Interface Using Whole-Genome Sequencing in Austria.
PRJNA856883	True					low		0			False	False	False	0	
PRJNA1023396	True					low		0			False	False	False	0	
PRJNA748260	True					low		0			False	False	False	0	
PRJEB25904	True					low		0			False	False	False	0	
PRJNA374958	True					low		0			False	False	False	0	
PRJNA1072756	False			10.21203/rs.3.rs-7763072/v1	europepmc_accession	high		1			True	False	False	2	Gut translocation of antimicrobial resistant pathogens in patients undergoing haematopoietic stem cell transplantation in India
PRJNA1069381	True					low		0	6.0	1.0	False	False	False	0	
PRJNA716436	True					low		0			False	False	False	0	
PRJNA825843	True					high		0			False	False	False	0	
PRJEB48690	False	35435751	PMC9241641	10.1128/spectrum.00148-22	europepmc_accession	high	True	1	6.0	1.0	False	False	False	2	Extensively Drug-Resistant Klebsiella pneumoniae Counteracts Fitness and Virulence Costs That Accompanied Ceftazidime-Avibactam Resistance Acquisition.
PRJNA664939	False	33258596	PMC8463082	10.1021/acs.est.0c03803	europepmc_accession	medium		1	6.0	1.0	False	False	False	1	Contribution of Time, Taxonomy, and Selective Antimicrobials to Antibiotic and Multidrug Resistance in Wastewater Bacteria.
PRJNA907528	True					low		0			False	False	False	0	
PRJNA690196	True					low		0			False	False	False	0	
PRJNA184888	False	23345298	PMC3666789	10.1128/jcm.03237-12	europepmc_accession	high		1	6.0	1.0	False	False	False	2	A genomic day in the life of a clinical microbiology laboratory.
PRJNA1101420	True					high		0			False	False	False	1	
PRJNA824073	True					low		0			False	False	False	0	
PRJEB29745	False	31849911	PMC6896662	10.3389/fmicb.2019.02779	europepmc_accession	medium	True	1	6.0	1.0	False	False	False	2	Multidrug-Resistant and Clinically Relevant Gram-Negative Bacteria Are Present in German Surface Waters.
PRJNA499091	True					low		0			False	False	False	0	
PRJNA504930	False	31551966	PMC6735287	10.3389/fmicb.2019.02029	europepmc_accession	high	True	1	6.0	1.0	False	False	False	1	Ceftazidime/avibactam Improves the Antibacterial Efficacy of Polymyxin B Against Polymyxin B Heteroresistant KPC-2-Producing <i>Klebsiella pneumoniae</i> and Hinders Emergence of Resistant Subpopulation <i>in vitro</i>.
PRJEB23315	False	29691332	PMC5915730	10.1128/mbio.02303-17	europepmc_accession	high	True	1	6.0	1.0	False	False	False	1	Clinically Relevant Plasmid-Host Interactions Indicate that Transcriptional and Not Genomic Modifications Ameliorate Fitness Costs of &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; Carbapenemase-Carrying Plasmids.
PRJEB40388	False	34203731	PMC8232337	10.3390/antibiotics10060718	europepmc_accession,europepmc_title	high	True	2	29.0	4.8333	False	False	False	1	Whole-Genome Sequencing Investigation of a Large Nosocomial Outbreak Caused by ST131 H30Rx KPC-Producing <i>Escherichia coli</i> in Italy.
PRJNA916215	False	38674671	PMC11052496	10.3390/microorganisms12040729	europepmc_accession	medium	True	1	154.0	25.6667	False	False	False	1	Repeated Occurrence of Mobile Colistin Resistance Gene-Carrying Plasmids in Pathogenic <i>Escherichia coli</i> from German Pig Farms.
PRJNA561426	True					low		0			False	False	False	0	
PRJEB26677	False	36065064	PMC9519460	10.1038/s41564-022-01216-7	europepmc_accession	high	False	1	425.0	70.8333	True	False	False	9	Colonization dynamics of extended-spectrum beta-lactamase-producing Enterobacterales in the gut of Malawian adults.
PRJNA947837	False	37719365	PMC10501869	10.1016/j.apsb.2023.06.003	europepmc_accession	high	True	1	6.0	1.0	False	False	False	1	Polymyxin resistance caused by large-scale genomic inversion due to IS<i>26</i> intramolecular translocation in <i>Klebsiella pneumoniae</i>.
PRJNA561052	True					low		0			False	False	False	0	
PRJNA610191	True					low		0			False	False	False	0	
PRJNA476187	True					low		0			False	False	False	0	
PRJEB70870	True					high		0			False	False	False	0	
PRJDB9461	False	31256940		10.1016/j.diagmicrobio.2019.04.008	ncbi_bioproject	medium		1	6.0	1.0	True	False	False	4	Clinical characteristics of bacteremia caused by hypermucoviscous Klebsiella pneumoniae at a tertiary hospital.
PRJNA985853	True					low		0			False	False	False	0	
PRJNA822025	False	37538841	PMC10394836	10.3389/fmicb.2023.1156292	europepmc_accession	high	True	1	6.0	1.0	False	False	False	1	Phage resistance formation and fitness costs of hypervirulent <i>Klebsiella pneumoniae</i> mediated by K2 capsule-specific phage and the corresponding mechanisms.
PRJNA342046	False	28104655	PMC5255920	10.1128/genomea.01472-16	ncbi_bioproject	medium	False	1	6.0	1.0	False	False	False	3	First Complete Providencia rettgeri Genome Sequence, the NDM-1-Producing Clinical Strain RB151.
PRJNA542787	False	31953453	PMC6969056	10.1038/s41598-020-57505-w	europepmc_accession	high	True	1	7.0	1.1667	False	False	False	1	Impact of anticancer chemotherapy on the extension of beta-lactamase spectrum: an example with KPC-type carbapenemase activity towards ceftazidime-avibactam.
PRJNA312972	True					medium		0			False	False	False	1	
PRJNA791169	False	36222687	PMC9769677	10.1128/spectrum.02400-22	europepmc_accession	medium	True	1	6.0	1.0	False	False	False	1	Evolution of Virulence, Fitness, and Carbapenem Resistance Transmission in ST23 Hypervirulent Klebsiella pneumoniae with the Capsular Polysaccharide Synthesis Gene <i>wcaJ</i> Inserted via Insertion Sequence Elements.
