study_accession	has_paper	date_gap	source_gap	gap_samples	ena_taxon_samples	fulltext_status	best_url	doi	pmid	pmcid	paper_link	title	save_as
PRJDB18280	True	0	0	0	9	abstract	https://doi.org/10.1016/j.jgar.2025.02.008	10.1016/j.jgar.2025.02.008	39971269			In vitro activity of aztreonam in combination with relebactam against gram-negative pathogens producing various serine and metallo-β-lactamases.	PRJDB18280.pdf
PRJNA107647	True	0	0	0	9	abstract	https://doi.org/10.1007/s10439-010-0030-6	10.1007/s10439-010-0030-6	20387120			Endothelial gene expression in regions of defined shear exposure in the porcine iliac arteries.	PRJNA107647.pdf
PRJNA961034	True	0	0	0	9	abstract	https://doi.org/10.1016/j.scitotenv.2023.163997	10.1016/j.scitotenv.2023.163997	37164093			Dissemination of carbapenemase-producing Enterobacterales through wastewater and gulls at a wastewater treatment plant in Sweden.	PRJNA961034.pdf
PRJNA793828	True	0	0	0	9	abstract	https://doi.org/10.1093/jac/dkac268	10.1093/jac/dkac268	35983589			Enterobacterales high-risk clones and plasmids spreading blaESBL/AmpC and blaOXA-48 genes within and between hospitalized dogs and their environment.	PRJNA793828.pdf
PRJNA302185	True	0	0	0	8	abstract	https://doi.org/10.1093/cid/ciaa049	10.1093/cid/ciaa049	32255490	PMC10327870		Multispecies Outbreak of Verona Integron-Encoded Metallo-ß-Lactamase-Producing Multidrug Resistant Bacteria Driven by a Promiscuous Incompatibility Group A/C2 Plasmid.	PRJNA302185.pdf
PRJNA707347	True	0	0	0	8	abstract	https://doi.org/10.1128/aac.02296-20	10.1128/aac.02296-20	33846128	PMC8315949		Core Antibiotic-Induced Transcriptional Signatures Reflect Susceptibility to All Members of an Antibiotic Class.	PRJNA707347.pdf
PRJNA506070	True	0	0	0	7	abstract	https://doi.org/10.1038/s41591-020-0825-4	10.1038/s41591-020-0825-4	32284589	PMC9194776		Adaptive evolution of virulence and persistence in carbapenem-resistant Klebsiella pneumoniae.	PRJNA506070.pdf
PRJNA420753	True	0	0	0	7	abstract	https://doi.org/10.1128/aac.02101-17	10.1128/aac.02101-17	29263067	PMC5826117		Successive Emergence of Ceftazidime-Avibactam Resistance through Distinct Genomic Adaptations in <i>bla</i><sub>KPC-2</sub>-Harboring Klebsiella pneumoniae Sequence Type 307 Isolates.	PRJNA420753.pdf
PRJNA1072756	True	0	0	0	6	abstract	https://doi.org/10.21203/rs.3.rs-7763072/v1	10.21203/rs.3.rs-7763072/v1				Gut translocation of antimicrobial resistant pathogens in patients undergoing haematopoietic stem cell transplantation in India	PRJNA1072756.pdf
PRJNA664939	True	0	0	0	6	abstract	https://doi.org/10.1021/acs.est.0c03803	10.1021/acs.est.0c03803	33258596	PMC8463082		Contribution of Time, Taxonomy, and Selective Antimicrobials to Antibiotic and Multidrug Resistance in Wastewater Bacteria.	PRJNA664939.pdf
