study_accession	study_type	study_type_excluded	paper_records_in_taxon	paper_coverage_for_taxon	needs_manual_download	fulltext_source	is_full_text	grade_context_chars	full_text_would_help	model	study_setting__value	study_setting__grade	amr_study__value	amr_study__grade	amr_target__value	amr_target__grade	amr_method__value	amr_method__grade	cohort_age__value	cohort_age__grade	backfill_country__value	backfill_country__whole_project	backfill_isolation_source__value	backfill_isolation_source__whole_project	backfill_host__value	backfill_host__whole_project	backfill_collection_date__value	backfill_collection_date__whole_project
PRJNA818087	observational	False	9	1.0	False	europepmc_fulltext	True	38697	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	Taiwan	True		False	human	True	2020-06-20	True
PRJDB18280	observational	False			True	abstract	False	2060	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Japan	True		False	human	True		False
PRJNA316321	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable	amr	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA1086631	experimental_evolution	True	9	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA770945	experimental_evolution	True	9	1.0	False	europepmc_fulltext	True	26053	False	claude-sonnet-4-6	hospital	partial	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	China	True		False	human	False		False
PRJNA1012333	observational	False	9	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	China	True		False	human	True	2022-11-02	True
PRJNA1000275	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable	amr	gradeable		not_gradeable		not_gradeable		not_gradeable	Taiwan	True		False	human	True		False
PRJNA624912	observational	False			True	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	Kuwait	True		False	human	True		False
PRJNA744549	observational	False	9	1.0	False	europepmc_fulltext	True	27264	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Germany	True		False	human	True		False
PRJNA916297	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable	newborn_young_child	gradeable	China	True	stool	True	human	True		False
PRJNA717375	observational	False			False	none	False	0	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	China	True		False	human	True		False
PRJEB45559	observational	False	2	0.2222	False	europepmc_fulltext	True	21414	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable	adult	gradeable	Netherlands	True	faeces	True	human	True		False
PRJNA107647	other	False	0	0.0	False	abstract	False	1455	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False	iliac artery endothelial cells	True	Sus scrofa	True		False
PRJNA706839	experimental_evolution	True	9	1.0	False	europepmc_fulltext	True	30721	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	China	True		False	human	False	2014-06-16	True
PRJNA1058963	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB71341	observational	False	9	1.0	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA834640	observational	False	8	0.8889	False	europepmc_fulltext	True	37686	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	China	True		False		False	2019-07-16	True
PRJNA961034	observational	False			True	abstract	False	2264	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Sweden	True	wastewater	True	wastewater	True	2021-07-16	True
PRJEB58069	observational	False			True	none	False	0	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Sweden	True		False		False	2021-07-16	True
PRJDB10450	observational	False			False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Zambia	True		False	human	True	2018-08-16	True
PRJNA1001661	observational	False	9	1.0	False	europepmc_fulltext	True	29767	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	Germany	True		False	human	True	2021-07-02	True
PRJNA248792	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA1100205	observational	False			True	none	False	0	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	other	gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA793828	observational	False			True	abstract	False	1826	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	France	True		False	dog	False		False
PRJEB68301	observational	False	9	1.0	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Spain	True		False	human	True		False
PRJNA1040118	observational	False			False	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable		not_gradeable		not_gradeable	Spain	True		False	human	True		False
PRJNA438300	observational	False			False	none	False	0	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False	human	True	2017-08-16	True
PRJNA739637	observational	False			False	none	False	0	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False		False		False
PRJNA271601	experimental_evolution	True			False	none	False	0	False	claude-sonnet-4-6	community	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	mouse	True		False
PRJNA555823	experimental_evolution	True			False	none	False	0	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB76944	observational	False			False	none	False	0	False	claude-sonnet-4-6	hospital	partial		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA1029809	observational	False			False	none	False	0	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False	water	True	water	True		False
PRJDB11634	observational	False			True	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable		not_gradeable		not_gradeable	Japan	True		False		False	2019-10-30	True
PRJNA891137	observational	False	8	1.0	False	europepmc_fulltext	True	40216	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	China	True		False	human	True	2020-07-01	True
PRJEB19677	observational	False			False	europepmc_fulltext	True	38665	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable	United Kingdom	True	faeces	True	human	True	2012-01-01	True
PRJNA297024	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	United States	True		False	human	True	2015-07-02	True
PRJNA1128528	experimental_evolution	True	8	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA722151	observational	False	8	1.0	False	europepmc_fulltext	True	16993	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Italy	True	blood	True	human	True	2018-07-02	True
PRJEB51925	observational	False	0	0.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Armenia	True		False	human	True	2019-07-02	True
PRJNA587095	observational	False	7	0.875	False	europepmc_fulltext	True	43884	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable	USA	True		False	human	True		False
PRJNA674952	observational	False	8	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	Pakistan	True		False	human	True		False
PRJNA302185	observational	False			True	abstract	False	2200	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	mixed	gradeable	USA	True		False	human	True	2015-07-02	True
PRJNA328506	observational	False			True	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	USA	True		False	human	True	2012-07-01	True
PRJEB53512	observational	False	8	1.0	False	europepmc_fulltext	True	48741	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA693599	observational	False			True	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA707347	observational	False			True	abstract	False	750	False	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	other	gradeable	ast_result	gradeable		not_gradeable		False		False	human	True		False
PRJNA648931	observational	False	8	1.0	False	europepmc_fulltext	True	6916	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Italy	True		False	human	True	2020-04-03	True
PRJNA801490	observational	False			False	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA812595	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA649713	observational	False	8	1.0	False	europepmc_fulltext	True	6610	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True	urine	False	human	True	2017-07-02	True
PRJNA855630	observational	False			False	none	False	0	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable		not_gradeable		not_gradeable		False	feces	True	poultry	True		False
PRJEB12145	observational	False			True	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	partial		not_gradeable	Denmark	True		False	human	True		False
PRJNA705836	observational	False	8	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	France	True	cloacal swab	True	Larus michahellis	True	2016-05-06	True
