study_accession	field	fold	none_found	chosen_pmcid	fulltext_source	is_full_text	paper_resolved	paper_url	paper_title	manual_pdf_present	manual_pdf_readable	supp_present	gate_status	n_blank	per_sample_method	zero_reason	n_whole_field	n_per_sample	n_escalation	remaining_est	escalation_status	resolution_state	recoverability
PRJDB10450	country	sub10	False	PMC8111917	europepmc_fulltext	True	True	https://doi.org/10.1186/s13756-021-00941-8	Novel chromosomal insertions of ISEcp1-bla<sub>CTX-M-15</sub	False	False	False	covered	9			9	0	0	9	not_generated	FILLED	whole_field
PRJDB10450	collection_date	sub10	False	PMC8111917	europepmc_fulltext	True	True	https://doi.org/10.1186/s13756-021-00941-8	Novel chromosomal insertions of ISEcp1-bla<sub>CTX-M-15</sub	False	False	False	not_gated	0			0	0	0	0	not_generated	FILLED	not_gated
PRJDB10450	isolation_source	sub10	False	PMC8111917	europepmc_fulltext	True	True	https://doi.org/10.1186/s13756-021-00941-8	Novel chromosomal insertions of ISEcp1-bla<sub>CTX-M-15</sub	False	False	False	residual_per_sample	9		abstained_other	0	0	0	9	not_generated	EXHAUSTED	abstained_other
PRJDB10450	host	sub10	False	PMC8111917	europepmc_fulltext	True	True	https://doi.org/10.1186/s13756-021-00941-8	Novel chromosomal insertions of ISEcp1-bla<sub>CTX-M-15</sub	False	False	False	covered	9			9	0	0	9	not_generated	FILLED	whole_field
PRJDB10686	country	sub10	False	PMC8223806	europepmc_fulltext	True	True	https://doi.org/10.1128/mra.00343-21	Draft Genome Sequence of Klebsiella pneumoniae subsp. <i>pne	False	False	False	not_gated	0			0	0	0	0	not_generated	FILLED	not_gated
PRJDB10686	collection_date	sub10	False	PMC8223806	europepmc_fulltext	True	True	https://doi.org/10.1128/mra.00343-21	Draft Genome Sequence of Klebsiella pneumoniae subsp. <i>pne	False	False	False	not_gated	0			0	0	0	0	not_generated	FILLED	not_gated
PRJDB10686	isolation_source	sub10	False	PMC8223806	europepmc_fulltext	True	True	https://doi.org/10.1128/mra.00343-21	Draft Genome Sequence of Klebsiella pneumoniae subsp. <i>pne	False	False	False	covered	1			1	0	0	1	not_generated	FILLED	whole_field
PRJDB10686	host	sub10	False	PMC8223806	europepmc_fulltext	True	True	https://doi.org/10.1128/mra.00343-21	Draft Genome Sequence of Klebsiella pneumoniae subsp. <i>pne	False	False	False	covered	1			1	0	0	1	not_generated	FILLED	whole_field
PRJDB10890	country	sub10	True		none	False	False			False	False	False	not_gated	0			0	0	0	0	not_generated	FILLED	not_gated
PRJDB10890	collection_date	sub10	True		none	False	False			False	False	False	not_gated	0			0	0	0	0	not_generated	FILLED	not_gated
PRJDB10890	isolation_source	sub10	True		none	False	False			False	False	False	residual_per_sample	1		NO_PMCID	0	0	0	1	not_generated	EXHAUSTED	no_paper_findable
