study_accession	paper_short_title	n_isolates	fold	seed	ena_total_samples	ena_total_runs	ena_taxon_samples	n_child_studies	umbrella_suspected	by_scientific_name	fetch_status
PRJNA818087		9	sub10		9		9				proxy_rowcount
PRJNA316321		9	sub10		9		9				proxy_rowcount
PRJNA961034		9	sub10		9		9				proxy_rowcount
PRJEB58069		9	sub10		9		9				proxy_rowcount
PRJDB10450		9	sub10		9		9				proxy_rowcount
PRJNA248792		9	sub10		9		9				proxy_rowcount
PRJNA1001661		9	sub10		9		9				proxy_rowcount
PRJEB71341		9	sub10		9		9				proxy_rowcount
PRJNA1100205		9	sub10		9		9				proxy_rowcount
PRJNA793828		9	sub10		9		9				proxy_rowcount
PRJEB68301		9	sub10		9		9				proxy_rowcount
PRJNA1040118		9	sub10		9		9				proxy_rowcount
PRJNA834640		9	sub10		9		9				proxy_rowcount
PRJNA1058963		9	sub10		9		9				proxy_rowcount
PRJDB18280		9	sub10		9		9				proxy_rowcount
PRJNA107647		9	sub10		9		9				proxy_rowcount
PRJEB45559		9	sub10		9		9				proxy_rowcount
PRJNA717375		9	sub10		9		9				proxy_rowcount
PRJNA916297		9	sub10		9		9				proxy_rowcount
PRJNA744549		9	sub10		9		9				proxy_rowcount
PRJNA706839		9	sub10		9		9				proxy_rowcount
PRJNA624912		9	sub10		9		9				proxy_rowcount
PRJNA1000275		9	sub10		9		9				proxy_rowcount
PRJNA1012333		9	sub10		9		9				proxy_rowcount
PRJNA770945		9	sub10		9		9				proxy_rowcount
PRJNA1086631		9	sub10		9		9				proxy_rowcount
PRJNA812595		8	sub10		8		8				proxy_rowcount
PRJNA855630		8	sub10		8		8				proxy_rowcount
PRJNA707347		8	sub10		8		8				proxy_rowcount
PRJNA648931		8	sub10		8		8				proxy_rowcount
PRJNA801490		8	sub10		8		8				proxy_rowcount
PRJNA649713		8	sub10		8		8				proxy_rowcount
PRJEB53512		8	sub10		8		8				proxy_rowcount
PRJEB12145		8	sub10		8		8				proxy_rowcount
PRJNA396838		8	sub10		8		8				proxy_rowcount
PRJNA705836		8	sub10		8		8				proxy_rowcount
PRJNA891092		8	sub10		8		8				proxy_rowcount
PRJNA523732		8	sub10		8		8				proxy_rowcount
PRJNA613777		8	sub10		8		8				proxy_rowcount
PRJNA693599		8	sub10		8		8				proxy_rowcount
PRJNA328506		8	sub10		8		8				proxy_rowcount
PRJNA587095		8	sub10		8		8				proxy_rowcount
PRJNA674952		8	sub10		8		8				proxy_rowcount
PRJNA438300		8	sub10		8		8				proxy_rowcount
PRJNA271601		8	sub10		8		8				proxy_rowcount
PRJNA555823		8	sub10		8		8				proxy_rowcount
PRJEB76944		8	sub10		8		8				proxy_rowcount
PRJNA1029809		8	sub10		8		8				proxy_rowcount
PRJDB11634		8	sub10		8		8				proxy_rowcount
PRJNA739637		8	sub10		8		8				proxy_rowcount
PRJEB19677		8	sub10		8		8				proxy_rowcount
PRJNA297024		8	sub10		8		8				proxy_rowcount
PRJNA302185		8	sub10		8		8				proxy_rowcount
PRJNA1128528		8	sub10		8		8				proxy_rowcount
PRJNA722151		8	sub10		8		8				proxy_rowcount
PRJEB51925		8	sub10		8		8				proxy_rowcount
PRJNA891137		8	sub10		8		8				proxy_rowcount
PRJNA853564		7	sub10		7		7				proxy_rowcount
PRJNA420753		7	sub10		7		7				proxy_rowcount
PRJNA962904		7	sub10		7		7				proxy_rowcount
PRJNA683049		7	sub10		7		7				proxy_rowcount
PRJEB39816		7	sub10		7		7				proxy_rowcount
PRJNA476828		7	sub10		7		7				proxy_rowcount
PRJNA1057770		7	sub10		7		7				proxy_rowcount
PRJNA873263		7	sub10		7		7				proxy_rowcount
PRJNA856883		7	sub10		7		7				proxy_rowcount
PRJNA1023396		7	sub10		7		7				proxy_rowcount
PRJNA748260		7	sub10		7		7				proxy_rowcount
PRJEB25904		7	sub10		7		7				proxy_rowcount
PRJNA911203		7	sub10		7		7				proxy_rowcount
PRJNA1003529		7	sub10		7		7				proxy_rowcount
PRJNA613629		7	sub10		7		7				proxy_rowcount
PRJNA600879		7	sub10		7		7				proxy_rowcount
PRJNA482675		7	sub10		7		7				proxy_rowcount
PRJNA644880		7	sub10		7		7				proxy_rowcount
PRJNA506070		7	sub10		7		7				proxy_rowcount
PRJNA841857		7	sub10		7		7				proxy_rowcount
PRJNA942340		7	sub10		7		7				proxy_rowcount
PRJNA506754		7	sub10		7		7				proxy_rowcount
PRJNA656363		7	sub10		7		7				proxy_rowcount
PRJNA640587		7	sub10		7		7				proxy_rowcount
PRJNA508509		7	sub10		7		7				proxy_rowcount
PRJNA523730		7	sub10		7		7				proxy_rowcount
PRJNA595047		7	sub10		7		7				proxy_rowcount
PRJDB9509		7	sub10		7		7				proxy_rowcount
PRJNA476187		6	sub10		6		6				proxy_rowcount
PRJEB70870		6	sub10		6		6				proxy_rowcount
PRJDB9461		6	sub10		6		6				proxy_rowcount
PRJNA985853		6	sub10		6		6				proxy_rowcount
PRJNA791169		6	sub10		6		6				proxy_rowcount
PRJNA822025		6	sub10		6		6				proxy_rowcount
PRJNA342046		6	sub10		6		6				proxy_rowcount
PRJNA542787		6	sub10		6		6				proxy_rowcount
PRJNA312972		6	sub10		6		6				proxy_rowcount
PRJNA610191		6	sub10		6		6				proxy_rowcount
PRJEB55525		6	sub10		6		6				proxy_rowcount
PRJEB56148		6	sub10		6		6				proxy_rowcount
PRJNA1044302		6	sub10		6		6				proxy_rowcount
PRJNA992249		6	sub10		6		6				proxy_rowcount
PRJNA1039570		6	sub10		6		6				proxy_rowcount
PRJEB45084		6	sub10		6		6				proxy_rowcount
PRJEB34874		6	sub10		6		6				proxy_rowcount
PRJNA861272		6	sub10		6		6				proxy_rowcount
PRJNA949453		6	sub10		6		6				proxy_rowcount
PRJNA947837		6	sub10		6		6				proxy_rowcount
PRJNA561052		6	sub10		6		6				proxy_rowcount
PRJNA561426		6	sub10		6		6				proxy_rowcount
PRJEB26677		6	sub10		6		6				proxy_rowcount
PRJNA1072756		6	sub10		6		6				proxy_rowcount
PRJNA1069381		6	sub10		6		6				proxy_rowcount
PRJNA716436		6	sub10		6		6				proxy_rowcount
PRJNA825843		6	sub10		6		6				proxy_rowcount
PRJEB48690		6	sub10		6		6				proxy_rowcount
PRJNA664939		6	sub10		6		6				proxy_rowcount
PRJNA907528		6	sub10		6		6				proxy_rowcount
PRJNA690196		6	sub10		6		6				proxy_rowcount
PRJNA374958		6	sub10		6		6				proxy_rowcount
