study_accession	paper_short_title	n_isolates	fold	seed
PRJNA818087		9	sub10	
PRJNA316321		9	sub10	
PRJNA961034		9	sub10	
PRJEB58069		9	sub10	
PRJDB10450		9	sub10	
PRJNA248792		9	sub10	
PRJNA1001661		9	sub10	
PRJEB71341		9	sub10	
PRJNA1100205		9	sub10	
PRJNA793828		9	sub10	
PRJEB68301		9	sub10	
PRJNA1040118		9	sub10	
PRJNA834640		9	sub10	
PRJNA1058963		9	sub10	
PRJDB18280		9	sub10	
PRJNA107647		9	sub10	
PRJEB45559		9	sub10	
PRJNA717375		9	sub10	
PRJNA916297		9	sub10	
PRJNA744549		9	sub10	
PRJNA706839		9	sub10	
PRJNA624912		9	sub10	
PRJNA1000275		9	sub10	
PRJNA1012333		9	sub10	
PRJNA770945		9	sub10	
PRJNA1086631		9	sub10	
PRJNA812595		8	sub10	
PRJNA855630		8	sub10	
PRJNA707347		8	sub10	
PRJNA648931		8	sub10	
PRJNA801490		8	sub10	
PRJNA649713		8	sub10	
PRJEB53512		8	sub10	
PRJEB12145		8	sub10	
PRJNA396838		8	sub10	
PRJNA705836		8	sub10	
PRJNA891092		8	sub10	
PRJNA523732		8	sub10	
PRJNA613777		8	sub10	
PRJNA693599		8	sub10	
PRJNA328506		8	sub10	
PRJNA587095		8	sub10	
PRJNA674952		8	sub10	
PRJNA438300		8	sub10	
PRJNA271601		8	sub10	
PRJNA555823		8	sub10	
PRJEB76944		8	sub10	
PRJNA1029809		8	sub10	
PRJDB11634		8	sub10	
PRJNA739637		8	sub10	
PRJEB19677		8	sub10	
PRJNA297024		8	sub10	
PRJNA302185		8	sub10	
PRJNA1128528		8	sub10	
PRJNA722151		8	sub10	
PRJEB51925		8	sub10	
PRJNA891137		8	sub10	
PRJNA853564		7	sub10	
PRJNA420753		7	sub10	
PRJNA962904		7	sub10	
PRJNA683049		7	sub10	
PRJEB39816		7	sub10	
PRJNA476828		7	sub10	
PRJNA1057770		7	sub10	
PRJNA873263		7	sub10	
PRJNA856883		7	sub10	
PRJNA1023396		7	sub10	
PRJNA748260		7	sub10	
PRJEB25904		7	sub10	
PRJNA911203		7	sub10	
PRJNA1003529		7	sub10	
PRJNA613629		7	sub10	
PRJNA600879		7	sub10	
PRJNA482675		7	sub10	
PRJNA644880		7	sub10	
PRJNA506070		7	sub10	
PRJNA841857		7	sub10	
PRJNA942340		7	sub10	
PRJNA506754		7	sub10	
PRJNA656363		7	sub10	
PRJNA640587		7	sub10	
PRJNA508509		7	sub10	
PRJNA523730		7	sub10	
PRJNA595047		7	sub10	
PRJDB9509		7	sub10	
PRJNA476187		6	sub10	
PRJEB70870		6	sub10	
PRJDB9461		6	sub10	
PRJNA985853		6	sub10	
PRJNA791169		6	sub10	
PRJNA822025		6	sub10	
PRJNA342046		6	sub10	
PRJNA542787		6	sub10	
PRJNA312972		6	sub10	
PRJNA610191		6	sub10	
PRJEB55525		6	sub10	
PRJEB56148		6	sub10	
PRJNA1044302		6	sub10	
PRJNA992249		6	sub10	
PRJNA1039570		6	sub10	
PRJEB45084		6	sub10	
PRJEB34874		6	sub10	
PRJNA861272		6	sub10	
PRJNA949453		6	sub10	
PRJNA947837		6	sub10	
PRJNA561052		6	sub10	
PRJNA561426		6	sub10	
PRJEB26677		6	sub10	
PRJNA1072756		6	sub10	
PRJNA1069381		6	sub10	
PRJNA716436		6	sub10	
PRJNA825843		6	sub10	
PRJEB48690		6	sub10	
PRJNA664939		6	sub10	
PRJNA907528		6	sub10	
PRJNA690196		6	sub10	
PRJNA374958		6	sub10	
PRJNA1101420		6	sub10	
PRJNA824073		6	sub10	
PRJEB29745		6	sub10	
PRJNA499091		6	sub10	
PRJNA504930		6	sub10	
PRJEB23315		6	sub10	
PRJNA184888		6	sub10	
