field	study_accession	n_records	completeness	n_blank	status	n_filled
collection_date	PRJEB39567	250	0.0	250	covered	250
collection_date	PRJEB50545	100	0.0	100	covered	0
collection_date	PRJNA267549	114	0.0	114	covered	114
collection_date	PRJNA646855	105	0.571	45	covered	45
collection_date	PRJEB12888	318	0.0	318	residual_per_sample	0
collection_date	PRJEB20809	111	0.0	111	residual_per_sample	0
collection_date	PRJEB21132	130	0.0	130	residual_per_sample	0
collection_date	PRJEB36370	103	0.0	103	residual_per_sample	0
collection_date	PRJEB54810	165	0.0	165	residual_per_sample	0
collection_date	PRJEB55414	114	0.342	75	residual_per_sample	0
collection_date	PRJEB8666	106	0.0	106	residual_per_sample	0
collection_date	PRJEB8667	184	0.0	184	residual_per_sample	0
country	PRJEB20809	111	0.0	111	covered	111
country	PRJEB36370	103	0.0	103	covered	103
country	PRJEB39567	250	0.0	250	covered	250
country	PRJEB50545	100	0.0	100	covered	0
country	PRJEB8667	184	0.0	184	covered	184
country	PRJEB12888	318	0.0	318	residual_per_sample	0
country	PRJEB54810	165	0.0	165	residual_per_sample	0
country	PRJEB8666	106	0.0	106	residual_per_sample	0
host	PRJEB12888	318	0.0	318	covered	318
host	PRJEB20809	111	0.0	111	covered	111
host	PRJEB30913	129	0.0	129	covered	129
host	PRJEB36370	103	0.0	103	covered	103
host	PRJEB39567	250	0.0	250	covered	250
host	PRJEB49326	127	0.0	127	covered	127
host	PRJEB49683	121	0.0	121	covered	121
host	PRJEB50545	100	0.0	100	covered	0
host	PRJEB55414	114	0.0	114	covered	114
host	PRJEB56918	465	0.0	465	covered	465
host	PRJEB8666	106	0.0	106	covered	106
host	PRJNA949653	135	0.0	135	covered	135
host	PRJEB21132	130	0.0	130	residual_per_sample	0
host	PRJEB40861	109	0.0	109	residual_per_sample	0
host	PRJEB54810	165	0.0	165	residual_per_sample	0
host	PRJEB63210	162	0.0	162	residual_per_sample	0
host	PRJEB8667	184	0.0	184	residual_per_sample	0
host	PRJNA411762	157	0.408	93	residual_per_sample	0
host	PRJNA611540	123	0.089	112	residual_per_sample	0
host	PRJNA646855	105	0.0	105	residual_per_sample	0
isolation_source	PRJEB8666	106	0.0	106	covered	106
isolation_source	PRJNA267549	114	0.0	114	covered	0
isolation_source	PRJNA675776	105	0.0	105	covered	0
isolation_source	PRJNA725484	131	0.252	98	covered	0
isolation_source	PRJDB11378	129	0.0	129	residual_per_sample	0
isolation_source	PRJDB6407	141	0.0	141	residual_per_sample	0
isolation_source	PRJEB12888	318	0.0	318	residual_per_sample	0
isolation_source	PRJEB20809	111	0.0	111	residual_per_sample	0
isolation_source	PRJEB21132	130	0.0	130	residual_per_sample	0
isolation_source	PRJEB36370	103	0.0	103	residual_per_sample	0
isolation_source	PRJEB39567	250	0.0	250	residual_per_sample	0
isolation_source	PRJEB40861	109	0.0	109	residual_per_sample	0
isolation_source	PRJEB50545	100	0.0	100	residual_per_sample	0
isolation_source	PRJEB54810	165	0.0	165	residual_per_sample	0
isolation_source	PRJEB55414	114	0.0	114	residual_per_sample	0
isolation_source	PRJEB63210	162	0.0	162	residual_per_sample	0
isolation_source	PRJEB8667	184	0.0	184	residual_per_sample	0
isolation_source	PRJNA1076808	104	0.0	104	residual_per_sample	0
isolation_source	PRJNA353728	464	0.05	441	residual_per_sample	0
isolation_source	PRJNA532924	106	0.0	106	residual_per_sample	0
isolation_source	PRJNA788733	1488	0.0	1488	residual_per_sample	0
isolation_source	PRJNA857533	113	0.0	113	residual_per_sample	0
