study_accession	sample_accession	field	ena_value	filled_value	source
PRJEB36370	SAMEA6497181	country		Denmark	whole_field
PRJEB36370	SAMEA6497186	country		Denmark	whole_field
PRJEB36370	SAMEA6497190	country		Denmark	whole_field
PRJEB36370	SAMEA6497196	country		Denmark	whole_field
PRJEB36370	SAMEA6497228	country		Denmark	whole_field
PRJEB36370	SAMEA6497200	country		Denmark	whole_field
PRJEB36370	SAMEA6497204	country		Denmark	whole_field
PRJEB36370	SAMEA6497207	country		Denmark	whole_field
PRJEB36370	SAMEA6497210	country		Denmark	whole_field
PRJEB36370	SAMEA6497211	country		Denmark	whole_field
PRJEB36370	SAMEA6497216	country		Denmark	whole_field
PRJEB36370	SAMEA6497217	country		Denmark	whole_field
PRJEB36370	SAMEA6497219	country		Denmark	whole_field
PRJEB36370	SAMEA6497220	country		Denmark	whole_field
PRJEB36370	SAMEA6497223	country		Denmark	whole_field
PRJEB36370	SAMEA6497232	country		Denmark	whole_field
PRJEB36370	SAMEA6497233	country		Denmark	whole_field
PRJEB36370	SAMEA6497234	country		Denmark	whole_field
PRJEB36370	SAMEA6497238	country		Denmark	whole_field
PRJEB36370	SAMEA6497272	country		Denmark	whole_field
PRJEB36370	SAMEA6497249	country		Denmark	whole_field
PRJEB36370	SAMEA6497247	country		Denmark	whole_field
PRJEB36370	SAMEA6497251	country		Denmark	whole_field
PRJEB36370	SAMEA6497271	country		Denmark	whole_field
PRJEB36370	SAMEA6497254	country		Denmark	whole_field
PRJEB36370	SAMEA6497260	country		Denmark	whole_field
PRJEB36370	SAMEA6497265	country		Denmark	whole_field
PRJEB36370	SAMEA6497278	country		Denmark	whole_field
PRJEB36370	SAMEA6497183	country		Denmark	whole_field
PRJEB36370	SAMEA6497185	country		Denmark	whole_field
PRJEB36370	SAMEA6497187	country		Denmark	whole_field
PRJEB36370	SAMEA6497191	country		Denmark	whole_field
PRJEB36370	SAMEA6497195	country		Denmark	whole_field
PRJEB36370	SAMEA6497237	country		Denmark	whole_field
PRJEB36370	SAMEA6497197	country		Denmark	whole_field
PRJEB36370	SAMEA6497198	country		Denmark	whole_field
PRJEB36370	SAMEA6497199	country		Denmark	whole_field
PRJEB36370	SAMEA6497202	country		Denmark	whole_field
PRJEB36370	SAMEA6497203	country		Denmark	whole_field
PRJEB36370	SAMEA6497206	country		Denmark	whole_field
PRJEB36370	SAMEA6497208	country		Denmark	whole_field
PRJEB36370	SAMEA6497212	country		Denmark	whole_field
PRJEB36370	SAMEA6497213	country		Denmark	whole_field
PRJEB36370	SAMEA6497215	country		Denmark	whole_field
PRJEB36370	SAMEA6497221	country		Denmark	whole_field
PRJEB36370	SAMEA6497224	country		Denmark	whole_field
PRJEB36370	SAMEA6497225	country		Denmark	whole_field
PRJEB36370	SAMEA6497227	country		Denmark	whole_field
PRJEB36370	SAMEA6497229	country		Denmark	whole_field
PRJEB36370	SAMEA6497230	country		Denmark	whole_field
PRJEB36370	SAMEA6497231	country		Denmark	whole_field
PRJEB36370	SAMEA6497179	country		Denmark	whole_field
PRJEB36370	SAMEA6497270	country		Denmark	whole_field
PRJEB36370	SAMEA6497263	country		Denmark	whole_field
PRJEB36370	SAMEA6497267	country		Denmark	whole_field
PRJEB36370	SAMEA6497252	country		Denmark	whole_field
PRJEB36370	SAMEA6497253	country		Denmark	whole_field
PRJEB36370	SAMEA6497255	country		Denmark	whole_field
PRJEB36370	SAMEA6497257	country		Denmark	whole_field
PRJEB36370	SAMEA6497258	country		Denmark	whole_field
PRJEB36370	SAMEA6497261	country		Denmark	whole_field
PRJEB36370	SAMEA6497262	country		Denmark	whole_field
PRJEB36370	SAMEA6497264	country		Denmark	whole_field
PRJEB36370	SAMEA6497266	country		Denmark	whole_field
PRJEB36370	SAMEA6497180	country		Denmark	whole_field
