study_accession	none_found	chosen_pmid	chosen_pmcid	chosen_doi	chosen_found_via	find_confidence	verified	sources_agreeing	coverage_estimate	coverage_fraction	shared_accession	umbrella	data_reuse_only	n_candidates	chosen_title
PRJNA788733	False	40111255	PMC11925198	10.1099/mgen.0.001361	europepmc_accession,published_version	low	True	2	1488.0	1.0	False	False	False	2	Plasmid conjugation drives within-patient plasmid diversity.
PRJEB56918	False	37717051	PMC10505216	10.1038/s41597-023-02502-7	europepmc_secondary,ncbi_bioproject	high	True	2	3087.0	6.6387	True	False	False	3	Whole genomes from bacteria collected at diagnostic units around the world 2020.
PRJNA353728	True					low		0			True	False	True	4	
PRJNA797179	False	36056896		10.1093/cid/ciac726	published_version,web_search	high		2	391.0	1.0	True	False	False	2	Clinical Implementation of Routine Whole-genome Sequencing for Hospital Infection Control of Multi-drug Resistant Pathogens.
PRJEB12888	True					high		0			False	False	False	2	
PRJEB39567	False	41290639	PMC12647771	10.1038/s41467-025-66088-x	europepmc_accession,europepmc_secondary	medium	True	2	256.0	1.024	False	False	False	1	High frequency body site translocation of nosocomial Pseudomonas aeruginosa.
PRJEB8667	True					low		0			False	False	False	13	
PRJEB54810	False	35963864	PMC9376106	10.1038/s41467-022-32504-9	europepmc_accession	high	True	1	165.0	1.0	False	False	False	2	Adaptation to novel spatially-structured environments is driven by the capsule and alters virulence-associated traits.
PRJEB63210	False	39805953	PMC11790497	10.1038/s41564-024-01891-8	europepmc_accession,europepmc_title,published_version	high	True	3	162.0	1.0	False	False	False	2	ESKAPE pathogens rapidly develop resistance against antibiotics in development in vitro.
PRJNA411762	False	30910889	PMC6535554	10.1128/aac.02513-18	europepmc_accession	medium	True	1	157.0	1.0	False	False	False	3	<i>Klebsiella quasipneumoniae</i> Provides a Window into Carbapenemase Gene Transfer, Plasmid Rearrangements, and Patient Interactions with the Hospital Environment.
PRJNA674961	False	35641522	PMC9156735	10.1038/s41467-022-30717-6	published_version,web_search	high	False	2	152.0	1.0	False	False	False	3	Genomic dissection of Klebsiella pneumoniae infections in hospital patients reveals insights into an opportunistic pathogen.
PRJDB6407	False	34319973	PMC8318238	10.1371/journal.pone.0231119	web_search	medium	False	1	141.0	1.0	False	False	False	2	Plasmid analysis of NDM metallo-β-lactamase-producing Enterobacterales isolated in Vietnam.
PRJNA949653	True					low		0			False	False	False	0	
PRJNA397262	False	29312831	PMC5756455	10.7717/peerj.4210	europepmc_accession	high	True	1	131.0	1.0	False	False	False	1	Translating genomics into practice for real-time surveillance and response to carbapenemase-producing Enterobacteriaceae: evidence from a complex multi-institutional KPC outbreak.
PRJNA725484	False	34819373	PMC8640832	10.1073/pnas.2110227118	europepmc_accession	high	True	1	117.0	0.8931	False	False	False	1	Anatomy of an extensively drug-resistant <i>Klebsiella pneumoniae</i> outbreak in Tuscany, Italy.
PRJEB21132	False				web_search	medium		1	130.0	1.0	False	False	False	6	Report on the 2nd proficiency test trial for the Global Microbial Identifier (GMI) Initiative, Year 2016
PRJDB11378	True					low		0			False	False	False	2	
PRJEB30913	False	31948471	PMC6966826	10.1186/s13073-019-0706-y	europepmc_accession	high	True	1	129.0	1.0	False	False	False	3	Genomic surveillance for hypervirulence and multi-drug resistance in invasive Klebsiella pneumoniae from South and Southeast Asia.
