study_accession	pmcid	table	method	n_samples	n_fills	confidence	note
PRJDB11378			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJDB6407	PMC8318238		abstained	0	0	none	no joinable table
PRJEB12888			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB20809	PMC13148723		abstained	0	0	none	no joinable table
PRJEB21132			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB30913	PMC6966826	13073_2019_706_MOESM1_ESM.xlsx	abstained	129	0	high	mapped 129 samples, 258 cell-fills; overwrite guard: 0/258 fills kept; kept ENA over table on country×129, collection_date×129
PRJEB36370			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB39567	PMC12647771		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['PRJEB39567.xlsx', 'PRJEB39567.csv']
PRJEB40861			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB49326			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB49683	PMC7994358		abstained	0	0	none	no joinable table
PRJEB50545	PMC12779062	pone.0337346.s002.xlsx	direct	48	144	medium	mapped 48 samples, 192 cell-fills; rescued ['country=vocab', 'host=vocab', 'isolation_source=vocab']; value-check rejected ['isolation_source']; overwrite guard: 144/192 fills kept; dropped 48 invalid ({'isolation_source': 48})
