study_accession	gap_samples	gap_fields	fulltext_source	paywalled	per_sample_fills	mech_reason	supp_present	has_per_sample_table	table_fields	accession_keyed	table_reference	action	evidence_quote	pmcid	doi	save_as
PRJNA788733	1488	isolation_source	europepmc_fulltext	False	0	no_supp	False	no		no		SKIP	The geographical distribution of the referring laboratory location is given in Fig. 2(b) and the sampling dates are shown in Fig. 2(d).	PMC11925198	10.1099/mgen.0.001361	PRJNA788733.xlsx
PRJEB12888	954	collection_date,country,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB12888.xlsx
PRJEB54810	660	collection_date,country,host,isolation_source	europepmc_fulltext	False	0	unanchored	False	no		no		SKIP	On day 102, a single randomly-chosen clone from each population was isolated for whole genome sequencing (N = 164).	PMC9376106	10.1038/s41467-022-32504-9	PRJEB54810.xlsx
PRJEB8667	552	collection_date,host,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB8667.xlsx
PRJNA353728	441	isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJNA353728.xlsx
PRJEB21132	390	collection_date,host,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB21132.xlsx
PRJEB63210	324	host,isolation_source	europepmc_fulltext	False	0	no_supp	False	no		no		SKIP	We selected 40 representative strains from 4 Gram-negative bacterial pathogens, including Escherichia coli, K. pneumoniae, A. baumannii and P. aeruginosa (Supplementary Table 4), and measured their in vitro susceptibilities to 22 clinically in-use antibiotics (control) and 13 antibiotics that are in development or were introduced post-2017 (recent; Supplementary Table 3).	PMC11790497	10.1038/s41564-024-01891-8	PRJEB63210.xlsx
PRJEB39567	250	isolation_source	europepmc_fulltext	False	0	unanchored	True	likely	isolation_source,collection_date	unclear	Supplementary Data 1; Supplementary Data 2; Supplementary Data 3 (listed as Dataset 1, Dataset 2, Dataset 3 in supplementary section)	SUPP_PRESENT	some patients were diagnosed using blood cultures and bronchoalveolar washings, 6/69 (Supplementary Data. 1; and Fig. 1A) and 22/55 patients of had a positive P. aeruginosa culture respectively (Supplementary Data. 2)	PMC12647771	10.1038/s41467-025-66088-x	PRJEB39567.xlsx
PRJEB20809	222	collection_date,isolation_source	europepmc_fulltext	False	0	no_supp	False	yes	isolation_source,host,collection_date	yes	Supplementary Table S1	OA_INVESTIGATE	Sequences new to this project can be found under projects PRJEB20809 and PRJEB14854 with accession numbers for each isolate detailed in Supplementary Table S1.	PMC13148723	10.1099/mgen.0.001654	PRJEB20809.xlsx
PRJEB40861	218	host,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB40861.xlsx
PRJEB8666	212	collection_date,country	europepmc_fulltext	False	0	unanchored	False	likely	collection_date,isolation_source	yes	online supplemental table 2 (bmjgh-2021-005659supp002.pdf)	OA_INVESTIGATE	Raw sequence data are available in the European Nucleotide Archive (Project number: ERP009684, ERP010763, ERP013866) (online supplemental table 2).	PMC8330565	10.1136/bmjgh-2021-005659	PRJEB8666.xlsx
PRJEB36370	206	collection_date,isolation_source	local_pdf	True	0	NO_PMCID	False	yes	collection_date	yes	Table 2 (main text) and Supplementary Table (Supp. Table)	FETCH_SUPP	The 103 isolates were subdivided into 90 K. pneumoniae, eight K. quasipneumoniae and five K. variicola isolates (Supp. Table).		10.1016/j.ijantimicag.2020.105931	PRJEB36370.xlsx
PRJEB55414	189	collection_date,isolation_source	europepmc_fulltext	False	0	unanchored	False	yes	isolation_source,collection_date	yes	Table S1 (https://doi.org/10.6084/m9.figshare.22794398.v2)	OA_INVESTIGATE	One isolate from a Spanish patient and two isolates from Dutch patients had unknown sources (see Table S1 at https://doi.org/10.6084/m9.figshare.22794398.v2 and Fig. S1 at https://doi.org/10.6084/m9.figshare.22794056.v3).	PMC10434048	10.1128/spectrum.04716-22	PRJEB55414.xlsx
