study_accession	field	fold	none_found	chosen_pmcid	fulltext_source	is_full_text	paper_resolved	paper_url	paper_title	manual_pdf_present	manual_pdf_readable	supp_present	gate_status	n_blank	per_sample_method	zero_reason	n_whole_field	n_per_sample	n_escalation	remaining_est	escalation_status	resolution_state	recoverability
PRJDB11378	country	tail100	True		none	False	False			False	False	False	not_gated	0	NO_PMCID		0	0	0	0	none	FILLED	not_gated
PRJDB11378	collection_date	tail100	True		none	False	False			False	False	False	not_gated	0	NO_PMCID		0	0	0	0	none	FILLED	not_gated
PRJDB11378	isolation_source	tail100	True		none	False	False			False	False	False	residual_per_sample	129	NO_PMCID	NO_PMCID	0	0	0	129	generated	EXHAUSTED	no_paper_findable
PRJDB11378	host	tail100	True		none	False	False			False	False	False	not_gated	0	NO_PMCID		0	0	0	0	none	FILLED	not_gated
PRJDB16680	country	tail100	True		none	False	False			False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJDB16680	collection_date	tail100	True		none	False	False			False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJDB16680	isolation_source	tail100	True		none	False	False			False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJDB16680	host	tail100	True		none	False	False			False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJDB6407	country	tail100	False	PMC8318238	europepmc_fulltext	True	True	https://doi.org/10.1371/journal.pone.0231119	Plasmid analysis of NDM metallo-β-lactamase-producing Entero	False	False	True	not_gated	0	abstained		0	0	0	0	none	FILLED	not_gated
PRJDB6407	collection_date	tail100	False	PMC8318238	europepmc_fulltext	True	True	https://doi.org/10.1371/journal.pone.0231119	Plasmid analysis of NDM metallo-β-lactamase-producing Entero	False	False	True	not_gated	0	abstained		0	0	0	0	none	FILLED	not_gated
PRJDB6407	isolation_source	tail100	False	PMC8318238	europepmc_fulltext	True	True	https://doi.org/10.1371/journal.pone.0231119	Plasmid analysis of NDM metallo-β-lactamase-producing Entero	False	False	True	residual_per_sample	141	abstained	no_supp	0	0	0	141	generated	EXHAUSTED	no_supp
PRJDB6407	host	tail100	False	PMC8318238	europepmc_fulltext	True	True	https://doi.org/10.1371/journal.pone.0231119	Plasmid analysis of NDM metallo-β-lactamase-producing Entero	False	False	True	not_gated	0	abstained		0	0	0	0	none	FILLED	not_gated
PRJEB12888	country	tail100	True		none	False	False			False	False	False	residual_per_sample	318	NO_PMCID	NO_PMCID	0	0	0	318	generated	EXHAUSTED	no_paper_findable
PRJEB12888	collection_date	tail100	True		none	False	False			False	False	False	residual_per_sample	318	NO_PMCID	NO_PMCID	0	0	0	318	generated	EXHAUSTED	no_paper_findable
PRJEB12888	isolation_source	tail100	True		none	False	False			False	False	False	residual_per_sample	318	NO_PMCID	NO_PMCID	0	0	0	318	generated	EXHAUSTED	no_paper_findable
PRJEB12888	host	tail100	True		none	False	False			False	False	False	covered	318	NO_PMCID		318	0	0	318	none	FILLED	whole_field
PRJEB18621	country	tail100	False	PMC5930415	europepmc_fulltext	True	True	https://doi.org/10.1186/s13756-018-0352-y	Genome-based analysis of Carbapenemase-producing <i>Klebsiel	False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJEB18621	collection_date	tail100	False	PMC5930415	europepmc_fulltext	True	True	https://doi.org/10.1186/s13756-018-0352-y	Genome-based analysis of Carbapenemase-producing <i>Klebsiel	False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJEB18621	isolation_source	tail100	False	PMC5930415	europepmc_fulltext	True	True	https://doi.org/10.1186/s13756-018-0352-y	Genome-based analysis of Carbapenemase-producing <i>Klebsiel	False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJEB18621	host	tail100	False	PMC5930415	europepmc_fulltext	True	True	https://doi.org/10.1186/s13756-018-0352-y	Genome-based analysis of Carbapenemase-producing <i>Klebsiel	False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJEB18814	country	tail100	False	PMC6938978	europepmc_fulltext	True	True	https://doi.org/10.1093/cid/ciz174	A One Health Study of the Genetic Relatedness of Klebsiella 	False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJEB18814	collection_date	tail100	False	PMC6938978	europepmc_fulltext	True	True	https://doi.org/10.1093/cid/ciz174	A One Health Study of the Genetic Relatedness of Klebsiella 	False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJEB18814	isolation_source	tail100	False	PMC6938978	europepmc_fulltext	True	True	https://doi.org/10.1093/cid/ciz174	A One Health Study of the Genetic Relatedness of Klebsiella 	False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJEB18814	host	tail100	False	PMC6938978	europepmc_fulltext	True	True	https://doi.org/10.1093/cid/ciz174	A One Health Study of the Genetic Relatedness of Klebsiella 	False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJEB20234	country	tail100	False		local_pdf	True	True	https://doi.org/10.1016/j.ajic.2017.07.022	Stalking a lethal superbug by whole-genome sequencing and ph	True	True	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJEB20234	collection_date	tail100	False		local_pdf	True	True	https://doi.org/10.1016/j.ajic.2017.07.022	Stalking a lethal superbug by whole-genome sequencing and ph	True	True	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
