study_accession	paper_short_title	n_isolates	fold	seed	ena_total_samples	ena_total_runs	ena_taxon_samples	n_child_studies	umbrella_suspected	by_scientific_name	fetch_status
PRJNA788733		1488	tail100		1488		1488				proxy_rowcount
PRJEB56918		465	tail100		465		465				proxy_rowcount
PRJNA353728		464	tail100		464		464				proxy_rowcount
PRJNA797179		391	tail100		391		391				proxy_rowcount
PRJEB12888		318	tail100		318		318				proxy_rowcount
PRJEB39567		250	tail100		250		250				proxy_rowcount
PRJEB8667		184	tail100		184		184				proxy_rowcount
PRJEB54810		165	tail100		165		165				proxy_rowcount
PRJEB63210		162	tail100		162		162				proxy_rowcount
PRJNA411762		157	tail100		157		157				proxy_rowcount
PRJNA674961		152	tail100		152		152				proxy_rowcount
PRJDB6407		141	tail100		141		141				proxy_rowcount
PRJNA949653		135	tail100		135		135				proxy_rowcount
PRJNA725484		131	tail100		131		131				proxy_rowcount
PRJNA397262		131	tail100		131		131				proxy_rowcount
PRJEB21132		130	tail100		130		130				proxy_rowcount
PRJDB11378		129	tail100		129		129				proxy_rowcount
PRJEB30913		129	tail100		129		129				proxy_rowcount
PRJNA503964		128	tail100		128		128				proxy_rowcount
PRJEB49326		127	tail100		127		127				proxy_rowcount
PRJEB18814		124	tail100		124		124				proxy_rowcount
PRJNA611540		123	tail100		123		123				proxy_rowcount
PRJNA674942		122	tail100		122		122				proxy_rowcount
PRJEB49683		121	tail100		121		121				proxy_rowcount
PRJEB20234		116	tail100		116		116				proxy_rowcount
PRJNA267549		114	tail100		114		114				proxy_rowcount
PRJNA686978		114	tail100		114		114				proxy_rowcount
PRJEB55414		114	tail100		114		114				proxy_rowcount
PRJNA857533		113	tail100		113		113				proxy_rowcount
PRJNA473122		112	tail100		112		112				proxy_rowcount
PRJEB20809		111	tail100		111		111				proxy_rowcount
PRJEB40861		109	tail100		109		109				proxy_rowcount
PRJEB18621		107	tail100		107		107				proxy_rowcount
PRJNA532924		106	tail100		106		106				proxy_rowcount
PRJEB8666		106	tail100		106		106				proxy_rowcount
PRJNA814829		105	tail100		105		105				proxy_rowcount
PRJNA646855		105	tail100		105		105				proxy_rowcount
PRJNA675776		105	tail100		105		105				proxy_rowcount
PRJNA606666		104	tail100		104		104				proxy_rowcount
PRJNA1076808		104	tail100		104		104				proxy_rowcount
PRJEB36370		103	tail100		103		103				proxy_rowcount
PRJNA878595		103	tail100		103		103				proxy_rowcount
PRJNA656934		103	tail100		103		103				proxy_rowcount
PRJNA1052100		102	tail100		102		102				proxy_rowcount
PRJNA269675		102	tail100		102		102				proxy_rowcount
PRJDB16680		101	tail100		101		101				proxy_rowcount
PRJNA553678		101	tail100		101		101				proxy_rowcount
PRJNA717739		100	tail100		100		100				proxy_rowcount
PRJEB50545		100	tail100		100		100				proxy_rowcount
PRJNA508760		100	tail100		100		100				proxy_rowcount
