study_accession	paper_short_title	n_isolates	fold	seed
PRJNA788733		1488	tail100	
PRJEB56918		465	tail100	
PRJNA353728		464	tail100	
PRJNA797179		391	tail100	
PRJEB12888		318	tail100	
PRJEB39567		250	tail100	
PRJEB8667		184	tail100	
PRJEB54810		165	tail100	
PRJEB63210		162	tail100	
PRJNA411762		157	tail100	
PRJNA674961		152	tail100	
PRJDB6407		141	tail100	
PRJNA949653		135	tail100	
PRJNA725484		131	tail100	
PRJNA397262		131	tail100	
PRJEB21132		130	tail100	
PRJDB11378		129	tail100	
PRJEB30913		129	tail100	
PRJNA503964		128	tail100	
PRJEB49326		127	tail100	
PRJEB18814		124	tail100	
PRJNA611540		123	tail100	
PRJNA674942		122	tail100	
PRJEB49683		121	tail100	
PRJEB20234		116	tail100	
PRJNA267549		114	tail100	
PRJNA686978		114	tail100	
PRJEB55414		114	tail100	
PRJNA857533		113	tail100	
PRJNA473122		112	tail100	
PRJEB20809		111	tail100	
PRJEB40861		109	tail100	
PRJEB18621		107	tail100	
PRJNA532924		106	tail100	
PRJEB8666		106	tail100	
PRJNA814829		105	tail100	
PRJNA646855		105	tail100	
PRJNA675776		105	tail100	
PRJNA606666		104	tail100	
PRJNA1076808		104	tail100	
PRJEB36370		103	tail100	
PRJNA878595		103	tail100	
PRJNA656934		103	tail100	
PRJNA1052100		102	tail100	
PRJNA269675		102	tail100	
PRJDB16680		101	tail100	
PRJNA553678		101	tail100	
PRJNA717739		100	tail100	
PRJEB50545		100	tail100	
PRJNA508760		100	tail100	
