field	study_accession	n_records	completeness	n_blank	status	n_filled
collection_date	PRJEB18733	16	0.0	16	covered	16
collection_date	PRJEB20357	23	0.0	23	covered	23
collection_date	PRJEB30858	21	0.0	21	covered	0
collection_date	PRJEB35018	15	0.0	15	covered	15
collection_date	PRJEB3980	18	0.0	18	covered	18
collection_date	PRJEB52158	16	0.0	16	covered	16
collection_date	PRJNA1101444	15	0.0	15	covered	15
collection_date	PRJNA1136496	18	0.0	18	covered	18
collection_date	PRJNA287968	22	0.455	12	covered	12
collection_date	PRJNA316969	12	0.167	10	covered	10
collection_date	PRJNA326665	13	0.0	13	covered	13
collection_date	PRJNA391054	17	0.0	17	covered	17
collection_date	PRJNA430457	19	0.579	8	covered	0
collection_date	PRJNA606074	10	0.0	10	covered	0
collection_date	PRJNA777533	16	0.375	10	covered	10
collection_date	PRJNA908117	20	0.0	20	covered	0
collection_date	PRJNA919159	21	0.0	21	covered	21
collection_date	PRJEB15325	24	0.125	21	residual_per_sample	0
collection_date	PRJEB1730	19	0.0	19	residual_per_sample	0
collection_date	PRJEB17888	24	0.0	24	residual_per_sample	0
collection_date	PRJEB22139	12	0.0	12	residual_per_sample	0
collection_date	PRJEB23845	15	0.0	15	residual_per_sample	0
collection_date	PRJEB2399	12	0.0	12	residual_per_sample	0
collection_date	PRJEB24612	21	0.0	21	residual_per_sample	0
collection_date	PRJEB24641	10	0.0	10	residual_per_sample	0
collection_date	PRJEB25682	18	0.0	18	residual_per_sample	0
collection_date	PRJEB29106	13	0.0	13	residual_per_sample	0
collection_date	PRJEB31347	13	0.0	13	residual_per_sample	0
collection_date	PRJEB3226	13	0.0	13	residual_per_sample	0
collection_date	PRJEB38650	23	0.0	23	residual_per_sample	0
collection_date	PRJEB42167	23	0.0	23	residual_per_sample	0
collection_date	PRJEB45397	15	0.0	15	residual_per_sample	0
collection_date	PRJEB70897	24	0.0	24	residual_per_sample	0
collection_date	PRJEB7657	13	0.077	12	residual_per_sample	0
collection_date	PRJNA1016138	19	0.0	19	residual_per_sample	0
collection_date	PRJNA1136145	21	0.0	21	residual_per_sample	0
collection_date	PRJNA292901	10	0.0	10	residual_per_sample	0
collection_date	PRJNA356346	22	0.0	22	residual_per_sample	0
collection_date	PRJNA375798	13	0.0	13	residual_per_sample	0
collection_date	PRJNA437215	12	0.0	12	residual_per_sample	0
collection_date	PRJNA508510	22	0.0	22	residual_per_sample	0
collection_date	PRJNA523429	14	0.0	14	residual_per_sample	0
collection_date	PRJNA523433	12	0.0	12	residual_per_sample	0
collection_date	PRJNA608440	10	0.0	10	residual_per_sample	0
collection_date	PRJNA635420	17	0.0	17	residual_per_sample	0
collection_date	PRJNA647793	11	0.0	11	residual_per_sample	0
collection_date	PRJNA670748	13	0.0	13	residual_per_sample	0
collection_date	PRJNA749142	14	0.714	4	residual_per_sample	0
collection_date	PRJNA751707	17	0.0	17	residual_per_sample	0
collection_date	PRJNA786742	21	0.0	21	residual_per_sample	0
collection_date	PRJNA801425	19	0.0	19	residual_per_sample	0
collection_date	PRJNA835887	12	0.0	12	residual_per_sample	0
collection_date	PRJNA869900	15	0.0	15	residual_per_sample	0
collection_date	PRJNA897716	12	0.667	4	residual_per_sample	0
collection_date	PRJNA984017	15	0.0	15	residual_per_sample	0
collection_date	PRJNA984710	11	0.0	11	residual_per_sample	0
