study_accession	none_found	chosen_pmid	chosen_pmcid	chosen_doi	chosen_found_via	find_confidence	verified	sources_agreeing	coverage_estimate	coverage_fraction	shared_accession	umbrella	data_reuse_only	n_candidates	chosen_title
PRJNA307517	False	29431605	PMC5885010	10.1099/mgen.0.000158	europepmc_accession,ncbi_bioproject,published_version	high	True	3	24.0	1.0	False	False	False	5	Multifactorial chromosomal variants regulate polymyxin resistance in extensively drug-resistant Klebsiella pneumoniae.
PRJEB45776	False	35336140	PMC8956024	10.3390/microorganisms10030564	europepmc_accession	high	True	1	24.0	1.0	False	False	False	1	WGS-Based Phenotyping and Molecular Characterization of the Resistome, Virulome and Plasmid Replicons in <i>Klebsiella pneumoniae</i> Isolates from Powdered Milk Produced in Germany.
PRJEB15325	False	28181409		10.1111/1462-2920.13689	ncbi_bioproject	medium		1	24.0	1.0	False	False	False	3	Metabolic diversity of the emerging pathogenic lineages of Klebsiella pneumoniae.
PRJEB70897	False	38371930	PMC10869444	10.3389/fmicb.2024.1334268	europepmc_accession,europepmc_title	high	True	2	24.0	1.0	False	False	False	2	Rapid typing of <i>Klebsiella pneumoniae</i> and <i>Pseudomonas aeruginosa</i> by Fourier-transform Infrared spectroscopy informs infection control in veterinary settings.
PRJEB17888	False	33137188		10.1093/nar/gkaa907	web_search	medium	False	1	24.0	1.0	False	False	False	6	Prevalence of phase variable epigenetic invertons among host-associated bacteria
PRJNA951629	False	41249930	PMC12625365	10.1186/s12866-025-04494-3	europepmc_accession	high	True	1	24.0	1.0	False	False	False	2	Multidrug resistant hypervirulent ST307 clone from genomic surveillance of extended spectrum beta-lactamase-producing Klebsiella pneumoniae species complex in East Africa.
PRJEB37551	False	37125167	PMC10140293	10.3389/fmicb.2023.1158056	europepmc_accession,published_version	high	True	2	24.0	1.0	False	False	False	1	Detection of maternal transmission of resistant Gram-negative bacteria in a Cambodian hospital setting.
PRJNA388450	False	28472260	PMC5850535	10.1093/cid/cix417	europepmc_accession,ncbi_bioproject	high		2	90.0	3.75	False	False	False	3	Whole-Genome Sequencing Accurately Identifies Resistance to Extended-Spectrum β-Lactams for Major Gram-Negative Bacterial Pathogens.
PRJNA353334	False	28961793	PMC5890743	10.1093/jac/dkx264	europepmc_accession	high	True	1	23.0	1.0	False	False	False	1	Covert dissemination of carbapenemase-producing Klebsiella pneumoniae (KPC) in a successfully controlled outbreak: long- and short-read whole-genome sequencing demonstrate multiple genetic modes of transmission.
PRJDB6244	False	29483120	PMC5923170	10.1128/aac.02501-17	ncbi_bioproject	high		1	45.0	1.9565	True	False	False	2	Characteristics of Carbapenemase-Producing Enterobacteriaceae in Wastewater Revealed by Genomic Analysis.
PRJEB20357	False	35265995	PMC9155631	10.1093/jac/dkac071	published_version,web_search	medium	False	2	23.0	1.0	False	False	False	2	Bacterial genotypic and patient risk factors for adverse outcomes in Escherichia coli bloodstream infections: a prospective molecular epidemiological study.
PRJEB50554	False	40511474	PMC12164281	10.2807/1560-7917.es.2025.30.23.2400590	europepmc_accession	medium	True	1	23.0	1.0	False	False	False	1	Beyond patient contact: combined short- and long read sequencing reveals continuous occurrence of genomically related carbapenemase-producing Enterobacterales and plasmid mobility in a hospital, Germany, 2018 to 2021.
PRJNA512395	False	32102855	PMC7180233	10.1128/jcm.01980-19	europepmc_accession	high	True	1	23.0	1.0	False	False	False	1	Genomic Investigation Reveals Contaminated Detergent as the Source of an Extended-Spectrum-β-Lactamase-Producing Klebsiella michiganensis Outbreak in a Neonatal Unit.
PRJEB38650	True					low		0			False	False	True	1	
PRJNA923792	False	40375127	PMC12079993	10.1186/s12866-025-04002-7	europepmc_accession	high	True	1	14.0	0.6087	False	False	False	1	Nodules-associated Klebsiella oxytoca complex: genomic insights into plant growth promotion and health risk assessment.
PRJEB46126	False	35295671	PMC8918851	10.1016/j.infpip.2022.100209	europepmc_accession	medium	True	1	23.0	1.0	False	False	False	1	Role of the environment in transmission of Gram-negative bacteria in two consecutive outbreaks in a haematology-oncology department.
PRJEB42167	False			10.1016/j.chom.2021.09.003	web_search	high		1	23.0	1.0	False	False	False	2	Klebsiella oxytoca causes colonization resistance against multidrug-resistant K. pneumoniae in the gut via cooperative carbohydrate competition
