study_accession	study_type	study_type_excluded	paper_records_in_taxon	paper_coverage_for_taxon	needs_manual_download	fulltext_source	is_full_text	grade_context_chars	full_text_would_help	model	study_setting__value	study_setting__grade	amr_study__value	amr_study__grade	amr_target__value	amr_target__grade	amr_method__value	amr_method__grade	cohort_age__value	cohort_age__grade	backfill_country__value	backfill_country__whole_project	backfill_isolation_source__value	backfill_isolation_source__whole_project	backfill_host__value	backfill_host__whole_project	backfill_collection_date__value	backfill_collection_date__whole_project
PRJNA307517	observational	False	24	1.0	False	europepmc_fulltext	True	34504	False	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	Greece	False		False	human	True		False
PRJEB45776	observational	False	24	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Germany	True	powdered milk	True	powdered milk	True		False
PRJEB15325	observational	False	24	1.0	False	local_pdf	True	79994	False	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB70897	observational	False	24	1.0	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	United Kingdom	True		False		False		False
PRJEB17888	other	False	0	0.0	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA951629	observational	False	24	1.0	False	europepmc_fulltext	True	47031	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable		False	rectal swab	False	human	False	2020-01-15	True
PRJEB37551	observational	False	24	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Cambodia	True	stool	False	human	True	2016-09-16	True
PRJNA388450	observational	False			True	abstract	False	1874	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False	blood	True	human	True		False
PRJNA353334	observational	False	21	0.913	False	europepmc_fulltext	True	33793	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	adult	gradeable	United Kingdom	True	rectal swab	False	human	True	2013-07-02	True
PRJDB6244	observational	False	22	0.9565	True	abstract	False	2304	False	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable		False	wastewater	True	wastewater	True		False
PRJEB20357	observational	False	0	0.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True		False	human	True	2016-01-01	True
PRJEB50554	observational	False			False	europepmc_fulltext	True	36766	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	adult	gradeable	Germany	True		False	human	True	2021-07-02	True
PRJNA512395	observational	False	21	0.913	False	pdf	True	10000	False	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Australia	True		False		False	2018-02-24	True
PRJEB38650	observational	False			True	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Singapore	True	liver abscess aspirate	True	human	True		False
PRJNA923792	observational	False	14	0.6087	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Egypt	True	root nodule	True	Vicia faba	True		False
PRJEB46126	observational	False			False	europepmc_fulltext	True	27573	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable		not_gradeable	ast_result	gradeable		not_gradeable	Netherlands	True		False		False	2020-01-01	True
PRJEB42167	observational	False	23	1.0	False	local_pdf	True	106504	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	Germany	True	feces	True	Homo sapiens	True		False
PRJNA986550	experimental_evolution	True	23	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA287968	observational	False	22	1.0	False	local_pdf	True	50000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	mixed	gradeable	South Africa	True	clinical specimen	False	human	True	2012-12-31	True
PRJNA648857	observational	False	22	1.0	False	pdf	True	50000	False	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Italy	True	blood culture	False	human	True		False
PRJEB38818	observational	False	21	0.9545	False	europepmc_fulltext	True	28323	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	United Kingdom	True	rectal swab	False	human	True		False
PRJNA640134	observational	False			False	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA1132711	observational	False	30	1.3636	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	Bulgaria	True	urine	False	human	True		False
PRJNA356346	observational	False			False	none	False	0	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA922195	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable	amr	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA375812	observational	False	22	1.0	True	abstract	False	1508	False	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	other	gradeable	ast_result	gradeable		not_gradeable		False		False	human	True		False
PRJNA795199	observational	False			False	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	False		False
PRJNA508510	other	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA429779	observational	False			True	none	False	0	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	Russia	True		False		False		False
PRJNA725227	observational	False	40	1.9048	False	pdf	True	37349	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Canada	True	rectal swab	False	human	True		False
PRJNA823356	observational	False			True	none	False	0	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Brazil	True		False		False		False
PRJNA1136145	observational	False	21	1.0	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True	urine	False	human	True		False
PRJNA919159	observational	False	21	1.0	False	local_pdf	True	50000	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	China	True	bovine milk	False	cattle	True	2019-07-02	True
PRJNA813961	observational	False	21	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	South Korea	True		False	human	True	2020-09-15	True
PRJNA887042	observational	False	21	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable	adult	gradeable	Italy	True		False	human	True	2022-01-14	True
PRJNA341404	observational	False	21	1.0	False	europepmc_fulltext	True	39858	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	USA	True		False	human	True	2014-09-14	True
PRJNA701285	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA528347	observational	False	21	1.0	False	europepmc_fulltext	True	37072	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	partial	mixed	gradeable	Australia	True		False	human	True		False
PRJNA757582	observational	False	5	0.2381	False	europepmc_fulltext	True	28274	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	mixed	partial	India	True		False	human	True	2019-07-31	True
PRJNA739639	observational	False			False	none	False	0	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False		False		False
PRJEB24612	experimental_evolution	True			False	none	False	0	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB30858	observational	False	21	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	United Kingdom	True	rectal swab	False	human	True		False
PRJNA1023834	observational	False			True	pdf	True	1744	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable		not_gradeable		not_gradeable		not_gradeable	Portugal	True		False	human	True		False
PRJNA786742	observational	False	21	1.0	False	pdf	True	50000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	USA	True		False	human	True		False
PRJNA908117	observational	False	20	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	USA	True	blood	True	human	True		False
PRJEB60418	observational	False	20	1.0	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Portugal	True	poultry feces	False	chicken	False	2020-05-01	True
PRJEB44870	observational	False	18	0.9	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable		False	blood	True	human	True		False
PRJEB34549	observational	False	19	0.95	False	europepmc_fulltext	True	46134	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	United Kingdom	True	urine	True	human	True		False
PRJNA596368	experimental_evolution	True	20	1.0	False	europepmc_fulltext	True	8667	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Netherlands	True		False		False		False
PRJEB34353	observational	False	22	1.1	False	europepmc_fulltext	True	44451	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Germany	True	rectal swab	False	human	False		False
PRJNA528846	observational	False	20	1.0	False	europepmc_fulltext	True	37931	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Taiwan	True	blood	True	human	True		False
PRJNA915250	observational	False	20	1.0526	False	europepmc_fulltext	True	26404	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	Kenya	True		False	human	True		False
PRJNA1016138	experimental_evolution	True	19	1.0	False	europepmc_fulltext	True	31427	False	claude-sonnet-4-6	community	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Belgium	False	Galleria mellonella hemolymph	True	Galleria mellonella	True		False
PRJNA1104021	observational	False	30	1.5789	False	pdf	True	50000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Spain	True		False	human	True		False
PRJNA801425	observational	False	534	28.1053	False	europepmc_fulltext	True	31839	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Singapore	True		False	human	True		False
PRJNA430457	observational	False	17	0.8947	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Australia	True		False	human	True		False
PRJNA994967	observational	False	49	2.5789	False	europepmc_fulltext	True	43889	False	claude-sonnet-4-6	mixed	partial	amr	gradeable	other	gradeable	ast_result	partial		not_gradeable	USA	False		False	human	True		False
PRJEB1730	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA672836	observational	False	19	1.0	False	europepmc_fulltext	True	43423	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Algeria	True		False	human	True	2012-01-01	True
PRJNA956822	observational	False	18	0.9474	False	europepmc_fulltext	True	26327	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable	adult	gradeable	China	True	sputum	False	human	True	2022-02-14	True
PRJNA1099381	observational	False			True	none	False	0	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False		False		False		False
