study_accession	paper_short_title	n_isolates	fold	seed	ena_total_samples	ena_total_runs	ena_taxon_samples	n_child_studies	umbrella_suspected	by_scientific_name	fetch_status
PRJNA307517		24	tail10_24		24		24				proxy_rowcount
PRJNA388450		24	tail10_24		24		24				proxy_rowcount
PRJEB45776		24	tail10_24		24		24				proxy_rowcount
PRJEB15325		24	tail10_24		24		24				proxy_rowcount
PRJEB70897		24	tail10_24		24		24				proxy_rowcount
PRJEB17888		24	tail10_24		24		24				proxy_rowcount
PRJNA951629		24	tail10_24		24		24				proxy_rowcount
PRJEB37551		24	tail10_24		24		24				proxy_rowcount
PRJNA986550		23	tail10_24		23		23				proxy_rowcount
PRJEB42167		23	tail10_24		23		23				proxy_rowcount
PRJEB46126		23	tail10_24		23		23				proxy_rowcount
PRJEB38650		23	tail10_24		23		23				proxy_rowcount
PRJNA923792		23	tail10_24		23		23				proxy_rowcount
PRJNA353334		23	tail10_24		23		23				proxy_rowcount
PRJNA512395		23	tail10_24		23		23				proxy_rowcount
PRJEB50554		23	tail10_24		23		23				proxy_rowcount
PRJEB20357		23	tail10_24		23		23				proxy_rowcount
PRJDB6244		23	tail10_24		23		23				proxy_rowcount
PRJNA508510		22	tail10_24		22		22				proxy_rowcount
PRJNA795199		22	tail10_24		22		22				proxy_rowcount
PRJNA375812		22	tail10_24		22		22				proxy_rowcount
PRJNA429779		22	tail10_24		22		22				proxy_rowcount
PRJNA922195		22	tail10_24		22		22				proxy_rowcount
PRJNA287968		22	tail10_24		22		22				proxy_rowcount
PRJNA1132711		22	tail10_24		22		22				proxy_rowcount
PRJNA640134		22	tail10_24		22		22				proxy_rowcount
PRJEB38818		22	tail10_24		22		22				proxy_rowcount
PRJNA648857		22	tail10_24		22		22				proxy_rowcount
PRJNA356346		22	tail10_24		22		22				proxy_rowcount
PRJNA1023834		21	tail10_24		21		21				proxy_rowcount
PRJEB30858		21	tail10_24		21		21				proxy_rowcount
PRJEB24612		21	tail10_24		21		21				proxy_rowcount
PRJNA739639		21	tail10_24		21		21				proxy_rowcount
PRJNA757582		21	tail10_24		21		21				proxy_rowcount
PRJNA786742		21	tail10_24		21		21				proxy_rowcount
PRJNA528347		21	tail10_24		21		21				proxy_rowcount
PRJNA725227		21	tail10_24		21		21				proxy_rowcount
PRJNA341404		21	tail10_24		21		21				proxy_rowcount
PRJNA887042		21	tail10_24		21		21				proxy_rowcount
PRJNA813961		21	tail10_24		21		21				proxy_rowcount
PRJNA701285		21	tail10_24		21		21				proxy_rowcount
PRJNA919159		21	tail10_24		21		21				proxy_rowcount
PRJNA1136145		21	tail10_24		21		21				proxy_rowcount
PRJNA823356		21	tail10_24		21		21				proxy_rowcount
PRJNA528846		20	tail10_24		20		20				proxy_rowcount
PRJEB34353		20	tail10_24		20		20				proxy_rowcount
PRJEB34549		20	tail10_24		20		20				proxy_rowcount
PRJNA596368		20	tail10_24		20		20				proxy_rowcount
PRJNA908117		20	tail10_24		20		20				proxy_rowcount
PRJEB44870		20	tail10_24		20		20				proxy_rowcount
PRJEB60418		20	tail10_24		20		20				proxy_rowcount
PRJNA430813		19	tail10_24		19		19				proxy_rowcount
PRJNA1099381		19	tail10_24		19		19				proxy_rowcount
PRJNA956822		19	tail10_24		19		19				proxy_rowcount
PRJNA672836		19	tail10_24		19		19				proxy_rowcount
PRJNA994967		19	tail10_24		19		19				proxy_rowcount
PRJEB1730		19	tail10_24		19		19				proxy_rowcount
PRJNA915250		19	tail10_24		19		19				proxy_rowcount
PRJNA430457		19	tail10_24		19		19				proxy_rowcount
PRJNA801425		19	tail10_24		19		19				proxy_rowcount
PRJNA1104021		19	tail10_24		19		19				proxy_rowcount
PRJNA1016138		19	tail10_24		19		19				proxy_rowcount
PRJNA530687		18	tail10_24		18		18				proxy_rowcount
PRJEB25682		18	tail10_24		18		18				proxy_rowcount
PRJEB71325		18	tail10_24		18		18				proxy_rowcount
PRJEB48744		18	tail10_24		18		18				proxy_rowcount
PRJNA557813		18	tail10_24		18		18				proxy_rowcount
PRJEB10820		18	tail10_24		18		18				proxy_rowcount
PRJNA1136496		18	tail10_24		18		18				proxy_rowcount
PRJNA351911		18	tail10_24		18		18				proxy_rowcount
PRJNA606985		18	tail10_24		18		18				proxy_rowcount
PRJNA590288		18	tail10_24		18		18				proxy_rowcount
PRJEB67696		18	tail10_24		18		18				proxy_rowcount
PRJEB3980		18	tail10_24		18		18				proxy_rowcount
PRJNA529495		18	tail10_24		18		18				proxy_rowcount
PRJEB12817		18	tail10_24		18		18				proxy_rowcount
PRJNA701733		17	tail10_24		17		17				proxy_rowcount
PRJNA391054		17	tail10_24		17		17				proxy_rowcount
PRJEB41835		17	tail10_24		17		17				proxy_rowcount
PRJNA635420		17	tail10_24		17		17				proxy_rowcount
PRJNA524761		17	tail10_24		17		17				proxy_rowcount
PRJNA296699		17	tail10_24		17		17				proxy_rowcount
PRJNA917066		17	tail10_24		17		17				proxy_rowcount
PRJNA827103		17	tail10_24		17		17				proxy_rowcount
PRJEB67440		17	tail10_24		17		17				proxy_rowcount
PRJNA751707		17	tail10_24		17		17				proxy_rowcount
