study_accession	pmcid	table	method	n_samples	n_fills	confidence	note
PRJDB11603	PMC10327500	mgen-9-1043-s002.xlsx	direct	11	11	medium	mapped 11 samples, 11 cell-fills; rescued ['isolation_source=vocab']; value-check rejected ['isolation_source']
PRJDB14712	PMC10715227		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['spectrum.02188-23-s0001.pdf']
PRJDB17160			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJDB5126	PMC6395922		abstained	0	0	none	no joinable table
PRJDB5317			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJDB6565			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJDB8975	PMC9431462		abstained	0	0	none	no joinable table
PRJDB9036			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB14100	PMC10234813		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['41564_2023_1385_MOESM6_ESM.xlsx', '41564_2023_1385_MOESM11_ESM.xlsx', '41564_2023_1385_MOESM3_ESM.xlsx', '41564_2023_1385_MOESM3_ESM.xlsx', '41564_2023_1385_MOESM3_ESM.xlsx', '41564_2023_1385_MOESM5_ESM.xlsx', '41564_2023_1385_MOESM5_ESM.xlsx', '41564_2023_1385_MOESM5_ESM.xlsx', '41564_2023_1385_MOESM5_ESM.xlsx', '41564_2023_1385_MOESM8_ESM.xlsx', '41564_2023_1385_MOESM8_ESM.xlsx', '41564_2023_1385_MOESM8_ESM.xlsx', '41564_2023_1385_MOESM8_ESM.xlsx', '41564_2023_1385_MOESM8_ESM.xlsx', '41564_2023_1385_MOESM8_ESM.xlsx', '41564_2023_1385_MOESM7_ESM.xlsx', '41564_2023_1385_MOESM7_ESM.xlsx', '41564_2023_1385_MOESM4_ESM.xlsx', '41564_2023_1385_MOESM4_ESM.xlsx', '41564_2023_1385_MOESM9_ESM.xlsx', '41564_2023_1385_MOESM9_ESM.xlsx', '41564_2023_1385_MOESM10_ESM.xlsx']
PRJEB14854	PMC13148723		abstained	0	0	none	no joinable table
PRJEB19808			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
