study_accession	field	fold	none_found	chosen_pmcid	fulltext_source	is_full_text	paper_resolved	paper_url	paper_title	manual_pdf_present	manual_pdf_readable	supp_present	gate_status	n_blank	per_sample_method	zero_reason	n_whole_field	n_per_sample	n_escalation	remaining_est	escalation_status	resolution_state	recoverability
PRJDB11603	country	tail25_49	False	PMC10327500	europepmc_fulltext	True	True	https://doi.org/10.1099/mgen.0.001043	Transconjugant range of PromA plasmids in microbial communit	False	False	False	not_gated	0	direct		0	0	0	0	not_generated	FILLED	not_gated
PRJDB11603	collection_date	tail25_49	False	PMC10327500	europepmc_fulltext	True	True	https://doi.org/10.1099/mgen.0.001043	Transconjugant range of PromA plasmids in microbial communit	False	False	False	covered	45	direct		45	0	0	45	not_generated	FILLED	whole_field
PRJDB11603	isolation_source	tail25_49	False	PMC10327500	europepmc_fulltext	True	True	https://doi.org/10.1099/mgen.0.001043	Transconjugant range of PromA plasmids in microbial communit	False	False	False	covered	45	direct		0	11	0	34	not_generated	FILLED	whole_field
PRJDB11603	host	tail25_49	False	PMC10327500	europepmc_fulltext	True	True	https://doi.org/10.1099/mgen.0.001043	Transconjugant range of PromA plasmids in microbial communit	False	False	False	residual_per_sample	45	direct	field_not_in_table	0	0	0	45	not_generated	EXHAUSTED	field_not_in_table
PRJDB14712	country	tail25_49	False	PMC10715227	europepmc_fulltext	True	True	https://doi.org/10.1128/spectrum.02188-23	Municipal wastewater monitoring revealed the predominance of	False	False	False	not_gated	0	abstained		0	0	0	0	not_generated	FILLED	not_gated
PRJDB14712	collection_date	tail25_49	False	PMC10715227	europepmc_fulltext	True	True	https://doi.org/10.1128/spectrum.02188-23	Municipal wastewater monitoring revealed the predominance of	False	False	False	not_gated	0	abstained		0	0	0	0	not_generated	FILLED	not_gated
PRJDB14712	isolation_source	tail25_49	False	PMC10715227	europepmc_fulltext	True	True	https://doi.org/10.1128/spectrum.02188-23	Municipal wastewater monitoring revealed the predominance of	False	False	False	not_gated	0	abstained		0	0	0	0	not_generated	FILLED	not_gated
PRJDB14712	host	tail25_49	False	PMC10715227	europepmc_fulltext	True	True	https://doi.org/10.1128/spectrum.02188-23	Municipal wastewater monitoring revealed the predominance of	False	False	False	covered	28	abstained		28	0	0	28	not_generated	FILLED	whole_field
PRJDB16665	country	tail25_49	False	PMC11937256	europepmc_fulltext	True	True	https://doi.org/10.1038/s41467-025-58049-1	Rapid and Integrated Bacterial Evolution Analysis unveils ge	False	False	False	not_gated	0			0	0	0	0	not_generated	FILLED	not_gated
PRJDB16665	collection_date	tail25_49	False	PMC11937256	europepmc_fulltext	True	True	https://doi.org/10.1038/s41467-025-58049-1	Rapid and Integrated Bacterial Evolution Analysis unveils ge	False	False	False	not_gated	0			0	0	0	0	not_generated	FILLED	not_gated
PRJDB16665	isolation_source	tail25_49	False	PMC11937256	europepmc_fulltext	True	True	https://doi.org/10.1038/s41467-025-58049-1	Rapid and Integrated Bacterial Evolution Analysis unveils ge	False	False	False	not_gated	0			0	0	0	0	not_generated	FILLED	not_gated
PRJDB16665	host	tail25_49	False	PMC11937256	europepmc_fulltext	True	True	https://doi.org/10.1038/s41467-025-58049-1	Rapid and Integrated Bacterial Evolution Analysis unveils ge	False	False	False	not_gated	0			0	0	0	0	not_generated	FILLED	not_gated
PRJDB17160	country	tail25_49	False		local_pdf	True	True	https://doi.org/10.1016/j.jgar.2024.04.008	Multidrug-resistant Klebsiella pneumoniae clinical isolates 	True	True	False	not_gated	0	NO_PMCID		0	0	0	0	not_generated	FILLED	not_gated
PRJDB17160	collection_date	tail25_49	False		local_pdf	True	True	https://doi.org/10.1016/j.jgar.2024.04.008	Multidrug-resistant Klebsiella pneumoniae clinical isolates 	True	True	False	not_gated	0	NO_PMCID		0	0	0	0	not_generated	FILLED	not_gated
PRJDB17160	isolation_source	tail25_49	False		local_pdf	True	True	https://doi.org/10.1016/j.jgar.2024.04.008	Multidrug-resistant Klebsiella pneumoniae clinical isolates 	True	True	False	residual_per_sample	39	NO_PMCID	NO_PMCID	0	0	0	39	not_generated	EXHAUSTED	NO_PMCID
PRJDB17160	host	tail25_49	False		local_pdf	True	True	https://doi.org/10.1016/j.jgar.2024.04.008	Multidrug-resistant Klebsiella pneumoniae clinical isolates 	True	True	False	not_gated	0	NO_PMCID		0	0	0	0	not_generated	FILLED	not_gated
