study_accession	sample_accession	field	ena_value	filled_value	source
PRJEB49334	SAMEA110452478	country		Singapore	whole_field
PRJEB49334	SAMEA110452485	country		Singapore	whole_field
PRJEB49334	SAMEA110452486	country		Singapore	whole_field
PRJEB49334	SAMEA110452499	country		Singapore	whole_field
PRJEB49334	SAMEA110452498	country		Singapore	whole_field
PRJEB49334	SAMEA110452464	country		Singapore	whole_field
PRJEB49334	SAMEA110452475	country		Singapore	whole_field
PRJEB9325	SAMEA3375643	country		Brazil	whole_field
PRJEB28115	SAMEA5329420	country		Cambodia	whole_field
PRJEB28115	SAMEA5329428	country		Cambodia	whole_field
PRJEB28115	SAMEA5329543	country		Cambodia	whole_field
PRJEB28115	SAMEA5329408	country		Cambodia	whole_field
PRJEB28115	SAMEA5329415	country		Cambodia	whole_field
PRJEB28115	SAMEA5329422	country		Cambodia	whole_field
PRJEB28115	SAMEA5329535	country		Cambodia	whole_field
PRJEB28115	SAMEA5329433	country		Cambodia	whole_field
PRJEB28115	SAMEA5329438	country		Cambodia	whole_field
PRJEB28115	SAMEA5329459	country		Cambodia	whole_field
PRJEB28115	SAMEA5329464	country		Cambodia	whole_field
PRJEB28115	SAMEA5329414	country		Cambodia	whole_field
PRJEB28115	SAMEA5329447	country		Cambodia	whole_field
PRJEB28115	SAMEA5329451	country		Cambodia	whole_field
PRJEB28115	SAMEA5329412	country		Cambodia	whole_field
PRJEB28115	SAMEA5329413	country		Cambodia	whole_field
PRJEB28115	SAMEA5329417	country		Cambodia	whole_field
PRJEB28115	SAMEA5329421	country		Cambodia	whole_field
PRJEB28115	SAMEA5329425	country		Cambodia	whole_field
PRJEB28115	SAMEA5329426	country		Cambodia	whole_field
PRJEB28115	SAMEA5329536	country		Cambodia	whole_field
PRJEB28115	SAMEA5329541	country		Cambodia	whole_field
PRJEB28115	SAMEA5329435	country		Cambodia	whole_field
PRJEB28115	SAMEA5329440	country		Cambodia	whole_field
PRJEB28115	SAMEA5329441	country		Cambodia	whole_field
PRJEB28115	SAMEA5329448	country		Cambodia	whole_field
PRJEB28115	SAMEA5329460	country		Cambodia	whole_field
PRJEB28115	SAMEA5329462	country		Cambodia	whole_field
PRJEB28115	SAMEA5329469	country		Cambodia	whole_field
PRJEB28115	SAMEA5329492	country		Cambodia	whole_field
PRJEB28115	SAMEA5329472	country		Cambodia	whole_field
PRJEB28115	SAMEA5329473	country		Cambodia	whole_field
PRJEB28115	SAMEA5329416	country		Cambodia	whole_field
PRJEB28115	SAMEA5329418	country		Cambodia	whole_field
PRJEB28115	SAMEA5329429	country		Cambodia	whole_field
PRJEB28115	SAMEA5329409	country		Cambodia	whole_field
PRJEB28115	SAMEA5329419	country		Cambodia	whole_field
PRJEB28115	SAMEA5329432	country		Cambodia	whole_field
PRJEB28115	SAMEA5329540	country		Cambodia	whole_field
PRJEB28115	SAMEA5329436	country		Cambodia	whole_field
PRJEB28115	SAMEA5329437	country		Cambodia	whole_field
PRJEB28115	SAMEA5329439	country		Cambodia	whole_field
PRJEB28115	SAMEA5329551	country		Cambodia	whole_field
PRJEB28115	SAMEA5329442	country		Cambodia	whole_field
PRJEB28115	SAMEA5329458	country		Cambodia	whole_field
PRJEB28115	SAMEA5329465	country		Cambodia	whole_field
PRJEB28115	SAMEA5329466	country		Cambodia	whole_field
PRJEB28115	SAMEA5329468	country		Cambodia	whole_field
PRJEB28115	SAMEA5329470	country		Cambodia	whole_field
PRJEB28115	SAMEA5329494	country		Cambodia	whole_field
PRJEB42526	SAMEA7832379	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832383	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832386	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832388	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832389	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832396	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832397	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832400	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832401	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832410	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832414	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832421	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832422	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832424	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832427	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832428	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832435	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832437	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832438	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832440	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832441	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832442	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832450	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832454	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832455	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832456	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832461	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832382	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832384	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832387	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832390	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832391	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832402	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832409	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832412	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832415	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832416	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832419	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832423	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832426	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832429	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832431	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832432	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832433	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832434	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832446	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832447	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832452	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832457	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832459	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832460	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832380	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832381	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832385	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832392	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832393	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832394	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832395	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832398	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832399	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832403	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832404	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832405	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832406	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832407	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832408	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832411	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832413	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832417	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832418	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832420	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832425	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832430	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832436	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832439	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832443	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832444	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832445	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832448	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832449	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832451	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832453	country		Saint Kitts and Nevis	whole_field
PRJEB42526	SAMEA7832458	country		Saint Kitts and Nevis	whole_field
