study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB34380	SAMEA5951251	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739735
PRJEB34380	SAMEA5951252	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739736
PRJEB34380	SAMEA5951253	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739737
PRJEB34380	SAMEA5951254	isolation_source		sputum	per_sample	Table_1.XLSX:ERS3739738
PRJEB34380	SAMEA5951255	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739739
PRJEB34380	SAMEA5951256	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739740
PRJEB34380	SAMEA5951257	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739741
PRJEB34380	SAMEA5951258	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739742
PRJEB34380	SAMEA5951259	isolation_source		tracheal_aspirate	per_sample	Table_1.XLSX:ERS3739743
PRJEB34380	SAMEA5951260	isolation_source		catheter_tip	per_sample	Table_1.XLSX:ERS3739744
PRJEB34380	SAMEA5951261	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739745
PRJEB34380	SAMEA5951262	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739746
PRJEB34380	SAMEA5951263	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739747
PRJEB34380	SAMEA5951264	isolation_source		bronchial_lavage	per_sample	Table_1.XLSX:ERS3739748
PRJEB34380	SAMEA5951265	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739749
PRJEB34380	SAMEA5951266	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739750
PRJEB34380	SAMEA5951267	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739751
PRJEB34380	SAMEA5951268	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739752
PRJEB34380	SAMEA5951269	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739753
PRJEB34380	SAMEA5951270	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739754
PRJEB34380	SAMEA5951271	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739755
PRJEB34380	SAMEA5951272	isolation_source		sputum	per_sample	Table_1.XLSX:ERS3739756
PRJEB34380	SAMEA5951273	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739757
PRJEB34380	SAMEA5951274	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739758
PRJEB34380	SAMEA5951275	isolation_source		tracheal_aspirate	per_sample	Table_1.XLSX:ERS3739759
PRJEB34380	SAMEA5951276	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739760
PRJEB34380	SAMEA5951277	isolation_source		abdominal_fluid	per_sample	Table_1.XLSX:ERS3739761
PRJEB34380	SAMEA5951278	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739762
PRJEB34380	SAMEA5951279	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739763
PRJEB34380	SAMEA5951280	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739764
PRJEB34380	SAMEA5951281	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739765
PRJEB34380	SAMEA5951282	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739766
PRJEB34380	SAMEA5951283	isolation_source		tracheal_aspirate	per_sample	Table_1.XLSX:ERS3739767
PRJEB34380	SAMEA5951284	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739768
PRJEB34380	SAMEA5951285	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739769
PRJEB34380	SAMEA5951286	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739770
PRJEB34380	SAMEA5951287	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739771
PRJEB34380	SAMEA5951288	isolation_source		sputum	per_sample	Table_1.XLSX:ERS3739772
PRJEB34380	SAMEA5951289	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739773
PRJEB34380	SAMEA5951290	isolation_source		sputum	per_sample	Table_1.XLSX:ERS3739774
PRJEB34380	SAMEA5951291	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739775
PRJEB34380	SAMEA5951292	isolation_source		pleural_fluid	per_sample	Table_1.XLSX:ERS3739776
PRJEB34380	SAMEA5951293	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739777
PRJEB34380	SAMEA5951294	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739778
PRJEB34380	SAMEA5951295	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739779
PRJEB34380	SAMEA5951296	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739780
PRJEB34380	SAMEA5951297	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739781
PRJEB34380	SAMEA5951298	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739782
PRJEB34380	SAMEA5951299	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739783
PRJEB34380	SAMEA5951300	isolation_source		bronchial_lavage	per_sample	Table_1.XLSX:ERS3739784
PRJEB34380	SAMEA5951301	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739785
PRJEB34380	SAMEA5951302	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739786
PRJEB34380	SAMEA5951303	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739787
