study_accession	gap_samples	gap_fields	fulltext_source	paywalled	per_sample_fills	mech_reason	supp_present	has_per_sample_table	table_fields	accession_keyed	table_reference	action	evidence_quote	pmcid	doi	save_as
PRJEB5495	348	collection_date,country,host,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB5495.xlsx
PRJEB7967	207	collection_date,country,isolation_source	europepmc_fulltext	False	0	unanchored	False	yes	isolation_source,collection_date	yes	Table S1	OA_INVESTIGATE	A total of 67 K. pneumoniae clinical isolates sampled in Canada, Denmark, Norway, South Africa, Taiwan, and the United States in the period from 1996 to 2012 and two reference strains of serotype K1 strains were included (see Table S1 in the supplemental material).	PMC4513082	10.1128/mbio.00630-15	PRJEB7967.xlsx
PRJEB2655	200	collection_date,country,host,isolation_source	europepmc_fulltext	False	0	no_supp	False	yes	isolation_source,collection_date	yes	Supplemental Table S1	OA_INVESTIGATE	Sources and properties of 193 S. aureus isolates are listed in Supplemental Table S1.	PMC3613582	10.1101/gr.147710.112	PRJEB2655.xlsx
PRJNA488070	172	collection_date,isolation_source	europepmc_fulltext	False	0	no_supp	False	unclear	isolation_source,collection_date	unclear	Appendix Table 2	REVIEW	We compared the South Africa genomes sequenced in this study (deposited in the NCBI Bioproject database [https://www.ncbi.nlm.nih.gov/bioproject] under accession no. PRJNA488070) with 620 ST307 genomes previously deposited in the NCBI Sequence Read Archive.	PMC6433043	10.3201/eid2504.181482	PRJNA488070.xlsx
PRJNA918858	162	collection_date,host,isolation_source	europepmc_fulltext	False	0	no_supp	False	likely	isolation_source	yes	Table 1	OA_INVESTIGATE	Nine clinical isolates of K. pneumoniae producing OXA-48 were cultured from samples of different patients admitted to the University Hospital Reina Sofía (Córdoba, Spain), the University Hospital Paz (Madrid, Spain) or the University Hospital Marques de Valdecilla (Santander, Spain) (Table 1).	PMC10375995	10.3390/antibiotics12071111	PRJNA918858.xlsx
PRJEB43945	136	collection_date,isolation_source	local_pdf	True	0	NO_PMCID	False	likely	isolation_source,collection_date	unclear	appendix 1 pp 1, 7	FETCH_SUPP	For each patient, we recorded the dates of admission and discharge, hospital ward, age, and sex (appendix 1 p 1).		10.1016/S2666-5247(24)00113-7	PRJEB43945.xlsx
PRJEB26075	130	collection_date,country	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB26075.xlsx
PRJEB35890	96	isolation_source	europepmc_fulltext	False	0	no_supp	False	no	collection_date	no		SKIP	Samples with place and year of isolation are presented on the y-axis.	PMC7262493	10.2807/1560-7917.es.2020.25.20.2000627	PRJEB35890.xlsx
PRJNA415530	96	host,isolation_source	pdf	True	0	no_supp	False	no		no		SKIP	The clinical polymyxin-susceptible XDR K. pneumoniae ST258 (closely related to the NJST258_2 clade) isolate, 20_GR_12, was sourced through Hygeia General Hospital, Athens, Greece as previously described.	PMC6376851	10.1093/jac/dky458	PRJNA415530.xlsx
PRJEB50277	96	isolation_source	local_pdf	True	0	NO_PMCID	False	no		no		SKIP	The characteristics and contribution of hospitals are shown in Supplementary Table 1, and sample types and basic demographic data of patients are provided in Supplementary Table 2.		10.1016/j.ijid.2022.04.034	PRJEB50277.xlsx
