study_accession	paper_short_title	n_isolates	fold	seed
PRJNA591480		98	tail50_99	
PRJNA757198		97	tail50_99	
PRJNA641536		97	tail50_99	
PRJEB35890		96	tail50_99	
PRJEB50277		96	tail50_99	
PRJNA351846		95	tail50_99	
PRJEB64408		95	tail50_99	
PRJEB39942		95	tail50_99	
PRJEB9325		93	tail50_99	
PRJNA395864		93	tail50_99	
PRJNA781656		92	tail50_99	
PRJEB36392		91	tail50_99	
PRJEB8265		91	tail50_99	
PRJNA1004324		90	tail50_99	
PRJNA937403		89	tail50_99	
PRJNA1026096		88	tail50_99	
PRJEB64702		87	tail50_99	
PRJEB5495		87	tail50_99	
PRJNA488070		86	tail50_99	
PRJEB57245		85	tail50_99	
PRJNA231221		84	tail50_99	
PRJEB45369		84	tail50_99	
PRJNA237670		84	tail50_99	
PRJEB53419		84	tail50_99	
PRJNA605147		84	tail50_99	
PRJEB42526		83	tail50_99	
PRJNA289272		82	tail50_99	
PRJEB11403		82	tail50_99	
PRJEB26814		82	tail50_99	
PRJDB16654		81	tail50_99	
PRJNA342893		80	tail50_99	
PRJNA663884		80	tail50_99	
PRJEB34380		80	tail50_99	
PRJEB49056		80	tail50_99	
PRJNA1095184		78	tail50_99	
PRJNA413040		78	tail50_99	
PRJNA910977		76	tail50_99	
PRJNA389557		76	tail50_99	
PRJEB51224		76	tail50_99	
PRJEB56668		73	tail50_99	
PRJNA259658		73	tail50_99	
PRJNA1050414		72	tail50_99	
PRJNA561493		72	tail50_99	
PRJNA1061342		71	tail50_99	
PRJNA479772		71	tail50_99	
PRJNA599387		70	tail50_99	
PRJEB50346		70	tail50_99	
PRJNA355241		69	tail50_99	
PRJDB4948		69	tail50_99	
PRJEB7967		69	tail50_99	
PRJEB43945		68	tail50_99	
PRJNA778615		68	tail50_99	
PRJNA595034		67	tail50_99	
PRJNA903550		67	tail50_99	
PRJNA990326		66	tail50_99	
PRJEB26075		65	tail50_99	
PRJNA980932		65	tail50_99	
PRJEB78367		64	tail50_99	
PRJNA738476		63	tail50_99	
PRJEB51676		63	tail50_99	
PRJEB19918		63	tail50_99	
PRJNA445400		63	tail50_99	
PRJNA253300		62	tail50_99	
PRJEB49334		62	tail50_99	
PRJEB46655		61	tail50_99	
PRJNA826066		60	tail50_99	
PRJNA736690		60	tail50_99	
PRJEB66360		60	tail50_99	
PRJEB28660		59	tail50_99	
PRJEB51966		59	tail50_99	
PRJEB59403		59	tail50_99	
PRJEB30771		59	tail50_99	
PRJNA799063		59	tail50_99	
PRJNA592157		58	tail50_99	
PRJNA796567		58	tail50_99	
PRJNA329105		57	tail50_99	
PRJNA769451		56	tail50_99	
PRJNA1135353		55	tail50_99	
PRJDB6962		55	tail50_99	
PRJEB59975		54	tail50_99	
PRJNA918858		54	tail50_99	
PRJEB37933		53	tail50_99	
PRJEB18059		53	tail50_99	
PRJEB50837		52	tail50_99	
PRJNA970254		52	tail50_99	
PRJEB51225		51	tail50_99	
PRJNA945449		51	tail50_99	
PRJNA925003		51	tail50_99	
PRJNA701073		50	tail50_99	
PRJEB2655		50	tail50_99	
PRJNA643814		50	tail50_99	
PRJNA803387		50	tail50_99	
PRJEB28115		50	tail50_99	
PRJDB8311		50	tail50_99	
PRJNA415530		50	tail50_99	
