study_accession	sample_accession	field	ena_value	filled_value	source
PRJEB37378	SAMEA10147368	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147370	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147372	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147292	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147296	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147295	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147298	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147299	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147302	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147305	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147306	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147307	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147265	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147311	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147261	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147312	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147263	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147317	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147325	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147268	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147320	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147388	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147389	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147285	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147281	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147283	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147287	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147288	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147326	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147327	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147332	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147336	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147337	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147339	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147347	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147348	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147353	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147357	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147360	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147361	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147272	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147324	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147335	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147381	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147384	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147290	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147291	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147395	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147397	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147400	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147404	country		Malawi	curator_escalation
PRJEB37378	SAMEA10147414	country		Malawi	curator_escalation
