study_accession	chosen_title	chosen_pmid	chosen_pmcid	chosen_doi	paper_title	paper_link	ena_taxon_samples	adj_same_paper	adj_same_paper_reason	adj_verdict	adj_justification_quote	adj_reasoning	adj_rule_gap
PRJEB39943	Persistent spread of carbapenemase-producing Klebsiella pneumoniae in acute care hospitals in 36 European countries (the CCRE survey): a prospective, multicentre, cross-sectional, epidemiological, microbiological, and genomic surveillance study.	42127954	PMC13259977	10.1016/j.lanmic.2025.101320	European_wide_survey_of_carbapenem__and_or_colistin_resistant_Enterobacteriaceae	https://pmc.ncbi.nlm.nih.gov/articles/PMC10668257/	2904	False	Different works: Paper A is the Europe-wide CCRE survey (2973 K. pneumoniae species complex isolates, 302 hospitals, 36 countries, 2019, Lancet-style article). Paper B is a Greece-only follow-up study (310 carbapenem-R/I isolates from 15 Greek hospitals across EuSCAPE 2013-14, CCRE 2019, and a 2022 national follow-up). Different titles, authors, cohorts, sample counts and scope; Paper B cites the CCRE survey (Paper A) as reference [7].	found_correct	The raw reads of isolates from this study were deposited in the European Nucleotide Archive under accession numbers PRJEB39943 and PRJEB51224.	PRJEB39943 is the 2019 CCRE survey (European-wide survey of carbapenem- and/or colistin-resistant Enterobacteriaceae, 2904 taxon samples). Paper A IS that survey: it reports 2973 K. pneumoniae species complex isolates from 36 countries in 2019, describes the WGS generation pipeline (SPAdes assembly, Kleborate, Panaroo), and explicitly states the raw reads were deposited under PRJEB39943 — it is the primary study that generated and deposited these genomes. Paper B only reuses a subset of CCRE Greek data (128 CCRE isolates) combined with EuSCAPE and a separate 2022 follow-up survey; it cites the CCRE survey rather than depositing PRJEB39943, and its own primary contribution (the 2022 follow-up) is a different collection. Thus Paper A (the found paper) describes the project; Paper B merely reuses/cites the data.	The curated paper (B) is a downstream national follow-up that reuses and cites the CCRE data rather than generating PRJEB39943 — a case where hand-curation attached a data-reuse paper sharing the ENA project title to the accession instead of the primary depositing study.
PRJNA475751	Methods for cost-efficient, whole genome sequencing surveillance for enhanced detection of outbreaks in a hospital setting			10.1101/2024.02.16.24302955	Real-Time Genomic Surveillance for Enhanced Healthcare Outbreak Detection and Control: Clinical and Economic Impact	https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciaf216/8122482?login=true	948	False	Paper A is a medRxiv methods preprint ('Methods for cost-efficient, whole genome sequencing surveillance...', 2024.02.16.24302955) focused on laboratory/analytical workflow and per-sample cost. Paper B is a distinct Clinical Infectious Diseases article ('Real-Time Genomic Surveillance... Clinical and Economic Impact', ciaf216) with a different title and a clinical/economic-impact focus. Both come from the same EDS-HAT program but have different titles, scope, and framing, so they are not the same work (not a preprint/publication pair of one article). Paper B supplied no text, so no author/cohort/finding overlap could be confirmed.	found_correct	The whole genome sequencing data generated in this study are deposited in the United States National Institutes of Health, National Library of Medicine ( https://www.ncbi.nlm.nih.gov/bioproject ), and are publicly available under BioProject accession PRJNA475751.	Paper A explicitly describes the EDS-HAT program (PRJNA475751: 'Enhanced detection system for hospital associated transmission') — its title, abstract, and Data Summary match the ENA project, and it states the WGS data 'generated in this study' were deposited under the exact BioProject accession PRJNA475751. This makes Paper A a study describing the project that generated/deposited these genomes. Paper B contains no provided text, so it cannot be verified as describing or merely reusing the data; only Paper A is supported by deciding evidence.	Paper B was supplied with no text or metadata, so its relationship to the BioProject could not be adjudicated; the EDS-HAT program spans many papers depositing into one shared BioProject (PRJNA475751, 948 samples over years), so an explicit deposition statement in one paper does not exclude others, and absent text the finder cannot distinguish primary from reuse.
PRJNA768622	Genomic epidemiology and longitudinal sampling of ward wastewater environments and patients reveals complexity of the transmission dynamics of <i>bla</i> <sub>KPC</sub>-carbapenemase-producing Enterobacterales in a hospital setting.	39234218	PMC11369815	10.1093/jacamr/dlae140	TRACE (Tracking Carbapenemase-producing Enterobacteriaceae), wastewater and patient samples, manchester	https://pubmed.ncbi.nlm.nih.gov/32094139/	832	False	Different studies. Paper A is the 2016 prospective longitudinal study of 349 wastewater sites across six MFT wards plus patient screening, depositing PRJNA768622/PRJNA514245. Paper B (Stoesser et al. 2020, AAC) is a retrospective 2009–2014 WGS analysis of 604 archived blaKPC isolates from CMFT/UHSM and UK/Ireland surveillance, depositing a different BioProject (PRJNA564424). Distinct titles, cohorts, timeframes, sample counts (1646 vs 604 isolates) and accessions — not a preprint/publication pair.	found_correct	Sequence data have been deposited in NCBI (BioProject accessions PRJNA768622, PRJNA514245; Supplementary dataset 2).	The project PRJNA768622 is the TRACE longitudinal ward-wastewater + patient sampling study: 349 environmental sites across six wards over 6–12 months in 2016, up to five isolates per niche. Paper A matches exactly — same 349 sites, six wards, within-niche diversity design, 832-sample scale, and it explicitly lists PRJNA768622 in its data-availability statement, making it the primary study that generated/deposited these genomes. Paper B describes an entirely different cohort (604 isolates, 2009–2014, archived CMFT/UHSM + national surveillance) and deposits its data under PRJNA564424; it neither generated nor references PRJNA768622. Therefore Paper A (the found paper) describes this project and Paper B does not.	Curated/candidate matching on shared program identity (same 'TRACE' group, same Manchester hospitals, same blaKPC/wastewater theme, overlapping author list) can select a sibling study with a different cohort and BioProject; the deciding signal is the explicit accession in the data-availability statement, not thematic/author overlap.
PRJNA1028672	Carbapenem-resistant Klebsiella pneumoniae capsular types, antibiotic resistance and virulence factors in China: a longitudinal, multi-centre study.	38424289	PMC10914598	10.1038/s41564-024-01612-1	Epidemiology and role of surface polysaccharides in carbapenem-resistant Klebsiella pneumoniae: a multi-center,five-year surveillance in China	https://www.nature.com/articles/s41564-024-01612-1#:~:text=In%20conclusion%2C%20we%20describe%20a,characteristics%20of%20the%20CRKP%20strains.	546	True	Paper B's title is identical to the ENA project title, and its URL text-fragment ('In conclusion, we describe a...characteristics of the CRKP strains') quotes verbatim Paper A's concluding sentence. Paper B is the Nature Microbiology article s41564-024-01612-1 and Paper A (PMC10914598) is the PubMed Central deposit of that same article — same cohort (1,017 CRKP isolates, 2016–2020 China, WGS on 207 KL47 + 319 KL64), same findings.	both_describe	We performed whole-genome sequencing on 207 KL47 and 319 KL64 isolates to obtain a phylogenetic overview of the two most common K-type CRKPs ... and on non-carbapenemase-producing CRKP strains	Both references resolve to a single work (Nature Microbiology s41564-024-01612-1 = PMC10914598), confirmed by the verbatim conclusion sentence embedded in Paper B's URL and the matching title with the ENA project. Paper A's Methods describe generating and depositing the whole-genome sequences (526 isolates sequenced, ~546 ENA taxon samples) as the primary surveillance study behind PRJNA1028672 — it is the project that produced the deposited genomes, not a reuse. Since A and B are the same paper, both describe this project.	
PRJNA855907	Characterization of Extensively Drug-Resistant (XDR) Carbapenemase-Producing <i>Enterobacterales</i> (CPE) in Canada from 2019 to 2020.	35950772	PMC9430190	10.1128/spectrum.00975-22	Plasmid genomic epidemiology of carbapenem-hydrolysing class D β-lactamase (CDHL)-producing Enterobacterales in Canada, 2010−2021	https://pmc.ncbi.nlm.nih.gov/articles/PMC11261825/	508	False	Different titles, authors, cohorts, and scope: Paper A characterizes 482 XDR/CPE isolates (all carbapenemase types) from 440 patients in 2019-2020 sequenced on Illumina NextSeq; Paper B characterizes 249 OXA-48-type-only isolates from 2010-2021 with Illumina MiSeq + ONT long reads and a plasmid focus. Not a preprint/version pair — two distinct studies sharing one CNISP umbrella BioProject.	both_describe	"Paper A: ""The BioProject number under which the generated sequencing data can be found is PRJNA855907."" Paper B: ""Raw sequencing reads were deposited to the NCBI SRA archive under BioProject PRJNA855907 ... see Table S1 ... for a list of accessions."""	PRJNA855907 is the CNISP 'Carbapenemase Producing Gram-negatives' surveillance umbrella (508 samples). Both papers are primary studies that generated their own sequencing data and explicitly state depositing it into this same BioProject. Paper A says its generated sequencing data is found under PRJNA855907; Paper B says its raw reads (with a Table S1 accession list) were deposited to PRJNA855907. Neither merely reuses/cites the other's data — each deposited its own isolates, so both describe (different subsets of) this project.	Umbrella/surveillance BioProjects (here CNISP) accumulate genomes from multiple independent primary studies; a finder keying on a single 'the project paper' will wrongly reject co-depositing primary studies as data-reusers. Sample-count mismatch with ENA (508 vs 482 vs 249) is expected and should not be used to demote either paper.
PRJEB38289	Methylation analysis of Klebsiella pneumoniae from Portuguese hospitals.	33753763	PMC7985491	10.1038/s41598-021-85724-2	Genomic epidemiological analysis of Klebsiella pneumoniae from Portuguese hospitals reveals insights into circulating antimicrobial resistance	https://pubmed.ncbi.nlm.nih.gov/35963896/	508	False	Different works: Paper A (PMC7985491, 'Methylation analysis... from Portuguese hospitals') studies 8 Kp isolates on PacBio RSII for methylome/R-M analysis; Paper B (PMID 35963896, 'Genomic epidemiological analysis...') studies 509 isolates on Illumina HiSeq for AMR epidemiology. Distinct titles, cohorts (8 vs 509), platforms (PacBio vs Illumina), and aims. Same group/authors and country, but not the same article or a preprint/published pair.	found_correct	The assembled sequences are deposited in the European Nucleotide Archive (project PRJEB38289). Accession numbers and metadata are presented in Table S1.	The ENA project title/description — 'Methylation analysis of Klebsiella pneumoniae using PacBio sequencing' — matches Paper A exactly (eight Kp isolates sequenced on PacBio RSII for methylome characterisation), and Paper A explicitly states its assembled sequences are deposited under PRJEB38289. Paper B is an Illumina (HiSeq) genomic-epidemiology study of 509 isolates; it never claims this accession nor mentions PacBio/methylation, so it does not describe this PacBio methylation deposit. Although ENA reports 508 taxon samples (close to Paper B's 509), the explicit accession citation plus the verbatim title/platform match decisively point to Paper A as the primary study that generated and deposited these genomes.	Sample-count proximity is a trap: a finder weighting ENA 'taxon samples' (508) would be pulled toward Paper B's 509-isolate cohort despite the project title, platform, and an explicit in-text accession citation all matching Paper A. Explicit accession statements and title/platform agreement should outrank numeric cohort-size proximity.
PRJEB46513	Transmission dynamics of Klebsiella pneumoniae in a neonatal intensive care unit in Zambia before and after an infection control bundle.	41662406	PMC12885268	10.1371/journal.pgph.0005965	Distribution of capsule and O types in Klebsiella pneumoniae causing neonatal sepsis in Africa and South Asia: meta-analysis of genome-predicted serotype prevalence and potential vaccine coverage; Published on Pathogenwatch	https://www.medrxiv.org/content/10.1101/2025.06.28.25330253v1.full; https://pathogen.watch/collection/klebnet-neonatal-sepsis	455	False	Paper A is the SPINZ NICU transmission study (411 K. pneumoniae genomes, Zambia neonatal unit) that deposited the data; Paper B is a multi-cohort meta-analysis of capsule/O-type prevalence across Africa and South Asia for vaccine coverage. Different scope, cohort, authors' focus, and findings — not a preprint/published pair of one work.	found_correct	Whole-genome sequence data were deposited by the sequencing laboratory (Quadram Institute of Bioscience, UK) under BioProject PRJEB46513.	Paper A explicitly names BioProject PRJEB46513 as the deposit for the WGS data it generated from the SPINZ neonatal Klebsiella study in a Zambian NICU, matching the ENA project title/description and the ~455 sample count. It is the primary study that generated and deposited these genomes. Paper B is a cross-cohort meta-analysis of genome-predicted serotype prevalence (Africa and South Asia) for vaccine coverage, which at most reuses/aggregates such data rather than describing this specific deposit. No evidence in Paper B ties it to PRJEB46513 as the originating study.	
PRJEB63361	Carbapenem resistant Klebsiella pneumoniae isolates at a tertiary hospital in Cape Town, South Africa, are dominated by specific local clones rather than previously described international lineages.	41544111	PMC12810914	10.1371/journal.ppat.1013859	Unpublished	https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJEB63361	413	False	Paper A is a full peer-reviewed PLOS Pathogens article (PMC12810914); Paper B is merely the NCBI BioProject record link for PRJEB63361 with no text, authors, title, or findings. A bare database accession page is not an article, so they cannot be judged the same work.	found_correct	Sequencing data has been deposited in the ENA under project number (PRJEB63361), with individual accession numbers listed in S1 Table.	Paper A is the primary study that generated and deposited the genomes for PRJEB63361: it describes collecting and sequencing the 413 stored CRKP isolates from Tygerberg Hospital, Cape Town (2016–2020), matching the ENA cohort (413 taxon samples), the ST2621/ST39 co-dominance (164/164), and the blaOXA-181/blaNDM-1 carbapenemase profile in the ENA description, and it explicitly states deposition under PRJEB63361. Paper B carries no text — only the BioProject URL — so it provides no describing evidence. Thus the finder's paper (A) is the correct describing study.	Curated entry was a bare BioProject/accession URL with no extractable bibliographic content, making same-paper comparison impossible from the curated side alone; finder weakness is minimal here since A self-cites the accession.
PRJEB5065	Recent independent emergence of multiple multidrug-resistant Serratia marcescens clones within the United Kingdom and Ireland.	27432456	PMC4971767	10.1101/gr.205245.116	Evolution and Epidemiology of Multidrug-Resistant Klebsiella pneumoniae in the United Kingdom and Ireland	https://pubmed.ncbi.nlm.nih.gov/28223459/	381	False	Different organisms (Serratia marcescens vs Klebsiella pneumoniae), different cohort sizes (205 vs 250 isolates), different hospital counts (31 vs 28), different reference genomes (S. marcescens WW4 vs K. pneumoniae Ecl8), and distinct findings. These are two separate Moradigaravand et al. studies of different species drawn from the same BSAC MDR Gram-negative surveillance program, not one work or a preprint/publication pair.	found_correct	The sequence data for the isolates from this study have been submitted to the European Nucleotide Archive (ENA; http://www.ebi.ac.uk/ena) under accession numbers PRJEB5065 and ERP004424.	PRJEB5065 is the BSAC 'Multi_Drug_Resistant_Gram_Negative_Rods (MDR GNR)' study. Paper A (Serratia marcescens) explicitly names PRJEB5065 (and ERP004424) as the deposit for ITS isolates, directly tying the genomes generated/deposited under this accession to that study. Paper B (K. pneumoniae) deposits its accessory-genome/pangenome data to Mendeley and references contextual collections by accession in Table 1, but never cites PRJEB5065; its 250 K. pneumoniae isolates are a separate species sub-collection with their own deposit. The ENA taxon count (381) and umbrella MDR-GNR title are consistent with the Serratia deposit Paper A claims. Thus Paper A is the primary study describing this project; Paper B merely shares the same BSAC surveillance source but is a different species deposit.	Sibling papers from the same author (Moradigaravand) and same parent surveillance collection (BSAC MDR-GNR) but different bacterial species can be conflated; the finder should verify the paper's organism matches the ENA taxon/accession rather than matching on shared collection/program name.
PRJEB15226	Whole-Genome Multilocus Sequence Typing of Extended-Spectrum-Beta-Lactamase-Producing Enterobacteriaceae.	27629900	PMC5121380	10.1128/jcm.01648-16	Centre-specific bacterial pathogen typing affects infection-control decision making	https://pmc.ncbi.nlm.nih.gov/articles/PMC8549354/#sec27	288	False	Different works. Paper A (PMC5121380) is the wgMLST study that developed schemes and typed a national collection of 1,798 ESBL-E isolates from Dutch hospitals — its title and abstract match the ENA project verbatim. Paper B (PMC8549354) is a separate proficiency-test study on centre-specific bioinformatic typing that merely selected '40 random datasets... from BioProject PRJEB15226' and cites Paper A as reference [27]. Different title, authors, aims, cohort, and sample counts.	found_correct	used to type a national collection of 1,798 extended-spectrum-beta-lactamase-producing Enterobacteriaceae (ESBL-E) isolates obtained from patients in Dutch hospitals	The ENA project PRJEB15226 title ('Whole genome multilocus sequence typing of extended-spectrum beta-lactamase-producing Enterobacteriaceae') and description (wgMLST schemes; national collection of 1,798 ESBL-E isolates) match Paper A exactly — Paper A is the primary study that generated and deposited these genomes. Paper B explicitly states it only reused the data: '40 random datasets were selected from BioProject PRJEB15226 [27]', citing Paper A as the original source, and applied a downstream proficiency test. Thus Paper A describes the project; Paper B merely reuses the data.	A reuse/proficiency-test paper that prominently cites the accession (PRJEB15226 in its Data Summary) can be mistaken for the describing study; finders should down-weight papers that select a random subset of an existing BioProject and cite a prior study as the data source.
