study_accession	study_type	study_type_excluded	paper_records_in_taxon	paper_coverage_for_taxon	needs_manual_download	fulltext_source	is_full_text	grade_context_chars	full_text_would_help	model	study_setting__value	study_setting__grade	amr_study__value	amr_study__grade	amr_target__value	amr_target__grade	amr_method__value	amr_method__grade	cohort_age__value	cohort_age__grade	backfill_country__value	backfill_country__whole_project	backfill_isolation_source__value	backfill_isolation_source__whole_project	backfill_host__value	backfill_host__whole_project	backfill_collection_date__value	backfill_collection_date__whole_project
PRJEB74192	observational	False	3255	0.9982	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Norway	True		False	human	False		False
PRJEB39943	observational	False	128	0.0441	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable		False		False	human	True	2019-07-02	True
PRJEB36683	observational	False	328	0.1802	False	europepmc_fulltext	True	69585	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	partial	mixed	partial	Saudi Arabia	True	blood culture	False	human	True		False
PRJEB37378	observational	False	0	0.0	True	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	partial		not_gradeable		False		False		False		False
PRJDB10842	observational	False	1482	1.0	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	pcr_gene_presence	gradeable		not_gradeable	Japan	True		False	human	True	2020-01-01	True
PRJEB42462	observational	False	362	0.278	False	pdf	True	50000	False	claude-sonnet-4-6	hospital	partial	surveillance	partial		not_gradeable		not_gradeable	newborn_young_child	partial		False	blood	False	human	True		False
PRJEB27256	observational	False	868	0.8166	False	local_pdf	True	10000	False	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Norway	True	blood	False	human	True		False
PRJNA475751	observational	False	627	0.6614	False	local_pdf	True	50000	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	USA	True		False	human	True		False
PRJEB29740	observational	False	1072	1.1527	False	europepmc_fulltext	True	41493	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	India	True		False	human	True		False
PRJNA604975	observational	False	886	0.9736	False	europepmc_fulltext	True	45504	False	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True	blood	True	human	True		False
