severity	check	accession	detail
OK	find		109 studies found == graded
OK	grade		109 studies graded (1 row each)
OK	per_sample		70 outcomes: 20 with fills; 0-fill reasons {'no_supp': 21, 'unanchored': 10, 'NO_PMCID': 9, 'manifest_only': 5, 'abstained_other': 5} (all loud)
OK	manual_paper	PRJEB1563	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJEB19322	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJEB20799	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJEB21277	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJEB22252	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJEB22890	consumed (fulltext_source=local_pdf)
INFO	manual_paper	PRJEB24082	redundant — OA full text used instead (['europepmc_fulltext'])
OK	manual_paper	PRJEB27256	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJEB28400	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJEB29143	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJEB33565	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJEB35685	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJEB36486	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJEB46513	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJEB50822	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJEB63361	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJEB6574	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJEB6891	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJNA1028672	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJNA1133624	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJNA341927	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJNA351909	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJNA395086	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJNA396774	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJNA398288	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJNA415194	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJNA475751	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJNA544438	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJNA557275	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJNA564992	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJNA603790	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJNA634885	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJNA686897	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJNA765801	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJNA787062	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJNA789336	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJNA789565	consumed (fulltext_source=local_pdf)
OK	manual_paper	PRJNA857686	consumed (fulltext_source=local_pdf)
WARN	manual_table	PRJDB5929	wired but won't anchor to our accessions — linkage, not a loss
OK	manual_table	PRJEB21605	consumed (method=direct/two_hop or table set)
OK	manual_table	PRJEB24085	consumed (method=direct/two_hop or table set)
OK	manual_table	PRJEB24970	consumed (method=direct/two_hop or table set)
OK	manual_table	PRJEB28400	consumed (method=direct/two_hop or table set)
OK	manual_table	PRJEB29143	consumed (method=direct/two_hop or table set)
OK	manual_table	PRJEB29740	consumed (method=direct/two_hop or table set)
OK	manual_table	PRJEB42462	consumed (method=direct/two_hop or table set)
OK	manual_table	PRJEB48990	consumed (method=direct/two_hop or table set)
OK	manual_table	PRJEB58136	consumed (method=direct/two_hop or table set)
OK	manual_table	PRJEB6891	consumed (method=direct/two_hop or table set)
WARN	manual_table	PRJNA564424	wired but won't anchor to our accessions — linkage, not a loss
OK	backfill		104 covered → 20525 whole-field fills applied
OK	fill		34288 rows; no field shrank (country 0.620→0.934, collection_date 0.551→0.857, isolation_source 0.444→0.764, host 0.444→0.924)
OK	conservation		answer → apply → final invariants hold
