Assembly,collection_date,country,isolation_source
GCA_000349245.1_KP700603_01152013_genomic,1994,USA,Urine 
GCA_000492795.1_Kleb_pneu_MGH_44_V1_genomic,NA,,Respiratory
GCA_000613225.1_SB30_PRJEB5159_genomic,NA,,
GCA_000827665.1_ASM82766v1_genomic,2012,Malaysia,soil
GCA_001033915.1_Kleb_pneu_MGH123_V1_genomic,2014,,
GCA_001034125.1_Kleb_pneu_BIDMC95_V1_genomic,2014,,
GCA_001055795.1_ASM105579v1_genomic,NA,USA: WA,
GCA_001056525.1_ASM105652v1_genomic,NA,USA: WA,
GCA_001060825.1_ASM106082v1_genomic,NA,USA: WA,
GCA_001278905.1_ASM127890v1_genomic,2013,Hong Kong,giant panda feces
GCA_001280925.1_ASM128092v1_genomic,2013,Hong Kong,giant panda feces
GCA_001466765.1_ASM146676v1_genomic,2013,Indonesia: Bogor,Indonesian Tempeh
GCA_001596075.2_ASM159607v2_genomic,1994,USA: VA,Urine from hospitalized patient
GCA_001611185.1_ASM161118v1_genomic,2013,USA: Chicago,Rectal swab
GCA_001663535.1_ASM166353v1_genomic,2013,Pakistan: Hattar Industries,-
GCA_001701635.1_ASM170163v1_genomic,2011,China,
GCA_001701645.1_ASM170164v1_genomic,2012,China,sputum
GCA_001715345.1_ASM171534v1_genomic,2014,Brazil,Rectal Swab
GCA_001729665.1_ASM172966v1_genomic,2015,India,blood
GCA_001743455.1_ASM174345v1_genomic,2015,,
GCA_002186485.1_ASM218648v1_genomic,2013,Nigeria,Blood
GCA_002186565.1_ASM218656v1_genomic,2009,Nigeria,Blood
GCA_002186965.1_ASM218696v1_genomic,2016,Nigeria,Blood
GCA_002187175.1_ASM218717v1_genomic,2016,Nigeria,Blood
GCA_002187215.1_ASM218721v1_genomic,2016,Nigeria,Blood
GCA_002187225.1_ASM218722v1_genomic,2016,Nigeria,Blood
GCA_002187465.1_ASM218746v1_genomic,2013,Nigeria,Blood
GCA_002187935.3_ASM218793v3_genomic,2013,Nigeria,Blood
GCA_002187945.1_ASM218794v1_genomic,2016,Nigeria,Blood
GCA_002188025.1_ASM218802v1_genomic,2016,Nigeria,Blood
GCA_002197675.1_Kquasi_MGF005v1_genomic,2012,"Malaysia: Johor Bharu, Johor",
GCA_002197725.1_Kquasi_MGF008v1_genomic,2015,"Malaysia: Johor Bharu, Johor",urine
GCA_002239895.2_ASM223989v2_genomic,2016,Nigeria,Blood
GCA_002240295.1_ASM224029v1_genomic,2013,China:Hong Kong,feces
GCA_002240315.1_ASM224031v1_genomic,2013,China:Hong Kong,feces
GCA_002240335.1_ASM224033v1_genomic,2013,China:Hong Kong,feces
GCA_002246675.1_ASM224667v1_genomic,2016,Thailand: Bangkok,Rectal swab
GCA_002248055.1_ASM224805v1_genomic,2016,Thailand: Nakhon Pathom,Rectal swab
GCA_002248085.1_ASM224808v1_genomic,2016,Thailand: Nakhon Pathom,Rectal swab
GCA_002248565.1_ASM224856v1_genomic,2016,Thailand: Bangkok,sputum
GCA_002248945.1_ASM224894v1_genomic,2016,Thailand: Nakhon Pathom,Rectal swab
GCA_002285205.1_ASM228520v1_genomic,2017,India,Respiratory catheter tip
GCA_002411665.1_ASM241166v1_genomic,2015,Ghana: Kumasi,urine
GCA_002528965.1_ASM252896v1_genomic,2011,India:Jamshedpur,lake water
GCA_002751905.1_ASM275190v1_genomic,2011,Lebanon,
GCA_002775435.1_ASM277543v1_genomic,2014,Lebanon,
GCA_002775515.1_ASM277551v1_genomic,2014,Colombia: Medellin,
GCA_002851075.1_ASM285107v1_genomic,2006,Colombia: Medellin,
GCA_002851235.1_ASM285123v1_genomic,2003,Colombia: Medellin,
GCA_002851595.1_ASM285159v1_genomic,2003,Colombia: Barranquilla,
GCA_002853015.1_ASM285301v1_genomic,2016,China: Sichuan,
GCA_002853675.1_ASM285367v1_genomic,2002,Colombia: Medellin,
GCA_002853745.1_ASM285374v1_genomic,2002,Colombia: Medellin,
GCA_002854795.1_ASM285479v1_genomic,2003,Colombia: Medellin,
GCA_002855425.1_ASM285542v1_genomic,2006,Colombia: Medellin,
GCA_002953295.1_ASM295329v1_genomic,1994,USA:VA,urine
GCA_003020825.1_ASM302082v1_genomic,2011,"Brazil: City of Belo Horizonte, State of Minas Gerais",tracheal secretion isolated from an uncertain age woman
GCA_003065045.1_ASM306504v1_genomic,2013,USA: Chicago,blood
GCA_003181175.1_ASM318117v1_genomic,1994,"USA: Richmond, VA",urine
GCA_003400775.1_ASM340077v1_genomic,2015,"USA: Palo Alto, California",bloodstream
GCA_003443835.1_ASM344383v1_genomic,2014,China,bronchoalveolar lavage fluid
GCA_003583875.1_ASM358387v1_genomic,2015,"Brazil: Uberlandia, MG",Rectal mucose
GCA_003861065.1_ASM386106v1_genomic,2017,USA: Baltimore,patient fluids
GCA_003936335.1_ASM393633v1_genomic,2016,Pakistan,bedside rail in hospital intensive care unit
GCA_900080215.1_KQS06HV_PRJEB13450_wgs.embl_genomic,2006,Mexico,urine
GCA_900181025.1_14893_8_91_genomic,2010,Pakistan,blood
GCA_900182195.1_14936_2_70_genomic,2010,Pakistan,blood
GCA_900451875.1_39220_A01_genomic,1994,"USA: Richmond, VA",Urine
GCA_900509185.1_17870_3_73_genomic,2014,Austria,Other (feces)
