sample_accession,collection_date,country,HOST,experiment_alias,isolation_source,study_accession,run_accession
SAMEA6155798,02/02/2018,Nigeria,Human,ERX4653058,Blood,PRJEB29739,ERR4783293
SAMEA6155867,03/12/2018,Nigeria,Human,ERX4652819,Urine,PRJEB29739,ERR4783054
SAMEA6158235,01/02/2018,Nigeria,Human,ERX4653040,Urine,PRJEB29739,ERR4783275
SAMEA6155792,28/02/2018,Nigeria,Human,ERX4653003,Eyes,PRJEB29739,ERR4783238
SAMEA6155881,03/04/2017,Nigeria,Human,ERX4653169,Blood,PRJEB29739,ERR4783404
SAMEA6422780,,Nigeria,Human,ERX4653344,Blood,PRJEB29739,ERR4783579
SAMEA6156049,06/10/2017,Nigeria,Human,ERX4653232,Blood,PRJEB29739,ERR4783467
SAMEA6155853,28/10/2017,Nigeria,Human,ERX4653137,Blood,PRJEB29739,ERR4783372
SAMEA6375420,2014,Colombia,Human,ERX4665472,Urine,PRJEB29742,ERR4795702
SAMEA6155864,26/10/2017,Nigeria,Human,ERX4652807,Blood,PRJEB29739,ERR4783042
SAMEA6155844,01/02/2018,Nigeria,Human,ERX4653125,Urine,PRJEB29739,ERR4783360
SAMEA6155862,03/12/2018,Nigeria,Human,ERX4652779,Urine,PRJEB29739,ERR4783014
SAMEA6155820,14/10/2017,Nigeria,Human,ERX4653091,Blood,PRJEB29739,ERR4783326
SAMEA6156052,11/04/2017,Nigeria,Human,ERX4653235,Blood,PRJEB29739,ERR4783470
SAMEA6155806,30/06/2017,Nigeria,Human,ERX4653000,Blood,PRJEB29739,ERR4783235
SAMEA6155851,28/02/2018,Nigeria,Human,ERX4652764,Eyes,PRJEB29739,ERR4782999
SAMEA6155878,15/03/2018,Nigeria,Human,ERX4653161,Blood,PRJEB29739,ERR4783396
SAMEA6375599,2017,Colombia,Human,ERX4665563,Urine,PRJEB29742,ERR4795793
SAMEA6155840,28/10/2017,Nigeria,Human,ERX4652746,Blood,PRJEB29739,ERR4782981
SAMEA6155815,29/01/2017,Nigeria,Human,ERX4653083,Blood,PRJEB29739,ERR4783318
SAMEA6155893,15/03/2018,Nigeria,Human,ERX4652804,Blood,PRJEB29739,ERR4783039
SAMEA5976642,2014,Colombia,Human,ERX4665280,Blood,PRJEB29742,ERR4795510
SAMEA6422733,,Nigeria,Human,ERX4653324,Blood,PRJEB29739,ERR4783559
SAMEA5855764,2013,Colombia,Human,ERX4665216,Tracheal aspirate,PRJEB29742,ERR4795446
SAMEA6155789,12/03/2017,Nigeria,Human,ERX4652991,Blood,PRJEB29739,ERR4783226
SAMEA6425186,2017,Colombia,Human,ERX4665631,Blood,PRJEB29742,ERR4795861
SAMEA6155886,28/05/2017,Nigeria,Human,ERX4652794,Blood,PRJEB29739,ERR4783029
SAMEA6155879,03/04/2017,Nigeria,Human,ERX4653167,Blood,PRJEB29739,ERR4783402
SAMEA5855703,2017,Colombia,Human,ERX4665258,Abdominal fluid,PRJEB29742,ERR4795488
SAMEA6155839,30/11/2017,Nigeria,Human,ERX4652744,Blood,PRJEB29739,ERR4782979
SAMEA6155850,14/10/2017,Nigeria,Human,ERX4653133,Blood,PRJEB29739,ERR4783368
SAMEA6375379,2013,Colombia,Human,ERX4665410,Urine,PRJEB29742,ERR4795640
SAMEA6422763,2017,Nigeria,Human,ERX4653271,Blood,PRJEB29739,ERR4783506
SAMEA6155802,15/03/2018,Nigeria,Human,ERX4653035,Blood,PRJEB29739,ERR4783270
SAMEA2072912,2012,Nepal,Human,ERX322589,Blood,PRJEB1800,ERR349753
SAMEA2073134,2012,Nepal,Human,ERX322649,ET tip,PRJEB1800,ERR349813
SAMEA2609400,2010/2012,Pakistan,Human,ERX718569,Blood,PRJEB6574,ERR775690
SAMEA2609421,2010/2012,Pakistan,Human,ERX718386,Blood,PRJEB6574,ERR775507
SAMEA2072920,2012,Nepal,Human,ERX322601,UVC tip,PRJEB1800,ERR349765
SAMEA2609451,2010/2012,Pakistan,Human,ERX718397,Endotracheal tube,PRJEB6574,ERR775518
SAMEA2073315,2012,Nepal,Human,ERX322657,Blood,PRJEB1800,ERR349821
SAMEA2609570,2010/2012,Pakistan,Human,ERX718550,Blood,PRJEB6574,ERR775671
SAMEA2609480,2010/2012,Pakistan,Human,ERX718410,Blood,PRJEB6574,ERR775531
SAMEA2609435,2010/2012,Pakistan,Human,ERX718479,Blood,PRJEB6574,ERR775600
SAMEA2609544,2010/2012,Pakistan,Human,ERX718537,Blood,PRJEB6574,ERR775658
SAMEA2073135,2012,Nepal,Human,ERX322650,Suction tip,PRJEB1800,ERR349814
SAMEA2072938,2012,Nepal,Human,ERX322587,ET tip,PRJEB1800,ERR349751
SAMEA2609397,2010/2012,Pakistan,Human,ERX718568,Blood,PRJEB6574,ERR775689
SAMEA2072942,2012,Nepal,Human,ERX322599,Blood,PRJEB1800,ERR349763
SAMEA2073311,2012,Nepal,Human,ERX322653,ET tip,PRJEB1800,ERR349817
SAMEA2072911,2012,Nepal,Human,ERX322588,Blood,PRJEB1800,ERR349752
SAMEA2609417,2010/2012,Pakistan,Human,ERX718473,Blood,PRJEB6574,ERR775594
SAMEA2609479,2010/2012,Pakistan,Human,ERX718506,Blood,PRJEB6574,ERR775627
SAMEA2609460,2010/2012,Pakistan,Human,ERX718401,Blood,PRJEB6574,ERR775522
SAMEA2609420,2010/2012,Pakistan,Human,ERX718474,Blood,PRJEB6574,ERR775595
SAMEA2609360,2010/2012,Pakistan,Human,ERX718365,Blood,PRJEB6574,ERR775486
SAMEA2072909,2012,Nepal,Human,ERX322585,UVC tip,PRJEB1800,ERR349749
SAMEA2609473,2010/2012,Pakistan,Human,ERX718407,Blood,PRJEB6574,ERR775528
SAMEA2609444,2010/2012,Pakistan,Human,ERX718394,Blood,PRJEB6574,ERR775515
SAMEA2609364,2010/2012,Pakistan,Human,ERX718458,Blood,PRJEB6574,ERR775579
SAMEA2609437,2010/2012,Pakistan,Human,ERX718483,Blood,PRJEB6574,ERR775604
SAMEA2609495,2010/2012,Pakistan,Human,ERX718418,Blood,PRJEB6574,ERR775539
SAMEA2609519,2010/2012,Pakistan,Human,ERX718524,Blood,PRJEB6574,ERR775645
SAMEA2609553,2010/2012,Pakistan,Human,ERX718542,Blood,PRJEB6574,ERR775663
SAMEA2609477,2010/2012,Pakistan,Human,ERX718409,Blood,PRJEB6574,ERR775530
SAMEA2609433,2010/2012,Pakistan,Human,ERX718482,Endotracheal tube,PRJEB6574,ERR775603
SAMEA2609402,2010/2012,Pakistan,Human,ERX718376,Blood,PRJEB6574,ERR775497
SAMEA2609427,2010/2012,Pakistan,Human,ERX718388,Blood,PRJEB6574,ERR775509
SAMEA104092002,2016,The Gambia,Human,ERX2707806,Blood,PRJEB20799,ERR2693363
SAMEA104091955,2016,The Gambia,Human,ERX2707759,Blood,PRJEB20799,ERR2693316
SAMEA104091999,2016,The Gambia,Human,ERX2707803,Blood,PRJEB20799,ERR2693360
SAMEA104092000,2016,The Gambia,Human,ERX2707804,Blood,PRJEB20799,ERR2693361
SAMEA104091974,2016,The Gambia,Human,ERX2707778,Blood,PRJEB20799,ERR2693335
SAMEA104091964,2016,The Gambia,Human,ERX2707768,Blood,PRJEB20799,ERR2693325
SAMEA104092001,2016,The Gambia,Human,ERX2707805,Blood,PRJEB20799,ERR2693362
SAMEA104091975,2016,The Gambia,Human,ERX2707779,Blood,PRJEB20799,ERR2693336
SAMEA7472365,2015-17,Nigeria,Human,ERX4785402,Blood,PRJEB33565,ERR4920493
SAMEA7472759,2015-17,Pakistan,Human,ERX4785495,Blood,PRJEB33565,ERR4920586
SAMEA7472226,2015-17,Ethiopia,Human,ERX4785306,Blood,PRJEB33565,ERR4920397
SAMEA7472584,2015-17,Pakistan,Human,ERX4785467,Blood,PRJEB33565,ERR4920558
SAMEA7472869,2015-17,Rwanda,Human,ERX4785508,Blood,PRJEB33565,ERR4920599
SAMEA7472307,2015-17,Ethiopia,Human,ERX4785367,Blood,PRJEB33565,ERR4920458
SAMEA7472208,2015-17,Bangladesh,Human,ERX4785299,Blood,PRJEB33565,ERR4920390
SAMEA7472474,2015-17,Nigeria,Human,ERX4785435,Blood,PRJEB33565,ERR4920526
SAMEA7472505,2015-17,Nigeria,Human,ERX4785448,Blood,PRJEB33565,ERR4920539
