study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB30913	SAMEA5232450	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039877
PRJEB30913	SAMEA5232450	collection_date		2013	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039877
PRJEB30913	SAMEA5232451	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039878
PRJEB30913	SAMEA5232451	collection_date		2013	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039878
PRJEB30913	SAMEA5232452	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039879
PRJEB30913	SAMEA5232452	collection_date		2013	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039879
PRJEB30913	SAMEA5232453	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039880
PRJEB30913	SAMEA5232453	collection_date		2013	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039880
PRJEB30913	SAMEA5232454	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039881
PRJEB30913	SAMEA5232454	collection_date		2013	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039881
PRJEB30913	SAMEA5232455	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039882
PRJEB30913	SAMEA5232455	collection_date		2013	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039882
PRJEB30913	SAMEA5232456	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039883
PRJEB30913	SAMEA5232456	collection_date		2013	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039883
PRJEB30913	SAMEA5232457	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039884
PRJEB30913	SAMEA5232457	collection_date		2013	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039884
PRJEB30913	SAMEA5232458	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039885
PRJEB30913	SAMEA5232458	collection_date		2013	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039885
PRJEB30913	SAMEA5232459	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039886
PRJEB30913	SAMEA5232459	collection_date		2013	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039886
PRJEB30913	SAMEA5232460	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039887
PRJEB30913	SAMEA5232460	collection_date		2013	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039887
PRJEB30913	SAMEA5232461	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039888
PRJEB30913	SAMEA5232461	collection_date		2013	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039888
PRJEB30913	SAMEA5232462	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039889
PRJEB30913	SAMEA5232462	collection_date		2013	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039889
PRJEB30913	SAMEA5232463	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039890
PRJEB30913	SAMEA5232463	collection_date		2013	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039890
PRJEB30913	SAMEA5232464	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039891
PRJEB30913	SAMEA5232464	collection_date		2013	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039891
PRJEB30913	SAMEA5232465	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039892
PRJEB30913	SAMEA5232465	collection_date		2013	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039892
PRJEB30913	SAMEA5232466	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039893
PRJEB30913	SAMEA5232466	collection_date		2013	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039893
PRJEB30913	SAMEA5232487	country		Vietnam	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039914
PRJEB30913	SAMEA5232487	collection_date		2015	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039914
PRJEB30913	SAMEA5232488	country		Vietnam	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039915
PRJEB30913	SAMEA5232488	collection_date		2015	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039915
PRJEB30913	SAMEA5232489	country		Vietnam	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039916
PRJEB30913	SAMEA5232489	collection_date		2015	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039916
PRJEB30913	SAMEA5232490	country		Vietnam	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039917
PRJEB30913	SAMEA5232490	collection_date		2015	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039917
PRJEB30913	SAMEA5232491	country		Vietnam	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039918
PRJEB30913	SAMEA5232491	collection_date		2015	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039918
PRJEB30913	SAMEA5232492	country		Vietnam	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039919
PRJEB30913	SAMEA5232492	collection_date		2015	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039919
PRJEB30913	SAMEA5232493	country		Vietnam	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039920
PRJEB30913	SAMEA5232493	collection_date		2015	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039920
PRJEB30913	SAMEA5232494	country		Vietnam	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039921
PRJEB30913	SAMEA5232494	collection_date		2015	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039921
PRJEB30913	SAMEA5232495	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039922
PRJEB30913	SAMEA5232495	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039922
PRJEB30913	SAMEA5232496	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039923
PRJEB30913	SAMEA5232496	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039923
PRJEB30913	SAMEA5232497	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039924
PRJEB30913	SAMEA5232497	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039924
PRJEB30913	SAMEA5232498	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039925
PRJEB30913	SAMEA5232498	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039925
PRJEB30913	SAMEA5232499	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039926
PRJEB30913	SAMEA5232499	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039926
PRJEB30913	SAMEA5232500	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039927
PRJEB30913	SAMEA5232500	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039927
PRJEB30913	SAMEA5232501	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039928
PRJEB30913	SAMEA5232501	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039928
PRJEB30913	SAMEA5232502	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039929
PRJEB30913	SAMEA5232502	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039929
PRJEB30913	SAMEA5232503	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039930
PRJEB30913	SAMEA5232503	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039930
PRJEB30913	SAMEA5232504	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039931
PRJEB30913	SAMEA5232504	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039931
PRJEB30913	SAMEA5232505	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039932
PRJEB30913	SAMEA5232505	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039932
PRJEB30913	SAMEA5232506	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039933
PRJEB30913	SAMEA5232506	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039933
PRJEB30913	SAMEA5232507	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039934
PRJEB30913	SAMEA5232507	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039934
PRJEB30913	SAMEA5232508	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039935
PRJEB30913	SAMEA5232508	collection_date		2016	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039935
PRJEB30913	SAMEA5232509	country		Nepal	per_sample	13073_2019_706_MOESM1_ESM.xlsx:ERS3039936
