study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB34380	SAMEA5951251	collection_date		2017-08-01 00:00:00	per_sample	Table_1.XLSX:ERS3739735
PRJEB34380	SAMEA5951251	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739735
PRJEB34380	SAMEA5951252	collection_date		2017-08-01 00:00:00	per_sample	Table_1.XLSX:ERS3739736
PRJEB34380	SAMEA5951252	isolation_source		rectal_swab	per_sample	Table_1.XLSX:ERS3739736
PRJEB34380	SAMEA5951253	collection_date		2018-02-27 00:00:00	per_sample	Table_1.XLSX:ERS3739737
PRJEB34380	SAMEA5951253	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739737
PRJEB34380	SAMEA5951254	collection_date		2017-08-14 00:00:00	per_sample	Table_1.XLSX:ERS3739738
PRJEB34380	SAMEA5951254	isolation_source		sputum	per_sample	Table_1.XLSX:ERS3739738
PRJEB34380	SAMEA5951255	collection_date		2017-09-25 00:00:00	per_sample	Table_1.XLSX:ERS3739739
PRJEB34380	SAMEA5951255	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739739
PRJEB34380	SAMEA5951256	collection_date		2017-08-28 00:00:00	per_sample	Table_1.XLSX:ERS3739740
PRJEB34380	SAMEA5951256	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739740
PRJEB34380	SAMEA5951257	collection_date		2017-09-12 00:00:00	per_sample	Table_1.XLSX:ERS3739741
PRJEB34380	SAMEA5951257	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739741
PRJEB34380	SAMEA5951258	collection_date		2017-09-05 00:00:00	per_sample	Table_1.XLSX:ERS3739742
PRJEB34380	SAMEA5951258	isolation_source		blood	per_sample	Table_1.XLSX:ERS3739742
PRJEB34380	SAMEA5951259	collection_date		2017-09-13 00:00:00	per_sample	Table_1.XLSX:ERS3739743
PRJEB34380	SAMEA5951259	isolation_source		tracheal_aspirate	per_sample	Table_1.XLSX:ERS3739743
PRJEB34380	SAMEA5951260	collection_date		2017-09-09 00:00:00	per_sample	Table_1.XLSX:ERS3739744
PRJEB34380	SAMEA5951260	isolation_source		catheter_tip	per_sample	Table_1.XLSX:ERS3739744
PRJEB34380	SAMEA5951261	collection_date		2018-01-14 00:00:00	per_sample	Table_1.XLSX:ERS3739745
PRJEB34380	SAMEA5951261	isolation_source		urine	per_sample	Table_1.XLSX:ERS3739745
