study	pmcid	category	n_tables	n_files
PRJDB12075	PMC9888285	OA_supp_TABLE	7	24
PRJDB12116	PMC11571079	OA_supp_TABLE	1	8
PRJDB5929	PMC6256778	zip_empty	0	0
PRJEB12699		no_pmcid(paywall/none)	0	0
PRJEB15226	PMC5121380	zip_empty	0	0
PRJEB1563	PMC5615107	OA_supp_TABLE	1	12
PRJEB17615	PMC7264328	OA_supp_doc_only	0	15
PRJEB1800	PMC4364942	OA_supp_doc_only	0	10
PRJEB19322	PMC8743538	OA_supp_other	0	10
PRJEB20799		no_pmcid(paywall/none)	0	0
PRJEB21277	PMC10132065	OA_supp_doc_only	0	11
PRJEB21605	PMC6966826	OA_supp_TABLE	1	12
PRJEB22890		no_pmcid(paywall/none)	0	0
PRJEB22903		no_pmcid(paywall/none)	0	0
PRJEB24082	PMC10132065	OA_supp_doc_only	0	11
PRJEB24083	PMC10132065	OA_supp_doc_only	0	11
PRJEB24084	PMC10132065	OA_supp_doc_only	0	11
PRJEB24085	PMC10132065	OA_supp_doc_only	0	11
PRJEB24086	PMC10132065	OA_supp_doc_only	0	11
PRJEB24087	PMC10132065	OA_supp_doc_only	0	11
PRJEB28054		no_pmcid(paywall/none)	0	0
PRJEB28400		no_pmcid(paywall/none)	0	0
PRJEB29143	PMC7527070	OA_supp_other	0	7
PRJEB29740	PMC11316559	OA_supp_TABLE	1	10
PRJEB29742	PMC8634422	OA_supp_TABLE	3	8
PRJEB30134	PMC10438816	OA_supp_doc_only	0	9
PRJEB33565	PMC8007471	OA_supp_TABLE	3	18
PRJEB35685		no_pmcid(paywall/none)	0	0
PRJEB36486	PMC9519460	OA_supp_TABLE	1	27
PRJEB37378	PMC11137479	OA_supp_other	0	10
PRJEB38289	PMC7985491	OA_supp_TABLE	1	8
PRJEB39867	PMC9598256	OA_supp_other	0	9
PRJEB39943	PMC13259977	OA_supp_TABLE	1	8
PRJEB42331	PMC8209719	OA_supp_TABLE	1	11
PRJEB42462		no_pmcid(paywall/none)	0	0
PRJEB46513	PMC12885268	OA_supp_TABLE	1	24
PRJEB48990	PMC10272877	OA_supp_TABLE	3	22
PRJEB50614	PMC11316559	OA_supp_TABLE	1	10
PRJEB58136	PMC11652666	OA_supp_TABLE	3	18
PRJEB64895	PMC10668257	OA_supp_other	0	10
PRJEB6891	PMC5850561	OA_supp_doc_only	0	11
PRJEB74083	PMC11027475	OA_supp_doc_only	0	7
PRJNA1048341	PMC10917868	OA_supp_TABLE	1	7
PRJNA1087366	PMC11087563	OA_supp_TABLE	3	21
PRJNA271899		no_pmcid(paywall/none)	0	0
PRJNA325243	PMC12247286	OA_supp_TABLE	7	23
PRJNA341927		no_pmcid(paywall/none)	0	0
PRJNA549322		no_pmcid(paywall/none)	0	0
PRJNA603790	PMC9869340	no_supp(http 404)	0	0
PRJNA604910	PMC7478627	OA_supp_doc_only	0	11
PRJNA604975	PMC8414751	OA_supp_doc_only	0	11
PRJNA634885	PMC7546619	OA_supp_TABLE	2	15
PRJNA765801	PMC12569050	OA_supp_TABLE	1	17
PRJNA767944	PMC9241541	OA_supp_TABLE	1	24
PRJNA804332	PMC9452910	OA_supp_TABLE	1	8
PRJNA845975		no_pmcid(paywall/none)	0	0
PRJNA855907	PMC9430190	OA_supp_other	0	6
PRJNA982859		no_pmcid(paywall/none)	0	0
PRJNA996149	PMC10720542	zip_empty	0	0
