study	pmcid	ena_samples	n_tables	best_table_acc_hits	joinable
PRJEB39943	PMC13259977	9771	1	2903	True
PRJEB29740	PMC11316559	2790	12	1630	True
PRJEB33565	PMC8007471	1200	3	1200	True
PRJEB48990	PMC10272877	1617	3	1078	True
PRJEB46513	PMC12885268	843	1	526	True
PRJEB50614	PMC11316559	1200	12	512	True
PRJNA325243	PMC12247286	726	11	406	True
PRJEB58136	PMC11652666	414	3	272	True
PRJEB36486	PMC9519460	663	1	203	True
PRJEB1563	PMC5615107	594	3	198	True
PRJEB21605	PMC6966826	447	2	148	True
PRJNA634885	PMC7546619	432	5	144	True
PRJNA1087366	PMC11087563	405	11	135	True
PRJEB42331	PMC8209719	240	7	80	True
PRJDB12116	PMC11571079	462	4	53	True
PRJNA767944	PMC9241541	519	1	0	False
PRJNA765801	PMC12569050	657	1	0	False
PRJDB12075	PMC9888285	552	11	0	False
PRJNA1048341	PMC10917868	531	1	0	False
PRJEB38289	PMC7985491	1500	1	0	False
PRJEB29742	PMC8634422	1665	3	0	False
PRJNA804332	PMC9452910	414	1	0	False
