study_accession	pmcid	table	method	n_samples	n_fills	confidence	note
PRJDB10735			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJDB4867			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJDB6244	PMC5923170		abstained	0	0	none	no joinable table
PRJEB12817	PMC5823397		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['pone.0191958.s003.pdf', 'pone.0191958.s002.pdf']
PRJEB15325			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB1730			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB17888			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB18733			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB19777	PMC5487458	Data_Sheet_1.pdf	direct	10	20	high	mapped 10 samples, 20 cell-fills
PRJEB20357	PMC9155631		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['dkac071_supplementary_data.docx', 'dkac071_supplementary_data.docx']
PRJEB22139	PMC5540593		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['12864_2017_3955_MOESM1_ESM.xlsx']
PRJEB23845	PMC6785715	41587_2018_9_MOESM3_ESM.xlsx	abstained	0	0	low	all mapped fields failed the value check: ['isolation_source']
PRJEB2399	PMC3410874		abstained	0	0	none	no joinable table
PRJEB24612			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB24641			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB25682			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB27344			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB27707			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB29106			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB30102	PMC6535532		abstained	0	0	none	no joinable table
PRJEB30858	PMC7744980	ciz1130_suppl_supplementary_tables.xlsx	direct	21	42	high	mapped 21 samples, 42 cell-fills
PRJEB31347	PMC12607791		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['mbio.01428-25-s0001.pdf', 'mbio.01428-25-s0001.pdf', 'mbio.01428-25-s0001.pdf', 'mbio.01428-25-s0001.pdf', 'mbio.01428-25-s0001.pdf', 'mbio.01428-25-s0002.xlsx', 'mbio.01428-25-s0002.xlsx']
PRJEB3226			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB33495	PMC6938319		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['pone.0226828.s003.docx', 'pone.0226828.s002.xlsx', 'pone.0226828.s005.docx']
PRJEB34353	PMC6929489	Table_1.xlsx	direct	19	38	high	mapped 19 samples, 38 cell-fills
PRJEB34549	PMC8044893		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['Table_1.XLSX', 'Table_1.XLSX', 'Table_1.XLSX', 'Table_1.XLSX', 'Table_1.XLSX', 'Table_1.XLSX']
PRJEB35018	PMC7233586		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['pone.0233313.s002.xlsx', 'pone.0233313.s003.xlsx']
PRJEB37551	PMC10140293	Data_Sheet_2.xlsx	abstained	0	0	medium	all mapped fields failed the value check: ['host', 'isolation_source']
PRJEB38650			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB38818	PMC11272044		abstained	0	0	none	no joinable table
PRJEB38898	PMC8190610	mgen-7-0519-s002.xlsx	direct	10	20	high	mapped 10 samples, 20 cell-fills
PRJEB3980	PMC4498295		abstained	0	0	none	no joinable table
PRJEB41835	PMC8269217	msystems.00244-21-st001.pdf	direct	17	34	high	mapped 17 samples, 34 cell-fills
PRJEB42167			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB42426			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB43391			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB43543			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB44870	PMC8230887		abstained	0	0	none	no joinable table
PRJEB45397	PMC10394256		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['mmc2.xlsx', 'mmc3.pdf', 'mmc3.pdf', 'mmc3.pdf', 'mmc3.pdf']
PRJEB45776	PMC8956024		abstained	0	0	none	no joinable table
PRJEB46126	PMC8918851		abstained	0	0	none	no joinable table
PRJEB48744			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB50554	PMC12164281		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['2400590_SupplementaryMaterial_1.pdf']
PRJEB52158			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB58365	PMC10665453	15010_2023_2061_MOESM1_ESM.docx	abstained	0	0	high	joinable tables are accession-manifest only (no field columns)
PRJEB58695	PMC12753507		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['Table_1.DOCX']
PRJEB60418	PMC10434174	spectrum.01386-23-s0003.xlsx	direct	20	60	high	mapped 20 samples, 60 cell-fills
PRJEB61083	PMC10597170		abstained	0	0	none	no joinable table
PRJEB67440			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB67696			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
PRJEB67733			NO_PMCID	0	0	none	no PMCID — cannot fetch OA supplementary; see missing-papers / manual_download_supp
