study_accession	gap_samples	gap_fields	fulltext_source	paywalled	per_sample_fills	mech_reason	supp_present	has_per_sample_table	table_fields	accession_keyed	table_reference	action	evidence_quote	pmcid	doi	save_as
PRJEB50270	192	collection_date,country,host,isolation_source	europepmc_fulltext	False	0	unanchored	False	no		no		SKIP	Datasets included long and short reads sampled from 1,680 microbial genomes and 599 circular elements (Methods and Supplementary Table 1).	PMC9007738	10.1038/s41592-022-01431-4	PRJEB50270.xlsx
PRJEB21015	188	collection_date,country,host,isolation_source	pdf	True	0	NO_PMCID	False	no		no		SKIP	The sequence files generated, with the primers removed, will be made publicly available through the NCBI Sequence Read Archive (SRA).		10.1101/659771	PRJEB21015.xlsx
PRJNA552297	180	collection_date,country,host,isolation_source	europepmc_fulltext	False	0	manifest_only	False	no		yes	Table S9	SKIP	The WGS data have been deposited in the SRA database, and the accession numbers are listed in Table S9.	PMC6867876	10.1128/msystems.00465-19	PRJNA552297.xlsx
PRJEB36919	164	collection_date,country,host,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB36919.xlsx
PRJEB5132	128	collection_date,country,host,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB5132.xlsx
PRJEB60478	123	collection_date,country,isolation_source	europepmc_fulltext	False	0	unanchored	False	likely	isolation_source	unclear	Supplementary Table A	OA_INVESTIGATE	No correlations between sequence types and isolation sources were observed (Supplementary Table A).	PMC8060595	10.1016/j.csbj.2021.03.027	PRJEB60478.xlsx
PRJEB6688	114	collection_date,country,isolation_source	europepmc_fulltext	False	0	no_supp	False	yes	isolation_source,collection_date	yes	Table S1 (http://bigsdb.web.pasteur.fr/klebsiella/archives/Bialek_TechnicalAppendix.pdf)	OA_INVESTIGATE	supported by the clinical origin of some isolates of these STs (Table S1, http://bigsdb.web.pasteur.fr/klebsiella/archives/Bialek_TechnicalAppendix.pdf)	PMC4214299	10.3201/eid2011.140206	PRJEB6688.xlsx
PRJNA292902	104	collection_date,country,host,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJNA292902.xlsx
PRJEB9147	100	collection_date,country,host,isolation_source	europepmc_fulltext	False	0	no_supp	False	no		no		SKIP	We have described recent refinements to the TraDIS method for the sequencing and analysis of dense transposon libraries.	PMC4896371	10.1093/bioinformatics/btw022	PRJEB9147.xlsx
PRJEB14854	93	collection_date,host,isolation_source	europepmc_fulltext	False	0	no_supp	False	yes	isolation_source,host,collection_date	yes	Supplementary Table S1	OA_INVESTIGATE	Sequences new to this project can be found under projects PRJEB20809 and PRJEB14854 with accession numbers for each isolate detailed in Supplementary Table S1.	PMC13148723	10.1099/mgen.0.001654	PRJEB14854.xlsx
PRJNA922161	92	host,isolation_source	europepmc_fulltext	False	0	no_supp	False	no		no		SKIP	Klebsiella pneumoniae American Type Culture Collection (ATCC) strain 43816 was first grown on cation-adjusted Mueller–Hinton Broth 2 (MHB2) agar medium	PMC9862994	10.3390/pharmaceutics15010270	PRJNA922161.xlsx
PRJDB11603	90	host,isolation_source	europepmc_fulltext	False	0	value_check_failed	False	likely	isolation_source	yes	Table S8	OA_INVESTIGATE	The raw sequence data of 107 transconjugants were also deposited in the DRA with accession number DRA012028 (each BioSample ID is listed in Table S8).	PMC10327500	10.1099/mgen.0.001043	PRJDB11603.xlsx
PRJNA1092662	88	collection_date,host,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJNA1092662.xlsx
PRJNA1092272	84	host,isolation_source	europepmc_fulltext	False	0	no_supp	False	likely	isolation_source,host,collection_date	yes	Supplementary dataset 2	OA_INVESTIGATE	Sequence data have been deposited in NCBI (BioProject accessions PRJNA768622, PRJNA514245; Supplementary dataset 2).	PMC11369815	10.1093/jacamr/dlae140	PRJNA1092272.xlsx
PRJNA868296	74	host,isolation_source	europepmc_fulltext	False	0	unanchored	False	likely	isolation_source,collection_date	unclear	Supplementary Data	OA_INVESTIGATE	Antibiotic Susceptibility Testing (AST) using Kirby-Bauer disk diffusion assays in accordance with Clinical and Laboratory Standards Institute (CLSI) guidelines (Supplementary Data)	PMC10469867	10.1128/msystems.00206-23	PRJNA868296.xlsx
PRJEB56212	72	collection_date,isolation_source	europepmc_fulltext	False	0	no_supp	False	likely	isolation_source	yes	Table 3	OA_INVESTIGATE	Table 3 summarizes data on ST, capsule typing, major virulence genes, and replicon typing.	PMC9960421	10.3390/microorganisms11020525	PRJEB56212.xlsx
PRJEB73547	62	host,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB73547.xlsx
PRJNA552385	60	host,isolation_source	abstract	True	0	no_supp	False	no		no		SKIP	Here, we show one such stabilizing factor is host-plasmid coevolution under antibiotic selection, which facilitated the emergence of MDR via two distinct plasmids in communities consisting of Escherichia coli and Klebsiella pneumoniae once antibiotics were removed.	PMC8049106	10.1038/s41559-020-1170-1	PRJNA552385.xlsx
