split	n	country_raw	country_agent	country_manual	country_diff	collection_date_raw	collection_date_agent	collection_date_manual	collection_date_diff	isolation_source_raw	isolation_source_agent	isolation_source_manual	isolation_source_diff	host_raw	host_agent	host_manual	host_diff
train	19978	66.3	91.1	93.9	-2.8	61.0	87.6	79.7	7.9	43.6	71.8	71.6	0.2	44.1	89.1	80.1	9.0
test	28231	69.6	97.5	94.9	2.6	68.2	95.1	85.5	9.6	63.5	78.5	78.5	0.0	55.5	87.9	85.7	2.2
val	11932	57.2	99.9	96.3	3.6	47.1	86.2	81.3	4.9	47.3	88.4	72.4	16.0	45.3	99.6	92.6	7.0
tail100	7300	89.8	93.4	89.2	4.2	84.9	87.5	84.1	3.4	49.7	53.8	46.6	7.2	69.0	91.9	85.5	6.4
tail50_99	6118	83.0	97.2	83.0	14.2	80.0	89.2	80.5	8.7	63.9	77.6	59.0	18.6	52.0	94.9	57.5	37.4
tail25_49	4647	83.7	94.1	81.5	12.6	79.6	89.6	76.8	12.8	58.3	68.7	51.4	17.3	58.0	89.4	60.9	28.5
tail10_24	3058	78.1	90.4	76.5	13.9	74.1	81.6	71.9	9.7	57.8	67.7	52.6	15.1	53.7	82.0	54.5	27.5
other_uncovered(<10)	2419	69.9	77.5	69.8	7.7	74.8	76.8	72.3	4.5	63.0	73.0	55.6	17.4	47.6	75.5	54.1	21.4
NCTC_collection	97	0.0	0.0	0.0	0.0	100.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Refseq_collection	3513	0.0	0.0	96.4	-96.4	0.0	0.0	94.1	-94.1	0.0	0.0	78.7	-78.7	0.0	0.0	83.0	-83.0
TOTAL	87293	68.0	91.0	91.4	-0.4	64.2	86.0	82.2	3.8	52.5	71.9	69.0	2.9	49.9	86.5	79.9	6.6
TOTAL_excl_Refseq	83780	70.8	94.8	91.2	3.6	66.9	89.6	81.7	7.9	54.7	74.9	68.6	6.3	52.0	90.1	79.7	10.4
