study_accession	field	fold	none_found	chosen_pmcid	fulltext_source	is_full_text	paper_resolved	paper_url	paper_title	manual_pdf_present	manual_pdf_readable	supp_present	gate_status	n_blank	per_sample_method	zero_reason	n_whole_field	n_per_sample	n_escalation	remaining_est	escalation_status	resolution_state	recoverability
PRJDB12116	host	train	False	PMC11571079	europepmc_fulltext	True	True	https://doi.org/10.1099/mgen.0.001295	Evaluation of <i>Klebsiella pneumoniae</i> pathogenicity thr	False	False	False	not_gated	0	direct		0	0	0	0	none	FILLED	not_gated
PRJDB12116	country	train	False	PMC11571079	europepmc_fulltext	True	True	https://doi.org/10.1099/mgen.0.001295	Evaluation of <i>Klebsiella pneumoniae</i> pathogenicity thr	False	False	False	not_gated	0	direct		0	0	0	0	none	FILLED	not_gated
PRJDB12116	collection_date	train	False	PMC11571079	europepmc_fulltext	True	True	https://doi.org/10.1099/mgen.0.001295	Evaluation of <i>Klebsiella pneumoniae</i> pathogenicity thr	False	False	False	not_gated	0	direct		0	0	0	0	none	FILLED	not_gated
PRJDB12116	isolation_source	train	False	PMC11571079	europepmc_fulltext	True	True	https://doi.org/10.1099/mgen.0.001295	Evaluation of <i>Klebsiella pneumoniae</i> pathogenicity thr	False	False	False	covered	154	direct		0	54	0	100	none	FILLED	whole_field
PRJDB14656	host	train	False	PMC11571079	europepmc_fulltext	True	True	https://doi.org/10.1099/mgen.0.001295	Evaluation of <i>Klebsiella pneumoniae</i> pathogenicity thr	False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJDB14656	country	train	False	PMC11571079	europepmc_fulltext	True	True	https://doi.org/10.1099/mgen.0.001295	Evaluation of <i>Klebsiella pneumoniae</i> pathogenicity thr	False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJDB14656	collection_date	train	False	PMC11571079	europepmc_fulltext	True	True	https://doi.org/10.1099/mgen.0.001295	Evaluation of <i>Klebsiella pneumoniae</i> pathogenicity thr	False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJDB14656	isolation_source	train	False	PMC11571079	europepmc_fulltext	True	True	https://doi.org/10.1099/mgen.0.001295	Evaluation of <i>Klebsiella pneumoniae</i> pathogenicity thr	False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJDB17849	host	train	False	PMC11571079	europepmc_fulltext	True	True	https://doi.org/10.1099/mgen.0.001295	Evaluation of <i>Klebsiella pneumoniae</i> pathogenicity thr	False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJDB17849	country	train	False	PMC11571079	europepmc_fulltext	True	True	https://doi.org/10.1099/mgen.0.001295	Evaluation of <i>Klebsiella pneumoniae</i> pathogenicity thr	False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJDB17849	collection_date	train	False	PMC11571079	europepmc_fulltext	True	True	https://doi.org/10.1099/mgen.0.001295	Evaluation of <i>Klebsiella pneumoniae</i> pathogenicity thr	False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJDB17849	isolation_source	train	False	PMC11571079	europepmc_fulltext	True	True	https://doi.org/10.1099/mgen.0.001295	Evaluation of <i>Klebsiella pneumoniae</i> pathogenicity thr	False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJDB5929	host	train	True		europepmc_fulltext	True	True			False	False	False	not_gated	0	NO_PMCID		0	0	0	0	none	FILLED	not_gated
PRJDB5929	country	train	True		europepmc_fulltext	True	True			False	False	False	not_gated	0	NO_PMCID		0	0	0	0	none	FILLED	not_gated
PRJDB5929	collection_date	train	True		europepmc_fulltext	True	True			False	False	False	not_gated	0	NO_PMCID		0	0	0	0	none	FILLED	not_gated
PRJDB5929	isolation_source	train	True		europepmc_fulltext	True	True			False	False	False	residual_per_sample	631	NO_PMCID	NO_PMCID	0	0	0	631	none	EXHAUSTED	NO_PMCID
PRJEB12699	host	train	True		none	False	False			False	False	False	covered	141	NO_PMCID		141	0	0	141	none	FILLED	whole_field
PRJEB12699	country	train	True		none	False	False			False	False	False	covered	141	NO_PMCID		141	0	0	141	none	FILLED	whole_field
PRJEB12699	collection_date	train	True		none	False	False			False	False	False	residual_per_sample	141	NO_PMCID		0	0	141	0	applied	FILLED	per_sample_or_escalation
PRJEB12699	isolation_source	train	True		none	False	False			False	False	False	residual_per_sample	141	NO_PMCID	NO_PMCID	0	0	0	141	none	EXHAUSTED	no_paper_findable
PRJEB1800	host	train	False	PMC4364942	europepmc_fulltext	True	True	https://doi.org/10.15252/emmm.201404767	A high-resolution genomic analysis of multidrug-resistant ho	False	False	False	covered	31	abstained		31	0	0	31	none	FILLED	whole_field
PRJEB1800	country	train	False	PMC4364942	europepmc_fulltext	True	True	https://doi.org/10.15252/emmm.201404767	A high-resolution genomic analysis of multidrug-resistant ho	False	False	False	covered	31	abstained		31	0	0	31	none	FILLED	whole_field
PRJEB1800	collection_date	train	False	PMC4364942	europepmc_fulltext	True	True	https://doi.org/10.15252/emmm.201404767	A high-resolution genomic analysis of multidrug-resistant ho	False	False	False	covered	31	abstained		31	0	0	31	none	FILLED	whole_field
PRJEB1800	isolation_source	train	False	PMC4364942	europepmc_fulltext	True	True	https://doi.org/10.15252/emmm.201404767	A high-resolution genomic analysis of multidrug-resistant ho	False	False	False	residual_per_sample	31	abstained	no_supp	0	0	0	31	none	EXHAUSTED	no_supp
PRJEB19229	host	train	False	PMC10132065	europepmc_fulltext	True	True	https://doi.org/10.1099/mgen.0.000924	Dissemination of carbapenemase-producing <i>Enterobacterales	False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJEB19229	country	train	False	PMC10132065	europepmc_fulltext	True	True	https://doi.org/10.1099/mgen.0.000924	Dissemination of carbapenemase-producing <i>Enterobacterales	False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJEB19229	collection_date	train	False	PMC10132065	europepmc_fulltext	True	True	https://doi.org/10.1099/mgen.0.000924	Dissemination of carbapenemase-producing <i>Enterobacterales	False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJEB19229	isolation_source	train	False	PMC10132065	europepmc_fulltext	True	True	https://doi.org/10.1099/mgen.0.000924	Dissemination of carbapenemase-producing <i>Enterobacterales	False	False	False	not_gated	0			0	0	0	0	none	FILLED	not_gated
PRJEB19322	host	train	False	PMC8743538	local_pdf	True	True	https://doi.org/10.1099/mgen.0.000703	Genomic investigation of a suspected &lt;i&gt;Klebsiella pne	True	True	False	covered	91	abstained		91	0	0	91	none	FILLED	whole_field
PRJEB19322	country	train	False	PMC8743538	local_pdf	True	True	https://doi.org/10.1099/mgen.0.000703	Genomic investigation of a suspected &lt;i&gt;Klebsiella pne	True	True	False	covered	91	abstained		91	0	0	91	none	FILLED	whole_field
PRJEB19322	collection_date	train	False	PMC8743538	local_pdf	True	True	https://doi.org/10.1099/mgen.0.000703	Genomic investigation of a suspected &lt;i&gt;Klebsiella pne	True	True	False	residual_per_sample	91	abstained	no_supp	0	0	0	91	none	EXHAUSTED	paper_has_no_table
PRJEB19322	isolation_source	train	False	PMC8743538	local_pdf	True	True	https://doi.org/10.1099/mgen.0.000703	Genomic investigation of a suspected &lt;i&gt;Klebsiella pne	True	True	False	covered	91	abstained		91	0	0	91	none	FILLED	whole_field
