verdict	study_accession	attribute	current_sheet_value	proposed_value	justification_quote	reasoning	rule_gap	paper_link
model_correct	PRJEB1800	amr_study	amr	surveillance	We selected a random subset of 90 K. pneumoniae (using a random integer generator) from a collection of 135 K. pneumoniae that were isolated and stored in Patan Hospital between May and December 2012.	Isolates entered the deposited set by random selection from all clinical K. pneumoniae across mixed specimen types (blood, urine, catheter tips, respiratory, pus, other), not by a per-isolate resistant phenotype/genotype gate; resistance was characterised afterwards, which the rubric says does not make it amr.		https://pubmed.ncbi.nlm.nih.gov/25712531/
model_correct	PRJEB28400	amr_study	amr	surveillance	All patients admitted to the ICUs at the national Hospital for tropical Diseases and Bach Mai Hospital during a 6-month study period will be screened for MDRO.	The rubric states isolates recovered via routine MDRO screening of patients are surveillance because the screen is the sampling frame, not a per-isolate AMR-selection gate; screening all admitted ICU patients matches this exactly.		https://www.thelancet.com/journals/lanmic/article/PIIS2666-5247(22)00181-1/fulltext?uuid=uuid%3Ab233fac2-1f11-4aa3-9653-d84ae67c113e
model_correct	PRJEB29740	amr_study	mixed	surveillance	All sequenced isolates in our study represent unique patient infection episodes, with only one isolate per patient.	The deposited set is all K. pneumoniae clinical isolates causing infection, one per patient/episode, across mixed specimen types (blood, urine, pus, sputum, ETA), with resistance characterised afterwards via Kleborate (12% carried no ESBL/carbapenemase) — matching the rubric's surveillance definition, with no per-isolate AMR gate and no evidence of deliberately added susceptible matched controls to support 'mixed'.		https://pmc.ncbi.nlm.nih.gov/articles/PMC11316559/
model_correct	PRJEB50614	amr_study	mixed	surveillance	All sequenced isolates in our study represent unique patient infection episodes, with only one isolate per patient.	Isolates were all K. pneumoniae recovered from hospital infections, one per patient across mixed specimen types (blood, ETA, urine, pus, sputum), with AMR characterised afterwards by Kleborate — a non-AMR sampling frame, which the rubric defines as surveillance; the paper describes no AMR phenotype/genotype gate nor any deliberately-added susceptible matched controls to justify the sheet's 'AMR plus control' mixed value.		https://pmc.ncbi.nlm.nih.gov/articles/PMC11316559/
model_correct	PRJEB5065	amr_study	surveillance	amr	Isolates were collected if they were resistant to at least one antibiotic in three of the following classes: penicillins, carbapenems, cephalosporins, tetracyclines, aminoglycosides, and fluoroquinolones.	Each of the 250 deposited isolates had to meet an MDR (non-susceptible AST) selection gate to enter the set, which is the rubric's definition of 'amr'; the parent BSAC bacteraemia surveillance program is the broader collection design the rubric explicitly says to disregard.	The rubric could add an explicit example that an AMR-selected (MDR) subset drawn FROM a bacteraemia surveillance program is 'amr', since the surveillance origin of the parent survey misled the sheet despite the per-isolate resistance selection gate on the deposited set.	https://pubmed.ncbi.nlm.nih.gov/28223459/
model_correct	PRJEB58018	amr_study	surveillance	amr	200 isolates, comprising 66 NDM-1/OXA-48-producing and 134 NDM-1-producing K. pneumoniae, were subjected to Illumina (Illumina, San Diego, United States) whole genome sequencing	Every sequenced isolate had to be NDM-1- or NDM-1/OXA-48-producing — i.e. positive for a pre-defined carbapenemase resistance gene — which is exactly the rubric's amr criterion (positive detection of a pre-defined antibiotic-resistance gene as the per-isolate selection gate); the subset of 200 from 330 was still drawn entirely from that NDM-positive pool.	Clarify that a national-reference-centre carbapenemase collection (all isolates selected by carbapenemase-gene positivity) counts as amr even when some isolates originate from screening/stool specimens — the resistance-gene positivity, not the specimen-collection method, is the sampling gate, distinguishing it from the surveillance 'MDRO screening frame' case.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9808319/
model_correct	PRJEB58136	amr_study	surveillance	mixed	The selection of isolates for sequencing based on antimicrobial susceptibility profile may introduce bias.	"The authors explicitly state sequencing selection was gated on AST profile (so not pure non-AMR surveillance), yet the deposited 146 include 71 livestock isolates that were ""highly susceptible to the tested antimicrobials"" and predicted susceptible to last-resort drugs — so the set holds both AMR-selected (resistant clinical/sewage) and non-AMR (susceptible livestock) isolates, which is mixed, not all-resistant amr."	The rubric frames 'mixed' around AMR cases plus deliberately-added susceptible matched controls; it should clarify that a contrast design selecting isolates 'based on susceptibility profile' across niches (resistant human/effluent vs. largely-susceptible livestock comparison group) also qualifies as mixed even when the susceptible arm is a source-defined comparison group rather than per-case matched controls.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11652666/#MOESM6
model_correct	PRJNA1087366	amr_study	amr	surveillance	For all analyses, the patient's first clinical isolate from blood or CSF was selected.	The sampling gate was a non-AMR rule (first clinical blood/CSF isolate per patient, deduplicated by genetic profile, species with ≥20 isolates); resistance was characterized afterwards, which the rubric explicitly states does not make it amr, and the project's AMR focus does not by itself imply AMR-based selection.		https://pmc.ncbi.nlm.nih.gov/articles/PMC11087563/
model_correct	PRJNA271899	amr_study	amr	mixed	For each resistant isolate, we also collected date- and species-matched meropenem-susceptible isolates.	The 347 isolates deposited under PRJNA271899 comprise 147 AMR-selected resistant isolates plus 200 deliberately-added matched carbapenem-susceptible controls, which is exactly the 'mixed' design (AMR-selected cases plus susceptible matched controls), not pure AMR selection.		https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-022-01040-y
model_correct	PRJNA325243	amr_study	amr	surveillance	Laboratories were instructed to select only one isolate per client submission.	The sampling rule was one clinical Klebsiella isolate per submission from clinically ill animals — a non-AMR frame; resistance genes were characterized afterwards via AMRFinderPlus, with no requirement that each isolate be resistant, which the rubric classifies as surveillance (the 'AMR Monitoring Program' name does not imply AMR-based selection).		https://link.springer.com/article/10.1186/s12917-025-04686-z
