study_accession	study_type	study_type_excluded	paper_records_in_taxon	paper_coverage_for_taxon	needs_manual_download	fulltext_source	is_full_text	model	study_setting__value	study_setting__grade	amr_study__value	amr_study__grade	amr_target__value	amr_target__grade	amr_method__value	amr_method__grade	cohort_age__value	cohort_age__grade	backfill_country__value	backfill_country__whole_project	backfill_isolation_source__value	backfill_isolation_source__whole_project	backfill_host__value	backfill_host__whole_project	backfill_collection_date__value	backfill_collection_date__whole_project
PRJEB74192	observational	False	3255	0.9982	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Norway	True		False		False		False
PRJEB39943	observational	False	128	0.0441	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable		False		False	Homo sapiens	True	2019-07-01	True
PRJEB36683	observational	False	328	0.1802	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable	mixed	partial	Saudi Arabia	True		False	Homo sapiens	True		False
PRJEB37378	observational	False	0	0.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJDB10842	observational	False	1240	0.8367	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	Japan	True		False	Homo sapiens	True	2020-01-01	True
PRJEB42462	observational	False	362	0.278	True	pdf	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	Homo sapiens	True		False
PRJEB27256	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Norway	True		False	Homo sapiens	True	2008-01-01	True
PRJNA475751	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	Homo sapiens	True		False
PRJEB29740	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	partial	India	True		False	Homo sapiens	True		False
PRJNA604975	observational	False	886	0.9736	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	United Kingdom	True	blood	True	Homo sapiens	True		False
PRJNA768622	observational	False			True	pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	partial		not_gradeable	United Kingdom	True		False		False		False
PRJEB28400	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Vietnam	True		False		False		False
PRJNA271899	observational	False	730	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	USA	True		False	Homo sapiens	True		False
PRJDB5929	observational	False	577	0.8161	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Thailand	True		False	Homo sapiens	True		False
PRJEB50614	observational	False	644	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	India	True		False	Homo sapiens	True		False
PRJNA325243	observational	False	204	0.3238	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False		False		False
PRJNA845975	observational	False	567	1.0	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable	Bangladesh	True		False	Homo sapiens	True		False
PRJEB29742	observational	False	425	0.7658	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	partial	amr	partial	carbapenem	partial	ast_result	partial		not_gradeable	Colombia	True		False	Homo sapiens	True		False
PRJNA1028672	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	China	True		False	Homo sapiens	True		False
PRJEB48990	observational	False	540	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	mixed	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	United Kingdom	True		False		False		False
