paper_title,paper_short_title,paper_link,Curator,kleb_assemblies_in_paper,isolates_in_study,study_accessions,sample_selection,death_metadata,newborn_cohort,ATB_location_prop,ATB_collection_date_prop,ATB_isolation_source_prop,ATB_host_prop,location_added,date_added,source_added,host_added,Outstanding issues with ready_to_merge file or checks of data,completeness_post_collation,metadata to check,Andres_to_chase,Free-text comments,has_AST_data,Isolation source details
Epidemic of carbapenem-resistant Klebsiella pneumoniae in Europe is driven by nosocomial spread,EuSCAPE,https://pmc.ncbi.nlm.nih.gov/articles/PMC7244338/,David,2162,1718,PRJEB10018,AMR,,patient age not provided,0.77,0.77,0.77,0.77,TRUE,,,,yes,,,,"Metadata in two files - 1718 + 652 samples - but of 652, ~400 are from other studies and the 250 were in the file of 1718 - leaving around 400 samples which we cannot match - but these come from other studies",Meropenem AST on 1700,
National genomic surveillance integrating standardized quantitative susceptibility testing clarifies antimicrobial resistance in Enterobacterales,enterobacterales_japan,https://pubmed.ncbi.nlm.nih.gov/38052776/,David,1240,1240,PRJDB10842,AMR,,patient age not provided,1,1,0.98,1,,,,,yes,,,,,MIC for 4195 kleb and ecoli,
Genome Sequencing Identifies Previously Unrecognized Klebsiella pneumoniae Outbreaks in Neonatal Intensive Care Units in the Philippines,klebsiella_phillipines,https://academic.oup.com/cid/article/73/Supplement_4/S316/6447008,David,259,862,PRJEB29738,AMR,,"145 out of 259 isolates are Newborns; 123 are neonates, 22 are infants",0,0,0,0,TRUE,TRUE,TRUE,TRUE,"yes, but missing data, hardcode all country to Philipines, collection dates all 2015-17, but not extended",,,"Yes, missing 600",Original ENA data has 862 rows in it with this study id. The paper and metadata file only report on 259 of these,,
"Genomic characterisation of multidrug-resistant Escherichia coli, Klebsiella pneumoniae, and Acinetobacter baumannii in two intensive care units in Hanoi, Viet Nam: a prospective observational cohort study",icu_hannoi,https://www.thelancet.com/journals/lanmic/article/PIIS2666-5247(22)00181-1/fulltext?uuid=uuid%3Ab233fac2-1f11-4aa3-9653-d84ae67c113e,David,1316,3153,PRJEB28400,AMR,Includes mortality,"Adults, median age of 50+ years, age info summarized in table 1, sample level age info not provided",0,0,0,,TRUE,TRUE,TRUE,TRUE,yes,,,,"Of the 1316 klebsiella samples in the paper and metadata file, only 679 had a key in secondary_sample_accession that I could map to a key in the ENA data file",,
Nationwide surveillance in Thailand revealed genotype-dependent dissemination of carbapenem-resistant Enterobacterales,thailand_cpe,https://pmc.ncbi.nlm.nih.gov/articles/PMC9453063/,David,577,747,PRJDB5929,AMR,,patient age not provided,1,1,0,,,,TRUE,TRUE,yes,,,,"The study included 747 samples, 577 short read (of which I matched 522) and the rest were long read and not included in our set",Not provided at sample level,
Genomic snapshot of Klebsiella spp. isolates from clinically ill animals reveal diverse lineages with limited relatedness to human isolates,vetinary_fda,https://link.springer.com/article/10.1186/s12917-025-04686-z,David,204,204,PRJNA325243,AMR,,patient age not provided,1,1,1,,,,,TRUE,yes,,,,Animals,,
ARGONAUT-IV: susceptibility of kleb to new antibiotics and beta-lactamase inhibitors,new_abx_amr_consortium,https://journals.asm.org/doi/epub/10.1128/aac.01127-24,David,200,206,PRJNA339843,AMR,,patient age not provided,1,0.99,1,,,,,,yes,,,,Also linked to / PRJNA433394,,
Three Klebsiella pneumoniae lineages causing bloodstream infections variably dominated within a Greek hospital over a 15 year period,greek_cpe,https://pubmed.ncbi.nlm.nih.gov/37642647/,David,209,209,PRJEB58216,AMR,,"Adults, median age of 49, sample level age info available in table S1",1,1,1,,,,,,yes,,,,,,
ARGONAUT-IV: susceptibility of kleb to new antibiotics and beta-lactamase inhibitors,new_abx_amr_consortium,https://journals.asm.org/doi/10.1128/aac.01127-24,David,200,187,PRJNA433394,AMR,,patient age not provided,0.99,0.99,0.99,,,,,,yes,,,,Also reported in PRJNA339843,,
Melbourne Genomics Health Alliance 'Controlling Superbugs' Study - Using genomics to track transmission of multidrug-resistant pathogens in hospitals,melb_superbugs,https://pmc.ncbi.nlm.nih.gov/articles/PMC9019234/,David,189,190,PRJNA565795,AMR,,"Adults, median age of 65 (IQR 47-...), age info summarized in table 3, sample level age info not provided",1,1,0.84,,,,,TRUE,yes,,,,,,
Developing an in silico minimum inhibitory concentration panel test for Klebsiella pneumoniae.,ml_predict_mic,https://www.nature.com/articles/s41598-017-18972-w,David,1668,177,PRJNA396774,Surveillance,,patient age not provided,1,1,1,,,,,,yes,,,,Reported in paper with / PRJNA376414 / PRJNA386693,"yes, 3200 results",
Aminoglycoside-resistance gene signatures are predictive of aminoglycoside MICs for carbapenem-resistant Klebsiella pneumoniae,aminoglycoside_resistance,https://academic.oup.com/jac/article/77/2/356/6403927,David,158,166,PRJNA395086,Surveillance,,patient age not provided,1,0.97,0.97,,,,,,yes,,,,,yes,
Antibiotic resistance genes in the gut microbiota of mothers and linked neonates with or without sepsis from low- and middle-income countries,maternal_amr_low_income_countrie,https://pmc.ncbi.nlm.nih.gov/articles/PMC9417982/,David,161,158,PRJEB39293,AMR,,Linked mother-newborn child - provided on indiv basis?,1,1,1,,,,,TRUE,yes,,,,,,
Automated antimicrobial susceptibility testing and antimicrobial resistance genotyping using Illumina and Oxford Nanopore Technologies sequencing data among Enterobacteriaceae,auto_amr,https://pmc.ncbi.nlm.nih.gov/articles/PMC9393496/,David,154,155,PRJNA825705,AMR,,patient age not provided,1,1,1,,,,,,yes,,,,,not per sequence,
Genomic surveillance for hyerpervirullence and multi-drug resistance in invasive kleb pneumoniae from south and southesast asisa,Klebsiella_pneumoniae_pan_Asian_genomic_surveillance_network_pilot_,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-019-0706-y,David,365,148,PRJEB21605,Surveillance,,patient age not provided,0,0,0,,TRUE,TRUE,TRUE,TRUE,yes,,,,Also in PRJEB26814 and PRJEB30913,,
Genomic transmission analysis of multidrug-resistant Gram-negative bacteria within a newborn unit of a Kenyan tertiary hospital: A four-month prospective colonization study,kenyan_neonate,https://pubmed.ncbi.nlm.nih.gov/36093198/ and https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-019-0706-y,David,116,138,PRJNA804332,AMR,,Neonates,1,1,0,,,,TRUE,,yes,,,,,,
Genomic dissection of Klebsiella pneumoniae infections in hospital patients reveals insights into an opportunistic pathogen; Gastrointestinal Carriage Is a Major Reservoir of Klebsiella pneumoniae Infection in Intensive Care Patients,melb_surveillance,https://www.nature.com/articles/s41467-022-30717-6 |. https://pmc.ncbi.nlm.nih.gov/articles/PMC5850561/,David,362,348,PRJEB6891,Surveillance,,"Adult, has PatientAge and Sex and Hosp acquired",0,0,0,0,TRUE,TRUE,TRUE,TRUE,Two papers with separate metadata,,,,Two different papers on the same group,,
Genomic dissection of Klebsiella pneumoniae infections in hospital patients reveals insights into an opportunistic pathogen; Gastrointestinal Carriage Is a Major Reservoir of Klebsiella pneumoniae Infection in Intensive Care Patients,melb_surveillance,https://www.nature.com/articles/s41467-022-30717-6 |. https://pmc.ncbi.nlm.nih.gov/articles/PMC5850561/,David,362,16,PRJNA351909,Surveillance,,"Adult, has PatientAge and Sex and Hosp acquired",0,0,0,0,TRUE,TRUE,TRUE,TRUE,Two papers with separate metadata,,,,Two different papers on the same group,,
