study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB8667	SAMEA104165229	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA104165273	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA104230770	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA104230775	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA104351870	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA104352117	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA104352131	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA3322081	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA3322105	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5615740	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5615753	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5615759	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5615760	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5615764	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5615786	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5615789	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5615791	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5615792	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5615793	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5616089	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5616095	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5616102	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5616110	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5616135	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5616200	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5616203	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5616207	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5616213	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5616215	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5616223	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5616231	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5616245	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5616346	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5616396	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5616444	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5616483	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5616506	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734378	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734381	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734384	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734385	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734387	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734388	host		human	curator_escalation	curator escalation
PRJEB8667	SAMEA5734389	host		human	curator_escalation	curator escalation
