study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB37378	SAMEA10147368	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147370	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147372	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147292	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147296	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147295	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147298	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147299	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147302	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147305	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147306	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147307	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147265	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147311	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147261	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147312	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147263	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147317	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147325	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147268	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147320	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147388	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147389	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147285	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147281	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147283	collection_date		2020-03-01	curator_escalation	curator escalation
PRJEB37378	SAMEA10147287	collection_date		2020-03-01	curator_escalation	curator escalation
