study_accession	study_type	study_type_excluded	paper_records_in_taxon	paper_coverage_for_taxon	needs_manual_download	fulltext_source	is_full_text	model	study_setting__value	study_setting__grade	amr_study__value	amr_study__grade	amr_target__value	amr_target__grade	amr_method__value	amr_method__grade	cohort_age__value	cohort_age__grade	backfill_country__value	backfill_country__whole_project	backfill_isolation_source__value	backfill_isolation_source__whole_project	backfill_host__value	backfill_host__whole_project	backfill_collection_date__value	backfill_collection_date__whole_project
PRJNA307517	observational	False	24	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	other	gradeable	ast_result	gradeable		not_gradeable		False		False	human	True		False
PRJEB45776	observational	False	24	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Germany	True	powdered milk	True	powdered milk	True		False
PRJEB15325	observational	False			True	abstract	False	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB70897	observational	False	27	1.125	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	United Kingdom	True		False		False		False
PRJEB17888	other	False	0	0.0	False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA951629	observational	False	24	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable		False		False		False	2020-01-01	True
PRJEB37551	observational	False	24	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Cambodia	True		False	human	True	2016-09-01	True
PRJNA388450	observational	False			True	abstract	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False	blood	True	human	True		False
PRJNA353334	observational	False	21	0.913	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	adult	gradeable	United Kingdom	True		False	human	True	2013-07-01	True
PRJDB6244	observational	False	22	0.9565	True	abstract	False	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable		False	wastewater	True	wastewater	True		False
PRJEB20357	observational	False	0	0.0	False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB50554	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	partial	carbapenem	partial	pcr_gene_presence	partial	adult	partial	Germany	True		False	human	True	2021-07-01	True
PRJNA512395	observational	False	21	0.913	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Australia	True		False		False	2017-12-01	True
PRJEB38650	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	Singapore	True		False	human	True		False
PRJNA923792	observational	False	14	0.6087	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Egypt	True	root nodule	True	Vicia faba	True		False
