study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB29740	SAMEA9800386	country		India	whole_field	
PRJEB29740	SAMEA9800602	country		India	whole_field	
PRJEB29740	SAMEA9800505	country		India	whole_field	
PRJEB29740	SAMEA9800485	country		India	whole_field	
PRJEB29740	SAMEA9800576	country		India	whole_field	
PRJEB29740	SAMEA9800385	country		India	whole_field	
PRJEB29740	SAMEA9800387	country		India	whole_field	
PRJEB29740	SAMEA9800416	country		India	whole_field	
PRJEB29740	SAMEA9800430	country		India	whole_field	
PRJEB29740	SAMEA9800614	country		India	whole_field	
PRJEB29740	SAMEA9800437	country		India	whole_field	
PRJEB29740	SAMEA9800440	country		India	whole_field	
PRJEB29740	SAMEA9800476	country		India	whole_field	
PRJEB29740	SAMEA9800441	country		India	whole_field	
PRJEB29740	SAMEA9800363	country		India	whole_field	
PRJEB29740	SAMEA9800364	country		India	whole_field	
PRJEB29740	SAMEA9800366	country		India	whole_field	
PRJEB29740	SAMEA9800447	country		India	whole_field	
PRJEB29740	SAMEA9800449	country		India	whole_field	
PRJEB29740	SAMEA9800396	country		India	whole_field	
PRJEB29740	SAMEA9800586	country		India	whole_field	
PRJEB29740	SAMEA9800609	country		India	whole_field	
PRJEB29740	SAMEA9800615	country		India	whole_field	
PRJEB29740	SAMEA9800620	country		India	whole_field	
PRJEB29740	SAMEA9800399	country		India	whole_field	
PRJEB29740	SAMEA9800439	country		India	whole_field	
PRJEB17615	SAMEA4532029	country		Philippines	whole_field	
PRJEB19322	SAMEA69660418	country		Malawi	whole_field	
PRJEB28400	SAMEA5378617	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378622	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378627	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378640	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378652	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378654	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378655	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378663	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378688	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378736	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378743	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378755	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378762	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378773	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378791	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378808	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378813	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378822	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378835	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378848	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378873	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378875	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378915	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378917	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378932	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378935	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378938	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378950	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378952	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378961	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378985	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377850	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377854	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377868	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377871	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377873	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377874	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377878	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377888	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377901	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377908	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377911	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377913	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377921	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377924	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377926	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377927	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377930	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377931	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377954	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377957	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377963	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377965	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5377982	country		Viet Nam	whole_field	
