tag	study_accession	sample_accession	field	ena_value	applied_value	changed	class	review_flag	evidence	paper
train	PRJEB36683	SAMEA6531361	isolation_source	Human body sites or biosamples	SCALP	True	categorical_change		13073_2024_1332_MOESM1_ESM.xlsx:ERR3891098	https://pmc.ncbi.nlm.nih.gov/articles/PMC11025284/
train	PRJEB36683	SAMEA6531354	isolation_source	Human body sites or biosamples	BLOOD	True	categorical_change		13073_2024_1332_MOESM1_ESM.xlsx:ERR3891091	https://pmc.ncbi.nlm.nih.gov/articles/PMC11025284/
train	PRJEB36683	SAMEA6531286	isolation_source	Human body sites or biosamples	URINE	True	categorical_change		13073_2024_1332_MOESM1_ESM.xlsx:ERR3891023	https://pmc.ncbi.nlm.nih.gov/articles/PMC11025284/
train	PRJEB36683	SAMEA6531376	isolation_source	Human body sites or biosamples	EAR	True	categorical_change		13073_2024_1332_MOESM1_ESM.xlsx:ERR3891113	https://pmc.ncbi.nlm.nih.gov/articles/PMC11025284/
train	PRJEB36683	SAMEA6531312	isolation_source	Human body sites or biosamples	LUNG	True	categorical_change		13073_2024_1332_MOESM1_ESM.xlsx:ERR3891049	https://pmc.ncbi.nlm.nih.gov/articles/PMC11025284/
train	PRJEB36683	SAMEA6531307	isolation_source	Human body sites or biosamples	ABDOMEN	True	categorical_change		13073_2024_1332_MOESM1_ESM.xlsx:ERR3891044	https://pmc.ncbi.nlm.nih.gov/articles/PMC11025284/
train	PRJEB36683	SAMEA6531340	isolation_source	Human body sites or biosamples	BLOOD	True	categorical_change		13073_2024_1332_MOESM1_ESM.xlsx:ERR3891077	https://pmc.ncbi.nlm.nih.gov/articles/PMC11025284/
train	PRJEB36683	SAMEA6531323	isolation_source	Human body sites or biosamples	URINE	True	categorical_change		13073_2024_1332_MOESM1_ESM.xlsx:ERR3891060	https://pmc.ncbi.nlm.nih.gov/articles/PMC11025284/
train	PRJEB36683	SAMEA6531330	isolation_source	Human body sites or biosamples	URINE	True	categorical_change		13073_2024_1332_MOESM1_ESM.xlsx:ERR3891067	https://pmc.ncbi.nlm.nih.gov/articles/PMC11025284/
train	PRJEB36683	SAMEA6531333	isolation_source	Human body sites or biosamples	BLOOD	True	categorical_change		13073_2024_1332_MOESM1_ESM.xlsx:ERR3891070	https://pmc.ncbi.nlm.nih.gov/articles/PMC11025284/
train	PRJEB36683	SAMEA6531364	isolation_source	Human body sites or biosamples	LUNG	True	categorical_change		13073_2024_1332_MOESM1_ESM.xlsx:ERR3891101	https://pmc.ncbi.nlm.nih.gov/articles/PMC11025284/
