study_accession	field	gap_samples	curator_value	fulltext_source	is_full_text	prior_proposed	prior_whole_project	would_propose_now	proposed_value	blocking_category	blocking_reason	verdict	rule_gap	recommended_clause	adj_reasoning
PRJEB42462	isolation_source	1167	blood	pdf	True		False	False		value_below_coverage_threshold	The provided paper is a multi-study meta-analysis that uses PRJEB42462 only for its MLW (Malawi) component, contributing 362 isolates. The ENA count for this accession is 1302 samples, giving paper co	curator_overcollapsed			The paper explicitly states the MLW study (= PRJEB42462) included Klebsiella cultured from both blood AND cerebrospinal fluid of participants (n=31 CSF isolates even within the analyzed subset), so is
PRJNA845975	isolation_source	551	bacteremia	pdf	True		False	False		value_not_uniform_in_paper	The paper explicitly states isolates were cultured from both blood AND cerebrospinal fluid (CSF), not a single uniform source. The 'and/or' formulation is used consistently throughout the methods, mea	rule_gap	The rule only fires when every isolate literally shares one identical source token; it gives no way to assign a single whole-project value when all isolates come from a fixed compound clinical specime	If all isolates are drawn from the same fixed set of sterile clinical specimen types describing one invasive-disease cohort (e.g. 'blood and/or CSF'), treat that shared specimen description as a singl	The paper uniformly describes every isolate as cultured from 'blood and/or CSF' for the same invasive KpSC cohort, and the grader declined solely because the rubric's 'all isolates share one source' w
PRJNA603790	isolation_source	445	intestinal	none	False		False	False		no_paper_text	The EBI title ('Klebsiella pneumoniae from long-term acute care hospitals') and description ('Study of Klebsiella pneumoniae transmission in a long-term acute care hospital') identify only the care se	fetch_limited			no paper text was available to the grader
PRJEB33565	isolation_source	373	blood	none	False		False	False		value_not_uniform_in_paper	The EBI study description explicitly describes two distinct specimen streams: clinical infection isolates recovered from neonatal sepsis episodes, and carriage/colonisation isolates recovered through 	fetch_limited			The grader explicitly states no paper text was available and based its heterogeneity inference solely on the EBI study description; with no paper to confirm or refute a uniform 'blood' source, this is
PRJEB46513	isolation_source	258	blood	none	False		False	False		value_absent_from_evidence	The EBI title and description state only 'Klebsiella samples from a neonatal unit in Zambia.' This identifies the care setting (neonatal unit) but does not specify the specimen type or biological sour	fetch_limited			The grader had only the EBI title/description ('Klebsiella samples from a neonatal unit in Zambia') and explicitly no paper text; specimen type simply isn't present in the available evidence, so the d
PRJNA341927	isolation_source	243	stool	none	False		False	False		no_paper_text	No paper text is available for this accession (full_text=False, paper title=none). The EBI study title ('Klebsiella pneumoniae in Israeli post-acute care hospitals') and description ('Isolate in Israe	fetch_limited			no paper text was available to the grader
PRJEB1563	isolation_source	170	blood	none	False		False	False		no_paper_text	The only evidence available is the EBI study title, which describes these as 'invasive isolates.' While 'invasive' is a clinical category implying sterile-site specimens, it encompasses multiple possi	fetch_limited			no paper text was available to the grader
PRJNA804332	isolation_source	135	rectal swab	europepmc_fulltext	True		False	False		value_not_uniform_in_paper	The 160 sequenced isolates (138 Klebsiella) were drawn from three distinct source categories: rectal swabs from newborns, vaginal swabs from mothers, and environmental samples from hospital surfaces a	curator_overcollapsed			The paper explicitly describes three distinct isolation sources among the sequenced isolates—rectal swabs from newborns, vaginal swabs from mothers, and environmental samples—and the phylogenetic figu
PRJEB20799	isolation_source	37	blood	none	False		False	False		no_paper_text	No paper text is available. The EBI study description states the Klebsiella pneumoniae isolates were 'collected from cases of disease' on a neonatal unit, but does not specify the specimen type (e.g.,	fetch_limited			no paper text was available to the grader
PRJEB29143	collection_date	496	2016/06/30	none	False		False	False		no_paper_text	No paper text is available (full_text=False, no paper title, no paper text supplied). The EBI study title and description contain no collection dates or collection period information whatsoever. Witho	fetch_limited			no paper text was available to the grader
PRJEB36486	collection_date	200	2018-02-01	none	False		False	False		no_paper_text	No paper text is available (full_text=False, paper text section is empty), and the EBI study description contains no collection dates or collection period information. Without any date evidence, it is	fetch_limited			no paper text was available to the grader
PRJEB12699	collection_date	126	2003/01/01	none	False		False	False		value_multi_token_or_range	The EBI study description states isolates were collected 'between 2000 and 2006', a span of 6 years. This explicitly exceeds the 2-year maximum window the rubric allows for computing a midpoint backfi	curator_overcollapsed			Collection genuinely spans 2000–2006 (6 years), so different isolates have different collection dates and no single uniform value exists; the curator forced 2003/01/01, which is exactly the midpoint t
PRJEB20799	collection_date	37	2016/06/01	none	False		False	False		no_paper_text	The EBI study description uses only a relative temporal reference ('In the last year there have been two separate outbreaks…') with no absolute calendar dates. Because no paper text is available, ther	fetch_limited			no paper text was available to the grader
